id,last_updated,ein,file_name,mrf_url,name,alt_name,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,permalink,transparency_page,additional_notes
340010,2023-01-02,56-1484844,561484844_wayneunchealthcare_standardcharges.csv,https://rca.centaurihs.com/ptapp/api/cdm/export/all?recno=968964e8e349e2289a4b94ee72948c71b877ce89d0b9cdeb45d61e126eab9896&format=CSV&mode=ALL,WAYNE MEMORIAL HOSPITAL,Wayne UNC Health Care,UNC Health,2700 WAYNE MEMORIAL DR,GOLDSBORO,NC,27534,9197361110,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.unchealth.org/records-insurance/standard-charges,
340017,2023-01-02,56-2084959,562084959_pardeeunchealthcare_standardcharges.csv,https://rca.centaurihs.com/ptapp/api/cdm/export/all?recno=ba3c4e2c4a2e1f7ea210c970fc4319b1465e1ac06ec9ea1c4d6cfc8c1be9351c&format=CSV&mode=ALL,MARGARET R PARDEE MEMORIAL HOSPITAL,UNC Health Pardee,UNC Health,800 N JUSTICE ST,HENDERSONVILLE,NC,28791,8286961000,U,Short Term,GOVERNMENT - STATE,ACTIVE PROVIDER,,https://www.unchealth.org/records-insurance/standard-charges,
340027,2023-01-02,56-6000674,566000674_unclenoirhealthcare_standardcharges.csv,https://rca.centaurihs.com/ptapp/api/cdm/export/all?recno=3903c4d6330984f9b7e84e01ab9e392c4786dfac56f8105778ef27c66cdf035&format=CSV&mode=ALL,UNC LENOIR HEALTH CARE,Lenoir UNC Health Care,UNC Health,100 AIRPORT RD,KINSTON,NC,28501,2525227000,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.unchealth.org/records-insurance/standard-charges,
340041,2023-01-02,56-0554202,560554202_caldwellunchealth_standardcharges.csv,https://rca.centaurihs.com/ptapp/api/cdm/export/all?recno=62bfdf8b1690285fcd35da91d1edbbbbf2c5721dcbbbd16e7e2e7b7d8de3e597&format=CSV&mode=ALL,CALDWELL MEMORIAL HOSPITAL,Caldwell Memorial Hospital,UNC Health,321 MULBERRY ST SW,LENOIR,NC,28645,8287575100,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,,https://www.unchealth.org/records-insurance/standard-charges,
340050,2023-01-02,56-0530233,560530233_UNCHealthSoutheastern_standardcharges.csv,https://rca.centaurihs.com/ptapp/api/cdm/export/all?recno=12c87a4c8957c9e1c0c94af03a352d556b2a5c7551aa4df448609ce6dc2da33b&format=CSV&mode=ALL,SOUTHEASTERN REGIONAL MEDICAL CENTER,UNC Health Southeastern,UNC Health,300 W 27 ST  PO BOX 1408,LUMBERTON,NC,28359,9106715000,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.unchealth.org/records-insurance/standard-charges,
340060,2023-01-02,82-3745228,823745228_uncrockinghamhealthcare_standardcharges.csv," https://rca.centaurihs.com/ptapp/api/cdm/export/all?recno=ce2afee182dc4f67a537e90e9a8037e82a0deb7d7bc758280d0cd5d66c634ada&format=CSV&mode=ALL",UNC ROCKINGHAM,UNC Rockingham Health Care,UNC Health,117 E KINGS HIGHWAY,EDEN,NC,27288,3366239711,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.unchealth.org/records-insurance/standard-charges,
340061,2023-01-02,56-1118388,561118388_uncmedicalcenter_standardcharges.csv," https://rca.centaurihs.com/ptapp/api/cdm/export/all?recno=d4ccc071fab9c79f17e52dc5b243ef668affc5e569aafa907c5b4c81f0a89284&format=CSV&mode=ALL",UNIVERSITY OF NORTH CAROLINA HOSPITAL,UNC Medical Center,UNC Health,101 MANNING DRIVE,CHAPEL HILL,NC,27514,9199664141,U,Short Term,NONPROFIT - OTHER,ACTIVE PROVIDER,,https://www.unchealth.org/records-insurance/standard-charges,
340090,2023-01-02,46-3176429,463176429_johnstonhealth_standardcharges.csv," https://rca.centaurihs.com/ptapp/api/cdm/export/all?recno=1bebae81d06505b29fc9a5323fb9dac3f480979f0fa32bf4004915e0207d36a9&format=CSV&mode=ALL",JOHNSTON HEALTH,Johnston Health Smithfield,UNC Health,509 BRIGHT LEAF BLVD,SMITHFIELD,NC,27577,9199348171,U,Short Term,GOVERNMENT - COUNTY,ACTIVE PROVIDER,,https://www.unchealth.org/records-insurance/standard-charges,
340114,2023-01-02,56-1509260,561509260_uncrexhealthcare_standardcharges.csv," https://rca.centaurihs.com/ptapp/api/cdm/export/all?recno=8d086f6527295fbb6f6d253f3b5548b85ef9fcad8319564656464e552fff3d1e&format=CSV&mode=ALL",REX HOSPITAL,UNC Rex Healthcare,UNC Health,4420 LAKE BOONE TRAIL,RALEIGH,NC,27607,9197843100,U,Short Term,NONPROFIT - OTHER,ACTIVE PROVIDER,,https://www.unchealth.org/records-insurance/standard-charges,
340147,2023-01-02,23-7027004,237027004_nashunchealthcare_standardcharges.csv," https://rca.centaurihs.com/ptapp/api/cdm/export/all?recno=6864cd865dc9126d1ceb5dba82cccac976f64b50ff09491ea3ef6d72ac9bcffd&format=CSV&mode=ALL",NASH GENERAL HOSPITAL,Nash General Hospital,UNC Health,2460 CURTIS ELLIS DRIVE,ROCKY MOUNT,NC,27804,2524438000,U,Short Term,GOVERNMENT - COUNTY,ACTIVE PROVIDER,,https://www.unchealth.org/records-insurance/standard-charges,
341311,2023-01-02,56-0611546,560611546_chathamhospital_standardcharges.csv," https://rca.centaurihs.com/ptapp/api/cdm/export/all?recno=b1f9dd1570d8e8f2b7f3cc8cfdd353c8dd2f856b654beeed377bcea39a1d9196&format=CSV&mode=ALL",CHATHAM HOSPITAL INC,Chatham Hospital,UNC Health,475 PROGRESS BLVD,SILER CITY,NC,27344,9197994000,U,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,https://www.unchealth.org/records-insurance/standard-charges,
