cms_certification_num,payer,code,internal_revenue_code,description,price,inpatient_outpatient,code_disambiguator,units
171300,GROSS CHARGE,87804,0300,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",107.00,INPATIENT,1019767_1 Influenza POC,
171300,CASH PRICE,87804,0300,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",101.65,INPATIENT,1019767_1 Influenza POC,
171300,MIN,87804,0300,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",16.55,INPATIENT,1019767_1 Influenza POC,
171300,MAX,87804,0300,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",107.00,INPATIENT,1019767_1 Influenza POC,
171300,GROSS CHARGE,87804,0300,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",107.00,OUTPATIENT,1019767_1 Influenza POC,
171300,CASH PRICE,87804,0300,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",101.65,OUTPATIENT,1019767_1 Influenza POC,
171300,MIN,87804,0300,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",16.55,OUTPATIENT,1019767_1 Influenza POC,
171300,MAX,87804,0300,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",107.00,OUTPATIENT,1019767_1 Influenza POC,
171300,BCBS_BLUE_CHOICE,87804,0300,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",51.59,OUTPATIENT,1019767_1 Influenza POC,
171300,BCBS_CAP,87804,0300,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",54.30,OUTPATIENT,1019767_1 Influenza POC,
171300,CHOICE_CARE_MEDICARE,87804,0300,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",107.00,OUTPATIENT,1019767_1 Influenza POC,
171300,OPTUM_VA_CCN,87804,0300,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",16.55,OUTPATIENT,1019767_1 Influenza POC,
