Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,BCBS_BLUE_CHOICE,BCBS_CAP,CHOICE_CARE_MEDICARE,OPTUM_VA_CCN,UHC_ALL_PAYER
1019767_1,Influenza POC,Inpatient,0300,87804,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",,0,107.00,101.65,16.55,107.00,N/A,N/A,N/A,N/A,90.95
1019767_1,Influenza POC,Outpatient,0300,87804,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",,0,107.00,101.65,16.55,107.00,51.59,54.30,107.00,16.55,90.95
1019767_2,Influenza POC,Outpatient,0300,87804,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Influenza",,0,107.00,101.65,16.55,107.00,51.59,54.30,107.00,16.55,90.95
1019780_1,Rapid Strep POC (87880),Inpatient,0300,87880,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Streptococcus, group A",,0,93.00,88.35,16.53,93.00,N/A,N/A,N/A,N/A,79.05
1019780_1,Rapid Strep POC (87880),Outpatient,0300,87880,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Streptococcus, group A",,0,93.00,88.35,16.53,93.00,51.59,54.30,93.00,16.53,79.05
1019780_2,Rapid Strep POC (87880),Outpatient,0300,87880,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Streptococcus, group A",,0,93.00,88.35,16.53,93.00,51.59,54.30,93.00,16.53,79.05
1019797_1,Drug Screen POC (80305),Inpatient,0300,80305,"Drug test(s), presumptive, any number of drug classes, any number of devices or procedures; capable of being read by direct optical observation only (eg, utilizing immunoassay [eg, dipsticks, cups, cards, or cartridges]), includes sample validation when performed, per date of service",,0,25.00,23.75,12.60,27.87,N/A,N/A,N/A,N/A,21.25
1019797_1,Drug Screen POC (80305),Outpatient,0300,80305,"Drug test(s), presumptive, any number of drug classes, any number of devices or procedures; capable of being read by direct optical observation only (eg, utilizing immunoassay [eg, dipsticks, cups, cards, or cartridges]), includes sample validation when performed, per date of service",,0,25.00,23.75,12.60,27.87,26.48,27.87,25.00,12.60,21.25
1019797_2,Drug Screen POC (80305),Outpatient,0300,80305,"Drug test(s), presumptive, any number of drug classes, any number of devices or procedures; capable of being read by direct optical observation only (eg, utilizing immunoassay [eg, dipsticks, cups, cards, or cartridges]), includes sample validation when performed, per date of service",,0,20.00,19.00,12.60,27.87,26.48,27.87,20.00,12.60,17.00
1019812_1,Helicobacter Pylori POC (87338),Inpatient,0300,87338,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], fluorescence immunoassay [FIA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative; Helicobacter pylori, stool",,0,34.00,32.30,14.38,34.00,N/A,N/A,N/A,N/A,28.90
1019812_1,Helicobacter Pylori POC (87338),Outpatient,0300,87338,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], fluorescence immunoassay [FIA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative; Helicobacter pylori, stool",,0,34.00,32.30,14.38,34.00,29.33,30.87,34.00,14.38,28.90
1019812_2,Helicobacter Pylori POC (87338),Outpatient,0300,87338,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], fluorescence immunoassay [FIA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative; Helicobacter pylori, stool",,0,34.00,32.30,14.38,34.00,29.33,30.87,34.00,14.38,28.90
1027764_2,Office Visit Level 2 Est 99212,Outpatient,0521,99212,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using time for code selection, 10-19 minutes of total time is spent on the date of the encounter.",,0,90.00,85.50,49.40,309.32,49.40,52.00,309.32,0.00,76.50
1027764_3,Office Visit Level 2 Est 99212,ProFee,0983,99212,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using time for code selection, 10-19 minutes of total time is spent on the date of the encounter.",,0,75.00,71.25,71.25,71.25,N/A,N/A,N/A,N/A,N/A
1042079_1,PT Massage Charge Units 97124,Inpatient,0421,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,81.00,76.95,39.90,81.00,N/A,N/A,N/A,N/A,68.85
1042079_1,PT Massage Charge Units 97124,Outpatient,0421,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,81.00,76.95,39.90,81.00,39.90,42.00,81.00,81.00,68.85
1055781_1,TB Skin Test,Inpatient,0300,86580,"Skin test; tuberculosis, intradermal",,0,32.00,30.40,17.26,32.00,N/A,N/A,N/A,N/A,27.20
1055781_1,TB Skin Test,Outpatient,0300,86580,"Skin test; tuberculosis, intradermal",,0,32.00,30.40,17.26,32.00,17.26,18.17,32.00,N/A,27.20
1065765_2,Initial Comp Preventive Med 12 to 17 years New 99384,Outpatient,0521,99384,"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, new patient; adolescent (age 12 through 17 years)",,0,164.00,155.80,139.40,309.32,139.40,147.60,309.32,0.00,139.40
1147770_1,Complete Blood Count with Differential,Inpatient,0300,85025,"Blood count; complete (CBC), automated (Hgb, Hct, RBC, WBC and platelet count) and automated differential WBC count",,0,31.00,29.45,7.77,31.00,N/A,N/A,N/A,N/A,26.35
1147770_1,Complete Blood Count with Differential,Outpatient,0300,85025,"Blood count; complete (CBC), automated (Hgb, Hct, RBC, WBC and platelet count) and automated differential WBC count",,0,31.00,29.45,7.77,31.00,12.57,13.23,31.00,7.77,26.35
