name,city,state,address,website
CUSTER MIDDLE SCHOOL,WESTCLIFFE,CO,709 MAIN STREET,
PERRY COUNTY CENTRAL HIGH SCHOOL,HAZARD,KY,305 PARK AVE,
CENTRAL AREA,WESTBOROUGH,MA,167-169 LYMAN STREET,
NATE MACK ELEMENTARY SCHOOL,HENDERSON,NV,3170 LAUREL AVE.,
ROBERT R LAZAR MIDDLE SCHOOL,MONTVILLE,NJ,123 CHANGEBRIDGE ROAD,
RIVERMONT ELEMENTARY,CHATTANOOGA,TN,3330 HIXSON PIKE,
CASIS EL,AUSTIN,TX,2710 EXPOSITION BLVD,
AIBONITO BELTRAN,SAN SEBASTIAN,PR,CARR 457 KM 0.6 BO AIBONITO INT 448,
LEONARD DOBER ELEMENTARY SCHOOL,SAINT THOMAS,VI,9A 10B KRONPRINDSENS GADE,
JOHN F. KENNEDY HIGH,FREMONT,CA,39999 BLACOW RD.,
WEST END SCHOOL,N PLAINFIELD,NJ,447 GREENBROOK RD,
PINOLE MIDDLE,PINOLE,CA,1575 MANN DR.,
FAIRVIEW HIGH SCHOOL,FAIRVIEW PARK,OH,4507 W 213 STREET,
BUCKEYE ELEMENTARY,SHINGLE SPRINGS,CA,4561 BUCKEYE RD.,
FANCHER CREEK ELEMENTARY,FRESNO,CA,5948 E. TULARE AVE.,
KING ELEMENTARY,FRESNO,CA,1001 E. FLORENCE AVE.,
PANAMA ELEMENTARY,BAKERSFIELD,CA,9400 STINE RD.,
PHOENIX CONTINUATION,LOS ANGELES,CA,12971 ZANJA ST.,
PABLO CASALS,BAYAMON,PR,URB BAYAMON GARDENS CALLE D,
PONDEROSA ELEMENTARY,LOVELAND,CO,4550 FLORENCE DRIVE,
THEODORE ROOSEVELT ELEMENTARY,BURBANK,CA,850 N. CORDOVA ST.,
ANDERSON W. CLARK MAGNET HIGH,LA CRESCENTA,CA,4747 NEW YORK AVE.,
FREMONT ELEMENTARY,SANTA ANA,CA,1930 W. 10TH ST.,
VICTOR F. HODGE ELEMENTARY,AZUSA,CA,700 W. 11TH ST.,
DON JULIAN ELEMENTARY,LA PUENTE,CA,13855 DON JULIAN RD.,
ROYAL OAKS STEAM ACADEMY (K-7),BRADBURY,CA,2499 ROYAL OAKS DR.,
RICHMOND HILL ELEMENTARY SCHOOL,RICHMOND HILL,GA,473 FRANCES MEEKS WAY,
UNION ELEMENTARY,PETALUMA,CA,5300 RED HILL RD.,
FORT DEARBORN ELEM SCHOOL,CHICAGO,IL,9025 S THROOP ST,
LOS BANOS HIGH,LOS BANOS,CA,1966 11TH ST.,
AROMAS,AROMAS,CA,365 VEGA ST.,
RIO VISTA ELEMENTARY,ANAHEIM,CA,310 N. RIO VISTA ST.,
TUSTIN MEMORIAL ELEMENTARY,SANTA ANA,CA,12712 BROWNING AVE.,
CARMICHAEL ELEMENTARY,CARMICHAEL,CA,6141 SUTTER AVE.,
STONE LAKE ELEMENTARY,ELK GROVE,CA,9673 LAKEPOINT DR.,
ELLIOTT RANCH ELEMENTARY,ELK GROVE,CA,10000 E. TARON DR.,
ARTHUR C. BUTLER ELEMENTARY,ELK GROVE,CA,9180 BROWN RD.,
BRYAN ELEMENTARY SCHOOL,OMAHA,NE,5010 S 144TH ST,
MARIPOSA AVENUE ELEMENTARY,CITRUS HEIGHTS,CA,7940 MARIPOSA AVE.,
FLORIN HIGH,SACRAMENTO,CA,7956 COTTONWOOD LN.,
JUNIPER ELEMENTARY,HESPERIA,CA,9400 I AVE.,
MARIANA ACADEMY,APPLE VALLEY,CA,10601 MANHASSET RD.,
MUSCOY ELEMENTARY,SAN BERNARDINO,CA,2119 W. BLAKE ST.,
OPTIONS SECONDARY,CHULA VISTA,CA,467 MOSS ST.,
CORRIGAN-CAMDEN J H,CORRIGAN,TX,502 S MATHEWS,
GLENWOOD ELEMENTARY,STOCKTON,CA,2005 N. ALPINE RD.,
J C MARTIN JR EL,LAREDO,TX,1600 MONTERREY AVE,
BETTIE WEAVER ELEMENTARY,MIDLOTHIAN,VA,3600 JAMES RIVER RD,
