id,ein,name,file_name,stdchg_file_url,addr,last_updated,city,state,zip,phone,type,ownership,permalink,transparency_page,additional_notes
053311,36-2193608,SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIF,36-2193608 Shriners Children's Northern California Standard Charges .csv,https://www.cdmpricing.com/82f7c2f5b9cfc8c957f18f792ad43572/standard-charges,2425 STOCKTON BOULEVARD,2022-10-05,SACRAMENTO,CA,95817,(916) 453-2000,Childrens,Voluntary non-profit - Private,,https://www.shrinerschildrens.org/en/standard-charges,
123301,36-2193608,SHRINERS HOSPITAL FOR CHILDREN,36-2193608 Shriners Children's Hawaii Standard Charges.csv,https://www.cdmpricing.com/b30d36f52101153d5f1bc9b69f73ddb9/standard-charges,1310 PUNAHOU STREET,2022-09-28,HONOLULU,HI,96826,(808) 941-4466,Childrens,Voluntary non-profit - Private,,https://www.shrinerschildrens.org/en/standard-charges,
143302,36-2193608,SHRINERS HOSPITAL FOR CHILDREN,36-2193608_Shriners Children's Chicago standardcharges.csv,https://www.cdmpricing.com/5922d6568456e932b9e5a46eb7232ccf/standard-charges,2211 NORTH OAK PARK AVE,2022-09-15,CHICAGO,IL,60707,(773) 622-5400,Childrens,Voluntary non-profit - Private,,https://www.shrinerschildrens.org/en/standard-charges,
223304,04-2121377,"SHRINERS' HOSPITAL FOR CHILDREN - BOSTON, THE",4-2121377_Shriners Children's Boston_standardcharges.csv,https://www.cdmpricing.com/5d6a84d4f230a462dcbfb58cb3d84c2a/standard-charges,51 BLOSSOM STREET,2022-09-28,BOSTON,MA,02114,(617) 722-3000,Childrens,Proprietary,,https://www.shrinerschildrens.org/en/standard-charges,
263304,36-2193608,SHRINERS HOSPITALS FOR CHILDREN,36-2193608_Shriners Children's St Louis standardcharges.csv,https://www.cdmpricing.com/3dcccbedd70608f376ba25fc12104532/standard-charges,4400 CLAYTON AVE,2022-09-15,SAINT LOUIS,MO,63110,,MAIN/PRIMARY HOSPITAL LOCATION,Non-profit,,https://www.shrinerschildrens.org/en/standard-charges,
363308,36-2193608,SHRINERS HOSPITALS FOR CHILDREN,36-2193608 Shriners Children's Ohio Standard charges.csv,https://www.cdmpricing.com/d26214fc143b21623e16bbfb44452aee/standard-charges,"1 CHILDREN'S PLAZA, 2 WEST",2022-10-21,DAYTON,OH,45404,(513) 872-6000,Childrens,Voluntary non-profit - Private,,https://www.shrinerschildrens.org/en/standard-charges,
383300,36-2193608,SHRINERS HOSPITAL FOR CHILDREN-PORTLAND,36-2193608_Shriners-Children's-Portland_standardcharges.csv,https://www.cdmpricing.com/2823b8d43138258b7c2cb40fea30d548/standard-charges,3101 SW SAM JACKSON PARK ROAD,2022-09-28,PORTLAND,OR,97239,(971) 544-3312,Childrens,Voluntary non-profit - Private,,https://www.shrinerschildrens.org/en/standard-charges,
393309,36-2193608,SHRINERS HOSPITALS FOR CHILDREN - PHILADELPHIA,36-2193608 Shriners Children's Philadelphia Standard charges.csv,https://www.cdmpricing.com/7c93d4ea279eee36743b98172f7de455/standard-charges,3551 N BROAD STREET,2022-10-21,PHILADELPHIA,PA,19104,(215) 430-4000,Childrens,Voluntary non-profit - Other,,https://www.shrinerschildrens.org/en/standard-charges,
423300,36-2193608,SHRINERS HOSPITALS FOR CHILDREN,36-2193608 Shriners Children's Greenville Standard charges.csv,https://www.cdmpricing.com/c9cdb40cd7ee3f55ec6a0d0dc127827b/standard-charges,950 WEST FARIS ROAD,2022-10-21,GREENVILLE,SC,29605,(864) 271-3444,Childrens,Voluntary non-profit - Private,,https://www.shrinerschildrens.org/en/standard-charges,
453311,36-2193608,SHRINERS HOSPITALS FOR CHILDREN,36-2193608_Shriners-Children's-Texas_standardcharges.csv,https://www.cdmpricing.com/8d02e645e89934e5d30914384f33aef9/standard-charges,815 MARKET STREET,2022-09-26,GALVESTON,TX,77550,(409) 770-6600,Childrens,Voluntary non-profit - Private,,https://www.shrinerschildrens.org/en/standard-charges,
503302,36-2193608,SHRINERS HOSPITAL FOR CHILDREN,36-2193608 Shriners Children's Spokane Standard charges.csv,https://www.cdmpricing.com/eb7aea5bf2a98899deb44ad15177186b/standard-charges,911 WEST 5TH AVENUE,2022-10-21,SPOKANE,WA,99204,(509) 623-0422,Childrens,Voluntary non-profit - Private,,https://www.shrinerschildrens.org/en/standard-charges,
