id,ein,mrf_url,name,alt_name,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,last_updated,file_name,permalink,transparency_page,additional_notes
340158,20-4278130,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-excel/20-4278130_novanthealthbrunswickmedicalcenter_standardcharges.csv,NOVANT HEALTH BRUNSWICK MEDICAL CENTER,Novant Health Brunswick Medical Center,Novant Health,1 MEDICAL CENTER DR  PO BOX 139,SUPPLY,NC,28462,9107558121,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,2022-12-31,20-4278130_novanthealthbrunswickmedicalcenter_standardcharges.csv,,https://www.novanthealth.org/for-patients/billing--insurance/cost-estimates/medical-center-standard-charges/,
340153,56-0554230,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-excel/56-0554230_novanthealthcharlotteorthopedichospital_standardcharges.csv,NOVANT HEALTH CHARLOTTE ORTHOPEDIC HOSPITAL,Novant Health Charlotte Orthopaedic Hospital,,1901 RANDOLPH RD,CHARLOTTE,NC,28207,7043162000,U,Short Term,FOR PROFIT - CORPORATION,"VOLUNTARY-MERGER, CLOSURE",2022-12-31,56-0554230_novanthealthcharlotteorthopedichospital_standardcharges.csv,,https://www.novanthealth.org/for-patients/billing--insurance/cost-estimates/medical-center-standard-charges/,
340014,56-0928089,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-excel/56-0928089_novanthealthforsythmedicalcenter_standardcharges.csv,NOVANT HEALTH FORSYTH MEDICAL CENTER,"Novant Health Forsyth Medical Center - Winston-Salem, NC -",Novant Health,3333 SILAS CREEK PARKWAY,WINSTON-SALEM,NC,27103,3367185000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-12-31,56-0928089_novanthealthforsythmedicalcenter_standardcharges.csv,,https://www.novanthealth.org/for-patients/billing--insurance/cost-estimates/medical-center-standard-charges/,
340183,56-0554230,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-excel/56-0554230_novanthealthhuntersvillemedicalcenter_standardcharges.csv,NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,Novant Health Huntersville Medical Center,Novant Health,10030 GILEAD ROAD,HUNTERSVILLE,NC,28078,7043164000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-12-31,56-0554230_novanthealthhuntersvillemedicalcenter_standardcharges.csv,,https://www.novanthealth.org/for-patients/billing--insurance/cost-estimates/medical-center-standard-charges/,
340171,56-1376368,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-excel/56-1376368_novanthealthmatthewsmedicalcenter_standardcharges.csv,NOVANT HEALTH MATTHEWS MEDICAL CENTER,Novant Health Matthews Medical Center,Novant Health,1500 MATTHEWS TWNSHP PRKWY BOX 3310,MATTHEWS,NC,28106,7043846500,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,2022-12-31,56-1376368_novanthealthmatthewsmedicalcenter_standardcharges.csv,,https://www.novanthealth.org/for-patients/billing--insurance/cost-estimates/medical-center-standard-charges/,
340148,56-1340424,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-excel/56-1340424_novanthealthmedicalparkhospital_standardcharges.csv,NOVANT HEALTH MEDICAL PARK HOSPITAL,"Novant Health Medical Park Hospital - Winston-Salem, NC -",,1950 S HAWTHORNE RD,WINSTON-SALEM,NC,27103,3367180600,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,2022-12-31,56-1340424_novanthealthmedicalparkhospital_standardcharges.csv,,https://www.novanthealth.org/for-patients/billing--insurance/cost-estimates/medical-center-standard-charges/,
340190,26-0599536,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-excel/26-0599536_novanthealthminthillmedicalcenter_standardcharges.csv,NOVANT HEALTH MINT HILL MEDICAL CENTER,Novant Health Mint Hill Medical Center,,8201 HEALTHCARE LOOP,CHARLOTTE,NC,28215,7043844089,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-12-31,26-0599536_novanthealthminthillmedicalcenter_standardcharges.csv,,https://www.novanthealth.org/for-patients/billing--insurance/cost-estimates/medical-center-standard-charges/,
340141,56-0887181,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-excel/56-0887181_novanthealthnewhanorverregionalmedicalcenter_standardcharges.csv,NOVANT HEALTH NEW HANOVER REGIONAL MEDICAL CENTER,Novant Health New Hanover Regional Medical Center,Novant Health,2131 S 17TH ST BOX 9000,WILMINGTON,NC,28402,9103437000,U,Short Term,GOVERNMENT - STATE,ACTIVE PROVIDER,2022-12-31,56-0887181_novanthealthnewhanorverregionalmedicalcenter_standardcharges.csv,,https://www.novanthealth.org/for-patients/billing--insurance/cost-estimates/medical-center-standard-charges/,
341307,56-0653348,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-excel/56-0653348_novanthealthpendermemorialhospital_standardcharges.csv,PENDER MEMORIAL HOSPITAL,Novant Health Pender Medical Center,,507 E FREMONT ST,BURGAW,NC,28425,9103004004,U,Critical Access Hospitals,GOVERNMENT - STATE,ACTIVE PROVIDER,2022-12-31,56-0653348_novanthealthpendermemorialhospital_standardcharges.csv,,https://www.novanthealth.org/for-patients/billing--insurance/cost-estimates/medical-center-standard-charges/,
340053,56-0554230,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-excel/56-0554230_novanthealthpresbyterianmedicalcenter_standardcharges.csv,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,Novant Health Presbyterian Medical Center,Novant Health,200 HAWTHORNE LANE BOX 33549,CHARLOTTE,NC,28233,7043844000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-12-31,56-0554230_novanthealthpresbyterianmedicalcenter_standardcharges.csv,,https://www.novanthealth.org/for-patients/billing--insurance/cost-estimates/medical-center-standard-charges/,
340015,56-0547479,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-excel/56-0547479_novanthealthrowanmedicalcenter_standardcharges.csv,NOVANT HEALTH ROWAN MEDICAL CENTER,Novant Health Rowan Medical Center,Novant Health,612 MOCKSVILLE AVE,SALISBURY,NC,28144,7042105000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-12-31,56-0547479_novanthealthrowanmedicalcenter_standardcharges.csv,,https://www.novanthealth.org/for-patients/billing--insurance/cost-estimates/medical-center-standard-charges/,
340085,56-0636250,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-excel/56-0636250_novanthealththomasvillemedicalcenter_standardcharges.csv,NOVANT HEALTH THOMASVILLE MEDICAL CENTER,Novant Health Thomasville Medical Center,Novant Health,207 OLD LEXINGTON RD BOX 789,THOMASVILLE,NC,27360,3364722000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-12-31,56-0636250_novanthealththomasvillemedicalcenter_standardcharges.csv,,https://www.novanthealth.org/for-patients/billing--insurance/cost-estimates/medical-center-standard-charges/,
