property_type,property_id,physical_address,city,zip5,sale_type,sale_price,sale_date,county,state,source_url
1100 - RESIDENTIAL - SINGLE UNIT,10010,310 LINCOLN ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2013-07-11 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10015,736 JACKSON ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,376300,2012-08-13 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10025,1038 JACKSON ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2017-02-08 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10036,1544 MADISON ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,0,2015-10-20 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10038,1510 MADISON ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2015-03-10 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,275490,915 COSGROVE ST,PORT TOWNSEND,98368,LOP,0,2021-02-05 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10041,1448 MADISON ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,337500,2015-04-24 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10042,920 HUFFORD PL,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2012-04-03 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10044,1409 MONROE ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2012-10-02 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10046,1603 TYLER ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,369500,2018-09-28 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10047,1597 TYLER ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,298000,2017-03-24 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10050,1000 G ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2016-11-01 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
9100 - VACANT LAND,10051,1010 G ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2016-11-01 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1101 - RESIDENTIAL - MH W/LAND,10056,1050 G ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2016-11-01 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10057,3020 SAN JUAN AVE,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2014-05-29 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10060,3080 SAN JUAN AVE,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,240000,2016-08-05 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10073,718 FIR ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,387000,2019-08-05 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10080,704 FIR ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,320000,2017-06-22 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10081,1152 CALHOUN ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,320000,2014-09-24 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10082,1143 BENTON ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,341350,2015-04-14 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
5100 - MULTI-FLOOR BLDG(APTS/OFF/RETAIL),10083,1012 LAWRENCE ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,1000000,2016-03-31 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10087,829 TYLER ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2018-08-15 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
5932 - SECONDHAND MERCHANDISE,10090,1024 LAWRENCE ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,1000000,2016-03-31 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10094,1011 VAN NESS ST,PORT TOWNSEND,98368,BLA,0,2019-08-22 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10099,1021 TAFT ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2021-05-12 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10104,112 ENFIELD ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,165000,2014-10-23 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10107,360 F ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,460000,2014-07-08 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10108,401 MAPLE PL,PORT TOWNSEND,98368,DTH CERT,0,2021-03-23 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10110,761 CHESTNUT ST,PORT TOWNSEND,98368,SPECIAL WARRANTY DEED,515500,2014-03-31 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
1100 - RESIDENTIAL - SINGLE UNIT,10112,1042 BLAINE ST,PORT TOWNSEND,98368,QUIT CLAIM DEED,0,2012-02-13 00:00:00,JEFFERSON,WA,https://gisdata-jeffcowa.opendata.arcgis.com/datasets/public-parcels/
