id,ein,file_name,mrf_url,name,alt_name,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,last_updated,permalink,transparency_page,additional_notes
330043,11-1667761,11-1667761_South Shore University Hospital_StandardCharges.json,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/11-1667761_South%20Shore%20University%20Hospital_standardcharges.json.zip,SOUTH SHORE UNIVERSITY  HOSPITAL,South Shore University Hospital,Northwell Health,301 EAST MAIN STREET,BAY SHORE,NY,11706,6319683000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,https://www.northwell.edu/billing-and-insurance/price-estimator-tools,
330045,11-1630914,11-1630914_Huntington Hospital_StandardCharges.json,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/11-1630914_Huntington%20Hospital%20Association_standardcharges.json.zip,HUNTINGTON HOSPITAL,Huntington Hospital,Northwell Health,270 PARK AVENUE,HUNTINGTON,NY,11743,6313512000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,https://www.northwell.edu/billing-and-insurance/price-estimator-tools,
330106,11-1562701,11-1562701_North Shore University Hospital_StandardCharges.json,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/11-1562701_North%20Shore%20University%20Hospital_standardcharges.json.zip,NORTH SHORE UNIVERSITY HOSPITAL,North Shore University Hospital,Northwell Health,300 COMMUNITY DRIVE,MANHASSET,NY,11030,5165620100,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,https://www.northwell.edu/billing-and-insurance/price-estimator-tools,
330107,11-1661359,11-1661359_Peconic Bay Medical Center_StandardCharges.json,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/11-1661359_Central%20Suffolk%20Hospital%20_standardcharges.json.zip,PECONIC BAY MEDICAL CENTER,Peconic Bay Medical Center,Northwell Health,1 HEROS WAY,RIVERHEAD,NY,11901,6315486000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,https://www.northwell.edu/billing-and-insurance/price-estimator-tools,
330119,13-1624070,13-1624070_Lenox Hill Hospital_StandardCharges.json,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/13-1624070_Lenox%20Hill%20Hospital_standardcharges.json.zip,LENOX HILL HOSPITAL,Lenox Hill Hospital,Northwell Health,100 EAST 77TH STREET,NEW YORK,NY,10021,2124392345,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,https://www.northwell.edu/billing-and-insurance/price-estimator-tools,
330160,11-2868878,11-2868878_Staten Island University Hospital_StandardCharges.json,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/11-2868878_Staten%20Island%20University%20Hospital%20_standardcharges.json.zip,STATEN ISLAND UNIVERSITY HOSPITAL,Staten Island University Hospital,Northwell Health,475 SEAVIEW AVENUE,STATEN ISLAND,NY,10305,4182269761,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,https://www.northwell.edu/billing-and-insurance/price-estimator-tools,
330162,13-1740118,13-1740118_Northern Westchester Hospital_StandardCharges.json,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/13-1740118_Northern%20Westchester%20Hospital%20Association_standardcharges.json.zip,NORTHERN WESTCHESTER HOSPITAL,Northern Westchester Hospital,Northwell Health,400 EAST MAIN STREET,MOUNT KISCO,NY,10549,9146661200,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,https://www.northwell.edu/billing-and-insurance/price-estimator-tools,
330181,11-1633487,11-1633487_Glen Cove Hospital_StandardCharges.json,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/11-1633487_Glen%20Cove%20Hospital_standardcharges.json.zip,GLEN COVE HOSPITAL,Glen Cove Hospital,Northwell Health,101 ST ANDREWS LANE,GLEN COVE,NY,11542,5166747300,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,https://www.northwell.edu/billing-and-insurance/price-estimator-tools,
330185,11-1639818,11-1639818_Mather Memorial Hospital_StandardCharges.json,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/11-1639818_John%20T.%20Mather%20Memorial%20Hospital_standardcharges.zip,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,Mather Hospital,Northwell Health,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,6314731320,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,https://www.northwell.edu/billing-and-insurance/price-estimator-tools,
330195,11-2241326,11-2241326_Long Island Jewish Hospital_StandardCharges.json,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/11-2241326_Long%20Island%20Jewish%20Medical%20Center_standardcharges.json.zip,LONG ISLAND JEWISH MEDICAL CENTER,Long Island Jewish Medical Center,Northwell Health,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,7184707000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,https://www.northwell.edu/billing-and-insurance/price-estimator-tools,
330261,13-1725076,13-1725076_Phelps Memorial Hospital Center_StandardCharges.json,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/13-1725076_Phelps%20Memorial%20Hospital%20Association_standardcharges.json.zip,PHELPS HOSPITAL,Phelps Hospital,Northwell Health,701 N BROADWAY,SLEEPY HOLLOW,NY,10591,9143663000,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,,,https://www.northwell.edu/billing-and-insurance/price-estimator-tools,
330331,11-3241243,11-3241243_Plainview Hospital_StandardCharges.json,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/11-3241243_Plainview%20Hospital_standardcharges.json.zip,PLAINVIEW HOSPITAL,Plainview Hospital,Northwell Health,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,5167193000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,https://www.northwell.edu/billing-and-insurance/price-estimator-tools,
