cms_certification_num,name,address,city,state,zip5,beds,phone_number,homepage_url,chargemaster_url,last_edited_by_username
440012,BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL,TN,37620,282,4238441121,https://www.balladhealth.org/hospitals/bristol-regional-medical-center,https://balladhealth.box.com/s/mkjz4niqxytjte3m1s2vg13emvh7apoa,captainstabs
491303,DICKENSON COMMUNITY HOSPITAL,312 HOSPITAL DRIVE,CLINTWOOD,VA,24228,25,2769260300,https://www.balladhealth.org/hospitals/dickenson-community-clintwood,https://balladhealth.box.com/s/dp8spj3tqp7wefpd0o2ttnrmxhxunbn8,captainstabs
440050,GREENEVILLE COMMUNITY HOSPITAL,1420 TUSCULUM BOULEVARD,GREENEVILLE,TN,37745,94,4236393151,https://www.balladhealth.org/hospitals/greeneville-community-hospital,https://balladhealth.box.com/s/kp4ln91k1r2tmvjnzyg3iixt77ab712n,captainstabs
441313,HANCOCK COUNTY HOSPITAL,1519 MAIN STREET HWY 33,SNEEDVILLE,TN,37869,10,4237335001,https://www.balladhealth.org/hospitals/hancock-county-sneedville,https://balladhealth.box.com/s/bf3gdznn6mzg9qevljkhec9n2mwfkyb6,captainstabs
440032,HAWKINS COUNTY MEMORIAL HOSPITAL,851 LOCUST STREET,ROGERSVILLE,TN,37857,50,4239217000,https://www.balladhealth.org/hospitals/hawkins-county-memorial-rogersville,https://balladhealth.box.com/s/rcfyulgvlnuqoz82pdl9lj6iv6l0x9uj,captainstabs
440017,HOLSTON VALLEY MEDICAL CENTER,130 WEST RAVINE ROAD,KINGSPORT,TN,37662,519,4232244000,https://www.balladhealth.org/hospitals/holston-valley-medical-center,https://balladhealth.box.com/s/381wnb5gjsl0dm3etuds7nk33myoeh8o,captainstabs
440176,INDIAN PATH COMMUNITY HOSPITAL,2000 BROOKSIDE DR,KINGSPORT,TN,37660,300,4234311941,https://www.balladhealth.org/hospitals/indian-path-community-kingsport,https://balladhealth.box.com/s/pf6kbqi9iufwso2nfis92m931u5jopuy,captainstabs
440063,JOHNSON CITY MEDICAL CENTER,400 N STATE OF FRANKLIN RD,JOHNSON CITY,TN,37604,585,4234316111,https://www.balladhealth.org/hospitals/johnson-city-medical-center,https://balladhealth.box.com/s/kcbveota5k5fxc2rljzzdcf25ymrorpj,captainstabs
441304,JOHNSON COUNTY COMMUNITY HOSPITAL,1901 S SHADY ST,MOUNTAIN CITY,TN,37683,2,4237271110,https://www.balladhealth.org/hospitals/johnson-county-community,https://balladhealth.box.com/s/6mebm4feuj7qnooo05t2peshcjx0mitx,captainstabs
490053,JOHNSTON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,ABINGDON,VA,24211,116,2762581000,https://www.balladhealth.org/hospitals/johnston-memorial-abingdon,https://balladhealth.box.com/s/d1hbsb43fquxanr70rzfstsve2xjqg0v,captainstabs
490114,LONESOME PINE HOSPITAL,1990 HOLTON AVENUE EAST,BIG STONE GAP,VA,24219,178,2765238726,https://www.balladhealth.org/hospitals/lonesome-pine-big-stone-gap,https://balladhealth.box.com/s/bzke4frfqwwmhzy52mgao9md5k5p1b4x,captainstabs
490002,RUSSELL COUNTY HOSPITAL,58 CARROLL STREET,LEBANON,VA,24266,78,2768838100,https://www.balladhealth.org/hospitals/russell-county-hospital-lebanon,https://balladhealth.box.com/s/py5j7xvrs4wprreoi69557pbdwu5mvys,captainstabs
490038,SMYTH COUNTY COMMUNITY HOSPITAL,245 MEDICAL PARK DRIVE,MARION,VA,24354,170,2763781000,https://www.balladhealth.org/hospitals/smyth-county-community-marion,https://balladhealth.box.com/s/yqx46shrb7ut34yp9gc3ukks18wzyu1s,captainstabs
440018,SYCAMORE SHOALS HOSPITAL,1501 WEST ELK AVENUE,ELIZABETHTON,TN,37643,109,4235421300,https://www.balladhealth.org/hospitals/sycamore-shoals-elizabethton,https://balladhealth.box.com/s/i7x75eodgg3ibxmgpz8oo2d04t9fapmm,captainstabs
440001,UNICOI COUNTY  HOSPITAL,2030 TEMPLE HILL ROAD,ERWIN,TN,37650,48,4237433141,https://www.balladhealth.org/hospitals/unicoi-county-hospital-erwin,https://balladhealth.box.com/s/qcl55my52ssal5ff7ffldik67yttz60g,captainstabs
490001,NORTON COMMUNITY HOSPITAL,100  15TH NW STREET,NORTON,VA,24273,129,2764391000,https://www.balladhealth.org/hospitals/norton-community,https://balladhealth.box.com/s/bzke4frfqwwmhzy52mgao9md5k5p1b4x,captainstabs
440184,FRANKLIN WOODS COMMUNITY HOSPITAL,300 MED TECH PARKWAY,JOHNSON CITY,TN,37604,139,4233021120,https://www.balladhealth.org/hospitals/franklin-woods-community,https://balladhealth.box.com/s/5qbtbghh0emt2f05ravz8nkccmxebfdk,captainstabs
