name,business_type,state_registered,street_physical,city_physical,zip5_physical,filing_number,corp_id
"ESCO AGENCY, LLC",LLC,MN,[],,,1000001,1000001
CONTERRA ULTRA BROADBAND LLC,LLC,SC,[],,,1000005,1000005
NATURAL ELEMENTS LLC,LLC,MISSISSIPPI,4755 OLD CANTON ROAD,,,1000006,1000006
"ORIGAMI OWL, LLC",LLC,AZ,[],,,1000007,1000007
MARINE EQUIPMENT SUPPLY LLC,LLC,FL,[],,,1000008,1000008
BP ALTERNATIVE ENERGY NORTH AMERICA INC.,CORPORATION,DE,501 WESTLAKE PARK BOULEVARD,,,1000009,1000009
T & G ADVERTISING LLC,LLC,MISSISSIPPI,[],,,1000010,1000010
CLEAN ENERGY,CORPORATION,CA,"4675 MACARTHUR COURT,SUITE 800",,,1000013,1000013
"JE ENTERPRISES, LLC",LLC,MISSISSIPPI,"124 HERONS CIRCLE, 124 HERONS CIRCLE",,,1000014,1000014
"IROQUOIS PROPERTIES, LLC",LLC,MISSISSIPPI,10092 SADLER LANE,,,1000018,1000018
DAYBREAK PLANTING CO. LLC,LLC,MISSISSIPPI,200 CRIPPLE CREEK RD.,,,1000021,1000021
"J&W SPECIALTIES, LLC",LLC,MISSISSIPPI,[],,,1000023,1000023
E AND H HOLDINGS LLC,LLC,MISSISSIPPI,"5560 N. STATE STREET, 5560 N. STATE STREET",,,1000030,1000030
"POWELL PROPERTIES OF HOUSTON, LLC",LLC,MISSISSIPPI,[],,,1000032,1000032
EXCEL AIRCRAFT LLC,LLC,LA,[],,,1000034,1000034
CREATIVE PLANNING PROPERTY & CASUALTY LLC,LLC,KS,"5440 WEST 110TH STREET SUITE 101, 5440 WEST 110TH STREET SUITE 101",,,1000036,1000036
BP BIOFUELS NORTH AMERICA LLC,LLC,DE,[],,,1000037,1000037
"PAYMENT RESOLUTION SERVICES, LLC",LLC,TN,[],,,1000039,1000039
"INTEGRATED DYNAMICS, LLC",LLC,MISSISSIPPI,[],,,1000042,1000042
"LORRI C. WILLIAMSON, LLC",LLC,MISSISSIPPI,536 CR 95,,,1000044,1000044
