cms_certification_num,payer,code,internal_revenue_code,description,price
520193,CASH PRICE,CPT 19001,10000019,BREAST ASPIRATE CYST EA ADDL,370.00
520193,CASH PRICE,CPT 23350,10000033,ARTHROGRAM SHOULDER INJECT,795.00
520193,CASH PRICE,CPT 24220,10000034,ARTHROGRAM ELBOW INJECT,795.00
520193,CASH PRICE,CPT 25246,10000035,ARTHROGRAM WRIST INJECT,795.00
520193,CASH PRICE,CPT 27093,10000036,ARTHROGRAM HIP INJECT,795.00
520193,CASH PRICE,CPT 27369,10000037,ARTHROGRAM KNEE INJECT,920.00
520193,CASH PRICE,CPT 27648,10000038,ARTHROGRAM ANKLE INJECT,795.00
520193,CASH PRICE,CPT 33881,10000058,ENDO REPAIR TAA WO SUBCLAVIAN,6840.00
520193,CASH PRICE,CPT 36215,10000080,SELECTIVE CATH 1ST ORDER THORACIC,1710.00
520193,CASH PRICE,CPT 36216,10000081,SELECTIVE CATH 2ND ORDER THORACIC,1710.00
520193,CASH PRICE,CPT 36217,10000082,SELECTIVE CATH 3RD ORDER THORACIC,1710.00
520193,CASH PRICE,CPT 36218,10000084,SELECTIVE CATH 2&3 THORARIC ADDL,855.00
520193,CASH PRICE,CPT 36245,10000085,SELECTIVE CATH 1ST ORDER ABD/PELVIC,1500.00
520193,CASH PRICE,CPT 36246,10000086,SELECTIVE CATH 2ND ABD/PELVIC/EXTREM,1500.00
520193,CASH PRICE,CPT 36247,10000087,SELECTIVE CATH 3RD ABD/PELVIC/EXTREM,1500.00
520193,CASH PRICE,CPT 36248,10000088,SELECTIVE CATH 2&3 ABD/PELVIC/EXTREM/ADDL,750.00
520193,CASH PRICE,CPT 36470,10000089,SCLEROTHERAPY SINGLE VEIN,270.00
520193,CASH PRICE,CPT 36471,10000090,SCLEROTHERAPY MULTIPLE VEINS,405.00
520193,CASH PRICE,CPT 36478,10000091,ABLATION VARICOSE VEIN LASER 1ST,7020.00
520193,CASH PRICE,CPT 36500,10000092,CATH VENOUS BLOOD SAMPLING,1310.00
