Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna,Exchange_-Common_Ground,Health_EOS,Humana_WVN,Humana_HMO,Humana_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"BAY AREA","CHARGE","10000002","ROOM CHARGE MED SURG","","2,030.00","1,847.30","860.74","940.47","1,400.70","1,096.20","1,747.83","1,400.70","1,847.30","1,218.00","1,542.80","1,725.50","1,827.00","1,346.51","1,725.50","1,414.91","1,249.39","1,392.93","1,116.50","860.74","1,847.30"
"BAY AREA","CHARGE","10000003","ROOM CHARGE WOMEN'S HEALTH","","2,030.00","1,847.30","809.19","896.67","1,400.70","1,096.20","1,747.83","1,400.70","1,847.30","1,218.00","1,542.80","1,725.50","1,827.00","1,328.33","1,725.50","1,414.91","1,157.76","1,321.99","1,116.50","809.19","1,847.30"
"BAY AREA","CHARGE","10000004","ROOM CHARGE PEDIATRICS","","2,030.00","1,847.30","1,039.65","1,155.12","1,400.70","1,096.20","1,747.83","1,400.70","1,847.30","1,218.00","1,542.80","1,725.50","1,827.00","1,830.26","1,725.50","1,414.91","1,640.75","1,915.40","1,116.50","1,039.65","1,915.40"
"BAY AREA","CHARGE","10000005","ROOM CHARGE NURSERY LEVEL 1","","1,500.00","1,365.00","640.15","706.06","1,035.00","810.00","1,291.50","1,035.00","1,365.00","900.00","1,140.00","1,275.00","1,350.00","1,026.21","1,275.00","1,045.50","865.65","957.37","825.00","640.15","1,365.00"
"BAY AREA","CHARGE","10000006","ROOM CHARGE NURSERY LEVEL 2","","1,820.00","1,656.20","743.31","812.92","1,255.80","982.80","1,567.02","1,255.80","1,656.20","1,092.00","1,383.20","1,547.00","1,638.00","1,169.42","1,547.00","1,268.54","1,052.05","1,177.09","1,001.00","743.31","1,656.20"
"BAY AREA","CHARGE","10000007","ROOM CHARGE NURSERY LEVEL 3","","2,430.00","2,211.30","992.44","1,085.39","1,676.70","1,312.20","2,092.23","1,676.70","2,211.30","1,458.00","1,846.80","2,065.50","2,187.00","1,561.37","2,065.50","1,693.71","1,404.66","1,571.60","1,336.50","992.44","2,211.30"
"BAY AREA","CHARGE","10000008","ROOM CHARGE ICU OR CCU","","4,150.00","3,776.50","1,590.63","1,645.62","2,863.50","2,241.00","3,573.15","2,863.50","3,776.50","2,490.00","3,154.00","3,527.50","3,735.00","2,165.14","3,527.50","2,892.55","2,005.42","2,229.36","2,282.50","1,590.63","3,776.50"
"BAY AREA","CHARGE","10000013","PHOTOTHERAPY, PER DAY","","320.00","291.20","115.02","127.96","220.80","172.80","275.52","220.80","291.20","192.00","243.20","272.00","288.00","192.13","272.00","223.04","147.94","171.77","176.00","115.02","291.20"
"BAY AREA","CHARGE","10000016","NURSING L&D PER HOUR","","118.00","107.38","38.57","42.85","81.42","63.72","101.60","81.42","107.38","70.80","89.68","100.30","106.20","71.34","100.30","82.25","61.64","70.99","64.90","38.57","107.38"
"BAY AREA","CHARGE","10000019","BREAST ASPIRATE CYST EA ADDL","19001","335.00","304.85","88.73","89.87","200.67","180.90","288.44","231.15","304.85","201.00","254.60","284.75","301.50","179.52","284.75","233.50","156.50","180.19","184.25","88.73","304.85"
"BAY AREA","CHARGE","10000033","ARTHROGRAM SHOULDER INJECT","23350","760.00","691.60","223.13","224.13","225.94","410.40","654.36","524.40","691.60","456.00","577.60","646.00","684.00","198.71","646.00","529.72","253.32","295.10","418.00","198.71","691.60"
"BAY AREA","CHARGE","10000034","ARTHROGRAM ELBOW INJECT","24220","760.00","691.60","270.89","289.81","453.93","410.40","654.36","524.40","691.60","456.00","577.60","646.00","684.00","447.90","646.00","529.72","371.84","426.51","418.00","270.89","691.60"
"BAY AREA","CHARGE","10000035","ARTHROGRAM WRIST INJECT","25246","760.00","691.60","222.63","223.49","225.06","410.40","654.36","524.40","691.60","456.00","577.60","646.00","684.00","199.29","646.00","529.72","252.73","294.51","418.00","199.29","691.60"
