name,restaurant_name,identifier,calories,fat_g,carbohydrates_g,protein_g,sodium_mg,price_usd,cholesterol_mg,fiber_g,sugars_g
#1 1988 BANZAI VEGGIE TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,470,8.00,82,19,940,,5,13,
#1 1988 BANZAI VEGGIE TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,430,9.00,76,15,2160,,5,15,
#1 1988 BANZAI VEGGIE TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,590,12.00,100,20,1230,,25,12,
#1 1988 BANZAI VEGGIE TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,550,12.00,94,17,2460,,25,15,
#1 1988 BLACKENED CHICKEN TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,530,11.00,82,28,1090,,35,14,
#1 1988 BLACKENED CHICKEN TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,500,12.00,76,25,2310,,35,17,
#1 1988 BLACKENED CHICKEN TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,650,15.00,100,29,1380,,55,14,
#1 1988 BLACKENED CHICKEN TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,610,15.00,94,26,2610,,55,16,
#1 1988 BLACKENED FISH TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,520,9.00,83,29,1120,,30,15,
#1 1988 BLACKENED FISH TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,480,10.00,77,25,2340,,30,17,
#1 1988 BLACKENED FISH TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,630,13.00,101,30,1420,,45,14,
#1 1988 BLACKENED FISH TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,590,13.00,95,26,2640,,45,17,
#1 1988 CARNE ASADA TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,570,16.00,82,27,1030,,35,14,
#1 1988 CARNE ASADA TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,530,16.00,76,24,2260,,35,17,
#1 1988 CARNE ASADA TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,680,19.00,100,29,1330,,55,14,
#1 1988 CARNE ASADA TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,640,19.00,94,25,2550,,55,16,
#1 1988 CARNITAS TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,610,16.00,83,34,1340,,55,15,
#1 1988 CARNITAS TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,570,17.00,77,31,2570,,55,17,
#1 1988 CARNITAS TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,720,20.00,101,36,1640,,75,14,
#1 1988 CARNITAS TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,680,20.00,95,32,2860,,75,17,
#1 1988 CHARBROILED CHICKEN TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,530,12.00,81,28,1070,,40,14,
#1 1988 CHARBROILED CHICKEN TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,500,12.00,75,25,2290,,40,16,
#1 1988 CHARBROILED CHICKEN TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,650,15.00,99,29,1360,,55,13,
#1 1988 CHARBROILED CHICKEN TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,610,16.00,93,26,2590,,55,16,
#1 1988 CHARBROILED FISH TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,510,9.00,82,29,1100,,30,14,
#1 1988 CHARBROILED FISH TACO - BROWN RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,480,10.00,76,25,2330,,30,17,
#1 1988 CHARBROILED FISH TACO - WHITE RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,630,12.00,100,30,1400,,50,14,
#1 1988 CHARBROILED FISH TACO - WHITE RICE - WHITE BEANS,WAHOO'S FISH TACOS,NATIONAL,590,13.00,94,27,2620,,50,16,
#1 1988 MUSHROOMS TACO - BROWN RICE - BLACK BEANS,WAHOO'S FISH TACOS,NATIONAL,500,11.00,84,20,1020,,5,14,
