name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,corp_id
"RANDALL FORD, INC.",CORPORATION,AR,5500 ROGERS AVE.,FORT SMITH,72903,,,,,100042780,379
JOHN BROWN UNIVERSITY,NONPROFIT,AR,2000 WEST UNVIERSITY STREET,SILOAM SPRINGS,72761,AR,2000 WEST UNVERSITY STREET,SILOAM SPRINGS,72761,100008351,381
DELTA VALLEY & SOUTHERN RAILWAY COMPANY,CORPORATION,AR,ONE PARK,WILSON,72395,,,,,100015527,382
"HARDING UNIVERSITY, INC.",NONPROFIT,AR,915 E. MARKET AVE.,SEARCY,72149,AR,915 E MARKET AVE,SEARCY,72149,100023679,385
R. L. POLK & CO.,CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,,,,,100064854,404
"EL DORADO PRINTING & STATIONERY COMPANY, INC.",CORPORATION,AR,332 SOUTH WASHINGTON,EL DORADO,71730,,,,,100017492,406
"WALTHOUR-FLAKE CO., INC.",CORPORATION,AR,"1 ALLIED DRIVE, STE 1500",LITTLE ROCK,72202,,,,,100053981,413
"NESTLE USA, INC.",CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100058404,416
HEXION INC.,CORPORATION,AR,"300 SPRING BUILDING, SUITE 900,300 S. SPRING STREET",LITTLE ROCK,72201,,,,,100057982,417
"CENTRAL NATURAL RESOURCES, INC.",CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100058502,420
C T CORPORATION SYSTEM,CORPORATION,AR,"124 WEST CAPITOL AVENUE,SUITE 1900",LITTLE ROCK,72201,IL,2700 LAKE COOK ROAD,RIVER WOODS,60015,100058261,429
VETERANS OF FOREIGN WARS OF THE UNITED STATES,NONPROFIT,AR,4210 E KIEHL AVE,SHERWOOD,72120,MO,406 W 34TH ST,KANSAS CITY,64111,100067488,430
"ARKANSAS MOTORS, INC.",CORPORATION,AR,1001 E. HARDING,PINE BLUFF,71601,,,,,100003398,434
HUNT OIL COMPANY,CORPORATION,AR,"300 S SPRING ST, STE 900",LITTLE ROCK,72201,,,,,100061744,436
UNISYS CORPORATION,CORPORATION,AR,"300 SPRING BUILDING,SUITE 900",LITTLE ROCK,72201,,,,,100067284,437
PLACID OIL COMPANY,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100064822,440
FIRST ELECTRIC COOPERATIVE CORPORATION,COOP,AR,1000 SOUTH J.P. WRIGHT LOOP RD.,JACKSONVILLE,72076,AR,1000 SOUTH JP WRIGHT LOOP ROAD,JACKSONVILLE,72076,100019520,455
STANDARD INVESTMENT COMPANY,CORPORATION,AR,1501 HEARTWOOD,WHITE HALL,71602,,,,,100048853,456
WOODRUFF ELECTRIC COOPERATIVE CORPORATION,COOP,AR,210 E MERRIMAN,WYNNE,72396,AR,"HIGHWAY 1 NORTH,P.O. BOX 1619",FORREST CITY,72336,100055982,459
FARMERS ELECTRIC COOPERATIVE CORPORATION,COOP,AR,300 HWY 67 NORTH,NEWPORT,72112,AR,300 HWY 367 NORTH,NEWPORT,72112,100018780,461
THE HERSHEY COMPANY,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100061499,463
C B REALTY CORPORATION,CORPORATION,AR,"400 WEST CAPITOL AVE, SUITE 2000",LITTLE ROCK,72201,,,,,100009217,467
CRAIGHEAD ELECTRIC COOPERATIVE CORPORATION,COOP,AR,407 SOUTH MAIN STREET,JONESBORO,72401,AR,PO BOX 7503,JONESBORO,72403,100013754,469
CARROLL ELECTRIC COOPERATIVE CORPORATION,COOP,AR,12217 WEST HIGHWAY 62,FARMINGTON,72730,AR,PO BOX 4000,BERRYVILLE,72616,100010157,475
OTIS ELEVATOR COMPANY,CORPORATION,AR,"124 WEST CAPITOL AVENUE, SUITE 1900",LITTLE ROCK,72201,,,,,100064378,478
GUARANTY LOAN & REAL ESTATE CO.,CORPORATION,AR,105 N. AVALON,WEST MEMPHIS,72301,,,,,100022930,483
"PINE BLUFF COUNTRY CLUB, INC.",NONPROFIT,AR,12 LONGMEADOW,PINE BLUFF,71603,AR,1100 WEST 46TH AVE,PINE BLUFF,71603,100040571,485
CLAY COUNTY ELECTRIC COOPERATIVE CORPORATION,COOP,AR,425 W CAPITOL AVE SUITE 1800,LITTLE ROCK,72201,AR,"3111 HIGHWAY 67,PO BOX 459",CORNING,72422,100011858,494
BLYTHEVILLE COMPRESS COMPANY,CORPORATION,AR,700 NORTH BROADWAY STREET,BLYTHEVILLE,72315,,,,,100007296,495
C & L ELECTRIC COOPERATIVE CORPORATION,COOP,AR,223 N. DREW ST.,STAR CITY,71667,AR,900 CHURCH STREET,STAR CITY,71667,100009132,499
