cms_certification_num,code,description,payer,price,inpatient_outpatient,code_disambiguator,units
170075,82575,.Creatinine Clearance 3,CASH PRICE,55,UNSPECIFIED,NONE,
170075,82575,.Creatinine Clearance 3,MEDICARE,9.46,UNSPECIFIED,NONE,
170075,82575,.Creatinine Clearance 3,BCBS,34.76,UNSPECIFIED,NONE,
170075,82575,.Creatinine Clearance 3,SUNFLOWER_HEALTH,9.46,UNSPECIFIED,NONE,
170075,82575,.Creatinine Clearance 3,SUNFLOWER_HEALTH_COM_EXCHANGE,10.406000000000002,UNSPECIFIED,NONE,
170075,82575,.Creatinine Clearance 3,AETNA_BETTER_HEALTH_OF_KANSAS,9.46,UNSPECIFIED,NONE,
170075,82575,.Creatinine Clearance 3,AETNA,13.53,UNSPECIFIED,NONE,
170075,82575,.Creatinine Clearance 3,PROVIDRS CARE NETWORK,14.190000000000001,UNSPECIFIED,NONE,
170075,82575,.Creatinine Clearance 3,UHC_MEDICARE_ADVANTAGE,9.46,UNSPECIFIED,NONE,
170075,82575,.Creatinine Clearance 3,HUMANA_MEDICARE ADVANTAGE,8.041,UNSPECIFIED,NONE,
170075,82575,.Creatinine Clearance 3,UNITED HEALTHCARE_UHC,49.5,UNSPECIFIED,NONE,
170075,82575,.Creatinine Clearance 3,CHRISTIAN HEALTH AID_CHA,55,UNSPECIFIED,NONE,
170075,82575,.Creatinine Clearance 3,MIN,8.041,UNSPECIFIED,NONE,
170075,82575,.Creatinine Clearance 3,GROSS CHARGE,55,UNSPECIFIED,NONE,
170075,82952,.Gluc 2 Hr,CASH PRICE,21.6,UNSPECIFIED,NONE,
170075,82952,.Gluc 2 Hr,MEDICARE,3.92,UNSPECIFIED,NONE,
170075,82952,.Gluc 2 Hr,BCBS,14.43,UNSPECIFIED,NONE,
170075,82952,.Gluc 2 Hr,SUNFLOWER_HEALTH,3.92,UNSPECIFIED,NONE,
170075,82952,.Gluc 2 Hr,SUNFLOWER_HEALTH_COM_EXCHANGE,4.312,UNSPECIFIED,NONE,
170075,82952,.Gluc 2 Hr,AETNA_BETTER_HEALTH_OF_KANSAS,3.92,UNSPECIFIED,NONE,
170075,82952,.Gluc 2 Hr,AETNA,5.61,UNSPECIFIED,NONE,
