CHARGE_DESCRIPTION,ACTIVITY_TYPE,MRKS_CPT,MRKS_HCPCS,DRG_CODE,NDC,CHARGEMASTER_PRICE,AVERAGE CHARGES_INPATIENT DRGS,DISCOUNTED CASH PRICE,MEDICARE,BCBS,SUNFLOWER_HEALTH,SUNFLOWER_HEALTH_COM_EXCHANGE,AETNA_BETTER_HEALTH_OF_KANSAS,AETNA,PROVIDRS CARE NETWORK,UHC_MEDICARE_ADVANTAGE,HUMANA_MEDICARE ADVANTAGE,UNITED HEALTHCARE_UHC,CHRISTIAN HEALTH AID_CHA,MINIMUM_COMMERCIAL PRICE,MAXIMUM_COMMERCIAL PRICE
.Creatinine Clearance 3,General Lab,82575,,,,55,,55,9.46,34.76,9.46,10.406000000000002,9.46,13.53,14.190000000000001,9.46,8.041,49.5,55,8.041,55
.Gluc 2 Hr,General Lab,82952,,,,21.6,,21.6,3.92,14.43,3.92,4.312,3.92,5.61,5.88,3.92,3.332,19.44,21.6,3.332,21.6
.Gluc 3 Hr,General Lab,82952,,,,21.6,,21.6,3.92,14.43,3.92,4.312,3.92,5.61,5.88,3.92,3.332,19.44,21.6,3.332,21.6
.Gluc Fasting,General Lab,82951,,,,72.3,,72.3,12.87,48.24,12.87,14.157,12.87,18.44,19.305,12.87,10.939499999999999,65.07,72.3,10.939499999999999,72.3
2019 Coronavirus SARS-CoV-2 - AMS,General Lab,87635,,,,145,,145,0,113.05,0,0,0,51.31,87,0,0,130.5,145,0,145
36415 Venipuncture,AFC GENERIC ADD-ON,36415,,,,17,,17,3,11.93,3,3.3000000000000003,3,4.8,4.5,3,2.55,15.3,17,2.55,17
43202 Esophagoscopy w/Biopsy,Ambulatory Procedures,43202,,,,1256,,1256,348.59,905,348.59,383.449,348.59,0,522.885,348.59,296.3015,1130.4,1256,0,1256
"49505 Repair initial inguinal hernia, age 5 years or older",Ambulatory Procedures,49505,,,,7279,,7279,498.55,3774,498.55,548.4050000000001,498.55,745.65,747.825,498.55,423.7675,6551.1,7279,423.7675,7279
49561 Repair of incarcerated,Ambulatory Procedures,49561,,,,7279,,7279,890.5,2309,890.5,979.5500000000001,890.5,0,1335.75,890.5,756.925,6551.1,7279,0,7279
"51700 Bladder irrigation, simple, lavage and/or instillation",Ambulatory Procedures,51700,,,,230,,230,77.58,309.08,77.58,85.33800000000001,77.58,72.77,116.37,77.58,65.943,207,230,65.943,309.08
51701 Insertion of bladder catheter,Ambulatory Procedures,51701,,,,110,,110,46.52,143.46,46.52,51.172000000000004,46.52,92.43,69.78,46.52,39.542,99,110,39.542,143.46
51702 Insertion of temporary indwelling bladder catheter; simple,Ambulatory Procedures,51702,,,,110,,110,63.32,143.46,63.32,69.652,63.32,48.58,94.98,63.32,53.821999999999996,99,110,48.58,143.46
80305 Drug Screen Collection Only,AFC GENERIC ADD-ON,80305,,,,25,,25,12.6,27.87,12.6,13.860000000000001,12.6,13.52,18.9,12.6,10.709999999999999,22.5,25,10.709999999999999,27.87
80307 Urine AMS,AFC GENERIC ADD-ON,80307,,,,125,,125,62.14,148.59,62.14,68.354,62.14,0,93.21000000000001,62.14,52.819,112.5,125,0,148.59
80307 Urine w/Alcohol AMS,AFC GENERIC ADD-ON,80307,,,,135,,135,62.14,148.59,62.14,68.354,62.14,0,93.21000000000001,62.14,52.819,121.5,135,0,148.59
81001 UA AUTOMATED W/ MICRO,General Lab,81001,,,,19.95,,19.95,3.17,9.62,3.17,3.487,3.17,4.54,4.755,3.17,2.6944999999999997,17.955,19.95,2.6944999999999997,19.95
82746 B12 and Folate AMS,AFC GENERIC ADD-ON,82746,,,,96.9,,96.9,14.7,61.2,14.7,16.17,14.7,21.06,22.049999999999997,14.7,12.495,87.21000000000001,96.9,12.495,96.9
82784 Immunoelectrophoresis Serum AMS,AFC GENERIC ADD-ON,82784,,,,22,,22,9.3,48.75,9.3,10.230000000000002,9.3,13.32,13.950000000000001,9.3,7.905,19.8,22,7.905,48.75
84155 Immunoelectrophoresis Serum AMS,AFC GENERIC ADD-ON,84155,,,,29.5,,29.5,3.67,8.55,3.67,4.037,3.67,5.25,5.505,3.67,3.1195,26.55,29.5,3.1195,29.5
84156 Urine 24hr Protein,AFC GENERIC ADD-ON,84156,,,,29.5,,29.5,3.67,18.63,3.67,4.037,3.67,5.25,5.505,3.67,3.1195,26.55,29.5,3.1195,29.5
84166 Immunofixation (IFE),AFC GENERIC ADD-ON,84166,,,,67,,67,20.03,38.14,20.03,22.033000000000005,20.03,25.54,30.045,20.03,17.0255,60.300000000000004,67,17.0255,67
84402 Testosterone Free AMS,AFC GENERIC ADD-ON,84402,,,,64.8,,64.8,25.47,107.57,25.47,28.017,25.47,0,38.205,25.47,21.6495,58.32,64.8,0,107.57
85025 CBC w/Auto Diff,General Lab,85025,,,,28.7,,28.7,7.77,13.23,7.77,8.547,7.77,6.66,11.655,7.77,6.6045,25.83,28.7,6.6045,28.7
85025 CBC w/Auto Diff,AFC GENERIC ADD-ON,85025,,,,28.7,,28.7,7.77,13.23,7.77,8.547,7.77,6.66,11.655,7.77,6.6045,25.83,28.7,6.6045,28.7
85027 CBC w/Manual Diff,General Lab,85027,,,,28.7,,28.7,6.47,13.76,6.47,7.117,6.47,9.27,9.705,6.47,5.499499999999999,25.83,28.7,5.499499999999999,28.7
86038 ANA Quant Add On AMS,AFC GENERIC ADD-ON,86038,,,,65.7,,65.7,12.09,43.86,12.09,13.299000000000001,12.09,17.32,18.134999999999998,12.09,10.2765,59.13,65.7,10.2765,65.7
86235 ANA Panel Quantitative AMS,AFC GENERIC ADD-ON,86235,,,,178.9,,178.9,17.93,51.74,17.93,19.723000000000003,17.93,25.69,26.895,17.93,15.240499999999999,161.01000000000002,178.9,15.240499999999999,178.9
86255 ANA Panel Quantitative AMS,AFC GENERIC ADD-ON,86255,,,,116.5,,116.5,20.03,49.49,20.03,22.033000000000005,20.03,17.26,30.045,20.03,17.0255,104.85000000000001,116.5,17.0255,116.5
86334 Immunoelectrophoresis Serum AMS,AFC GENERIC ADD-ON,86334,,,,25,,25,20.03,96.09,20.03,22.033000000000005,20.03,32,30.045,20.03,17.0255,22.5,25,17.0255,96.09
86665 Epstein-Barr Virus Serology AMS,AFC GENERIC ADD-ON,86665,,,,96.3,,96.3,18.14,64.23,18.14,19.954,18.14,0,27.21,18.14,15.419,86.67,96.3,0,96.3
86705 Hepatitis Panel AMS,AFC GENERIC ADD-ON,86705,,,,36.63,,36.63,11.77,33.75,11.77,12.947000000000001,11.77,0,17.655,11.77,10.0045,32.967000000000006,36.63,0,36.63
86709 Hepatitis Panel AMS,AFC GENERIC ADD-ON,86709,,,,78.3,,78.3,11.26,49.46,11.26,12.386000000000001,11.26,0,16.89,11.26,9.571,70.47,78.3,0,78.3
86800 Thyroglobulin Ab,AFC GENERIC ADD-ON,86800,,,,108.2,,108.2,15.91,68.39,15.91,17.501,15.91,22.78,23.865000000000002,15.91,13.5235,97.38000000000001,108.2,13.5235,108.2
86920 Crossmatch,AFC GENERIC ADD-ON,86920,,,,65.3,,65.3,0,45.87,0,0,0,0,39.18,0,0,58.769999999999996,65.3,0,65.3
87046 Stool Culture with Shiga Toxin AMS,AFC GENERIC ADD-ON,87046,,,,40,,40,9.44,29.33,9.44,10.384,9.44,0,14.16,9.44,8.024,36,40,0,40
87070 Sputum Culture with Gram Stain AMS,AFC GENERIC ADD-ON,87070,,,,35,,35,8.62,31.56,8.62,9.482,8.62,12.34,12.93,8.62,7.326999999999999,31.5,35,7.326999999999999,35
87070 Wound Culture AMS,AFC GENERIC ADD-ON,87070,,,,35,,35,8.62,31.56,8.62,9.482,8.62,12.34,12.93,8.62,7.326999999999999,31.5,35,7.326999999999999,35
