X,Y,OBJECTID,NCESID,name,address,city,state,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,lat,lon,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,website,LEVEL_,ENROLLMENT,ST_GRADE,END_GRADE,DISTRICTID,FT_TEACHER,SHELTER_ID
-9611345.6586,5179521.661,102179,260014201700,COUNTRYSIDE ACADEMY ELEMENTARY,4821 NORTH STREET,BENTON HARBOR,MI,49022,,(269) 944-5565,1,1,377,BERRIEN,26021,USA,42.123663413,-86.3401870609999,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=260014201700,2010/01/29 00:00:00,IMAGERY/OTHER,2020/03/06 00:00:00,http://www.countrysideacademy.org,ELEMENTARY,361,KG,05,2600142,16,10809185
-10381870.9584,5612507.3333,102180,271104002555,EARLY CHILDHOOD SPECIAL EDUCATION,215 N 1ST AVE E,DULUTH,MN,55802,2058,(218) 336-8744,2,1,140,ST. LOUIS,27137,USA,44.9427130550001,-93.2619335969999,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=271104002555,2009/10/13 00:00:00,IMAGERY/OTHER,2020/03/23 00:00:00,,PREKINDERGARTEN,140,PK,PK,2711040,-999,
-9681141.8148,3996828.0045,102181,010192000698,CORNER HIGH SCHOOL,4301 WARRIOR JASPER ROAD,DORA,AL,35062,,(205) 379-3200,1,1,567,JEFFERSON,01073,USA,33.7615442060001,-86.9671766,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=010192000698,2009/12/10 00:00:00,IMAGERY/OTHER,2020/03/06 00:00:00,http://cornerhigh.jefcoed.com/,HIGH,537,09,12,101920,30,
-9473858.6553,5018124.9176,102182,180001301774,TIMOTHY L JOHNSON ACADEMY,4625 WERLING DR,FORT WAYNE,IN,46806,,(260) 441-8727,1,1,326,ALLEN,18003,USA,41.0391968980001,-85.1051202959999,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=180001301774,2010/01/29 00:00:00,IMAGERY/OTHER,2020/04/02 00:00:00,,ELEMENTARY,312,KG,06,1800013,14,
-9211027.9001,4982893.9588,102183,391000802184,CRESTLINE ELEMENTARY SCHOOL,435 OLDFIELD RD,CRESTLINE,OH,44827,9404,(419) 683-3647,1,1,291,CRAWFORD,39033,USA,40.800051969,-82.744071451,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=391000802184,2010/01/29 00:00:00,IMAGERY/OTHER,2020/04/13 00:00:00,,ELEMENTARY,271,KG,05,3910008,20,11531209
-12240919.576,3900135.5097,102184,040034902254,GIFT - FT. THOMAS HIGH SCHOOL,HIGHWAY 70,FORT THOMAS,AZ,85536,,(928) 348-3393,3,1,-999,GRAHAM,04009,USA,33.0363929050001,-109.962051468,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040034902254,2010/01/29 00:00:00,IMAGERY/OTHER,2019/01/02 00:00:00,,HIGH,0,09,12,400349,-999,
-10932357.2696,5553195.6786,102185,463548000312,HURON COLONY ELEMENTARY - 13,40068 HURON COLONY LN,HURON,SD,57350,,(605) 353-7885,1,1,22,BEADLE,46005,USA,44.5643474190001,-98.207036267,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=463548000312,2010/01/29 00:00:00,IMAGERY/OTHER,2019/01/10 00:00:00,http://www.huron.k12.sd.us,ELEMENTARY,20,KG,08,4635480,2,
-8414225.4316,4820446.1949,102186,100004900341,DELAWARE ACADEMY OF PUBLIC SAFETY AND SECURITY,801 NORTH DUPONT HIGHWAY,NEW CASTLE,DE,19720,,(302) 322-6050,1,1,243,NEW CASTLE,10003,USA,39.6862016690001,-75.5862730919999,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=100004900341,2011/09/30 00:00:00,IMAGERY/OTHER,2020/01/06 00:00:00,http://www.dapsscharterschool.org,HIGH,228,09,12,1000049,15,
-13615427.2399,6042749.5198,102187,530771001311,SEATTLE WORLD SCHOOL,1700 EAST UNION ST.,SEATTLE,WA,98122,,(206) 252-2200,4,1,256,KING,53033,USA,47.6132294880001,-122.309463894,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530771001311,2009/10/13 00:00:00,IMAGERY/OTHER,2020/03/24 00:00:00,,HIGH,236,06,12,5307710,20,
-10856714.2499,3007766.9311,102188,482829011393,LOS FRESNOS UNITED,33790 FM 803,SAN BENITO,TX,78586,,(956) 254-5250,1,1,1761,CAMERON,48061,USA,26.070109754,-97.5275234599999,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=482829011393,2010/01/29 00:00:00,IMAGERY/OTHER,2020/01/13 00:00:00,http://lfu.lfcisd.net,SECONDARY,1657,09,10,4828290,104,
