id,ein,name,file_name,mrf_url,alt_name,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,last_updated,permalink,transparency_page,additional_notes
360170,38-4105653,BERGER HOSPITAL,38-4105653_berger_standardcharges.xlsx,https://www.ohiohealth.com/siteassets/patients-and-visitors/preparing-for-your-visit/out-of-pocket-estimates/38-4105653_berger_standardcharges.xlsx,OhioHealth Berger Hospital,OhioHealth,600 NORTH PICKAWAY STREET,CIRCLEVILLE,OH,43113,7404742126,U,Short Term,GOVERNMENT - STATE,ACTIVE PROVIDER,2022-01-01,,https://www.ohiohealth.com/patients-and-visitors/prepare-for-your-visit/price-estimator,
360152,31-4394942,DOCTORS HOSPITAL,31-4394942_doctors_standardcharges.xlsx,https://www.ohiohealth.com/siteassets/patients-and-visitors/preparing-for-your-visit/out-of-pocket-estimates/31-4394942_doctors_standardcharges.xlsx,OhioHealth Doctors Hospital,OhioHealth,5100 WEST  BROAD STREET,COLUMBUS,OH,43228,6145441000,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2022-01-01,,https://www.ohiohealth.com/patients-and-visitors/prepare-for-your-visit/price-estimator,
360348,31-4394942,DUBLIN METHODIST HOSPITAL,31-4394942_dublin_standardcharges.xlsx,https://www.ohiohealth.com/siteassets/patients-and-visitors/preparing-for-your-visit/out-of-pocket-estimates/31-4394942_dublin_standardcharges.xlsx,OhioHealth Dublin Methodist Hospital,OhioHealth,7500 HOSPITAL AVENUE,DUBLIN,OH,43016,6145448694,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-01-01,,https://www.ohiohealth.com/patients-and-visitors/prepare-for-your-visit/price-estimator,
360210,31-4379436,GRADY MEMORIAL HOSPITAL,31-4379436_grady_standardcharges.xlsx,https://www.ohiohealth.com/siteassets/patients-and-visitors/preparing-for-your-visit/out-of-pocket-estimates/31-4379436_grady_standardcharges.xlsx,OhioHealth Grady Memorial Hospital,OhioHealth,561 WEST CENTRAL AVENUE,DELAWARE,OH,43015,7403685145,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-01-01,,https://www.ohiohealth.com/patients-and-visitors/prepare-for-your-visit/price-estimator,
360017,31-4394942,GRANT MEDICAL CENTER,31-4394942_grant_standardcharges.xlsx,https://www.ohiohealth.com/siteassets/patients-and-visitors/preparing-for-your-visit/out-of-pocket-estimates/31-4394942_grant_standardcharges.xlsx,OhioHealth Grant Medical Center,OhioHealth,111 SOUTH GRANT AVENUE,COLUMBUS,OH,43215,6145668952,U,Short Term,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2022-01-01,,https://www.ohiohealth.com/patients-and-visitors/prepare-for-your-visit/price-estimator,
361315,31-4440479,HARDIN MEMORIAL HOSPITAL,31-4440479_hardin_standardcharges.xlsx,https://www.ohiohealth.com/siteassets/patients-and-visitors/preparing-for-your-visit/out-of-pocket-estimates/31-4440479_hardin_standardcharges.xlsx,OhioHealth Hardin Memorial Hospital,OhioHealth,921 EAST FRANKLIN STREET,KENTON,OH,43326,4196730761,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-01-01,,https://www.ohiohealth.com/patients-and-visitors/prepare-for-your-visit/price-estimator,
360011,31-1070877,MARION GENERAL HOSPITAL,31-1070877_marion_standardcharges.xlsx,https://www.ohiohealth.com/siteassets/patients-and-visitors/preparing-for-your-visit/out-of-pocket-estimates/31-1070877_marion_standardcharges.xlsx,OhioHealth Marion General Hospital,OhioHealth,1000 MCKINLEY PARK DRIVE,MARION,OH,43302,7403838400,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-01-01,,https://www.ohiohealth.com/patients-and-visitors/prepare-for-your-visit/price-estimator,
360372,31-4394942,OHIO ORTHOPEDIC SURGERY INSTITUTE LLC,31-4394942_grove-city_standardcharges.xlsx,https://www.ohiohealth.com/siteassets/patients-and-visitors/preparing-for-your-visit/out-of-pocket-estimates/31-4394942_grove-city_standardcharges.xlsx,Grove City Methodist Hospital,,"1325 STRINGTOWN ROAD, SUITE 100",GROVE CITY,OH,43123,6149916900,U,Short Term,NONPROFIT - CHURCH RELATED,ACTIVE PROVIDER,2022-01-01,,https://www.ohiohealth.com/patients-and-visitors/prepare-for-your-visit/price-estimator,
360118,34-0714456,OHIOHEALTH MANSFIELD HOSPITAL,34-0714456_mansfield_standardcharges.xlsx,https://www.ohiohealth.com/siteassets/patients-and-visitors/preparing-for-your-visit/out-of-pocket-estimates/34-0714456_mansfield_standardcharges.xlsx,OhioHealth Mansfield Hospital,OhioHealth,335 GLESSNER AVENUE,MANSFIELD,OH,44903,4195268000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-01-01,,https://www.ohiohealth.com/patients-and-visitors/prepare-for-your-visit/price-estimator,
360014,31-4446959,OHIOHEALTH O'BLENESS HOSPITAL,31-4446959_obleness_standardcharges.xlsx,https://www.ohiohealth.com/siteassets/patients-and-visitors/preparing-for-your-visit/out-of-pocket-estimates/31-4446959_obleness_standardcharges.xlsx,OhioHealth O'Bleness Hospital,OhioHealth,55 HOSPITAL DRIVE,ATHENS,OH,45701,7405935551,R,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,2022-01-01,,https://www.ohiohealth.com/patients-and-visitors/prepare-for-your-visit/price-estimator,
361324,34-0714456,OHIOHEALTH SHELBY HOSPITAL,34-0714456_shelby_standardcharges.xlsx,https://www.ohiohealth.com/siteassets/patients-and-visitors/preparing-for-your-visit/out-of-pocket-estimates/34-0714456_shelby_standardcharges.xlsx,OhioHealth Shelby Hospital,OhioHealth,199 WEST MAIN STREET,SHELBY,OH,44875,4193425015,U,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-01-01,,https://www.ohiohealth.com/patients-and-visitors/prepare-for-your-visit/price-estimator,
360006,31-4394942,RIVERSIDE METHODIST HOSPITAL,31-4394942_riverside_standardcharges.xlsx,https://www.ohiohealth.com/siteassets/patients-and-visitors/preparing-for-your-visit/out-of-pocket-estimates/31-4394942_riverside_standardcharges.xlsx,OhioHealth Riverside Methodist Hospital,OhioHealth,3535 OLENTANGY RIVER RD,COLUMBUS,OH,43214,6147888251,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2022-01-01,,https://www.ohiohealth.com/patients-and-visitors/prepare-for-your-visit/price-estimator,
