Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna_W_PPO,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna_GPPO_PPO,Exchange_-Common_Ground,Exchange_-Molina,Health_EOS_Plus,Health_EOS_PPO,HPS,Humana_WVN_HPN_HMO_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA_State_and_Trust,WEA_Broad,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"PSYCH","CHARGE","10000747","POC URINE DIPSTICK W/O MICRO","81002","38.00","13.37","7.24","8.70","32.30","19.83","11.64","20.90","21.93","23.18","30.40","22.68","13.28","20.90","16.64","32.30","20.24","22.59","22.28","24.25","20.90","7.24","32.30"
"PSYCH","CHARGE","10000748","URINALYSIS SCREEN MANUAL","81002","28.00","9.89","8.50","10.20","23.80","14.66","8.93","15.40","16.30","17.08","22.40","16.84","10.55","15.40","11.74","23.80","13.19","15.82","14.56","16.41","15.40","8.50","23.80"
"PSYCH","CHARGE","10000750","URINALYSIS AUTO W/O MICRO","81003","73.00","22.96","20.24","24.26","62.05","37.77","18.92","40.15","41.90","44.53","58.40","42.50","25.30","40.15","25.19","62.05","29.77","38.55","33.02","38.65","40.15","18.92","62.05"
"PSYCH","CHARGE","10000751","URINE MICROSCOPIC","81015","39.00","12.50","11.02","13.21","33.15","20.57","10.30","21.45","22.81","23.79","31.20","23.14","13.78","21.45","13.72","33.15","16.21","20.99","17.98","21.05","21.45","10.30","33.15"
"PSYCH","CHARGE","10000753","POC-URINE DIPSTICK PREGNANCY","81025","94.00","31.31","26.88","32.22","79.90","50.19","26.18","51.70","55.63","57.34","75.20","56.52","34.04","51.70","34.89","79.90","40.91","51.86","45.31","52.48","51.70","26.18","79.90"
"PSYCH","CHARGE","10000754","URINE DIPSTICK PREGNANCY","81025","134.00","47.33","40.69","48.80","113.90","70.15","42.72","73.70","78.03","81.74","107.20","80.61","50.50","73.70","56.17","113.90","63.11","75.73","69.66","78.53","73.70","40.69","113.90"
"PSYCH","CHARGE","10000757","ACETAMINOPHIN","80329","284.00","71.96","63.46","76.05","241.40","118.41","59.31","156.20","131.33","173.24","227.20","133.21","79.30","156.20","78.96","241.40","93.33","120.83","103.50","121.15","156.20","59.31","241.40"
"PSYCH","CHARGE","10000759","ACETONE SERUM QUANTITATIVE","82010","75.00","26.49","22.77","27.32","63.75","39.27","23.91","41.25","43.67","45.75","60.00","45.12","28.26","41.25","31.44","63.75","35.32","42.38","38.99","43.95","41.25","22.77","63.75"
"PSYCH","CHARGE","10000760","ACETYLCHOLINESTERASE","82013","275.00","97.12","83.51","100.16","233.75","143.97","87.66","151.25","160.13","167.75","220.00","165.43","103.64","151.25","115.27","233.75","129.52","155.41","142.96","161.16","151.25","83.51","233.75"
"PSYCH","CHARGE","10000763","ACTH","82024","373.00","131.74","113.27","135.85","317.05","195.28","118.90","205.15","217.20","227.53","298.40","224.39","140.57","205.15","156.35","317.05","175.68","210.79","193.91","218.59","205.15","113.27","317.05"
