Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna_W,Aetna_PPO,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna_GPPO,Cigna_PPO,Exchange_-Common_Ground,Exchange_-Molina,Health_EOS_Plus,Health_EOS_PPO,HPS,Humana_WVN,Humana_HPN_HMO,Humana_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA_State_and_Trust,WEA_Broad,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"SHEBOYGAN","CHARGE","10000002","ROOM CHARGE MED SURG","","1,450.00","898.85","1,232.50","868.62","1,067.81","1,232.50","887.68","984.90","1,232.50","929.15","975.09","884.50","1,160.00","943.32","842.95","878.68","1,232.50","797.50","998.46","1,232.50","800.83","987.02","935.78","1,044.03","797.50","797.50","1,232.50"
"SHEBOYGAN","CHARGE","10000003","ROOM CHARGE WOMEN'S HEALTH","","1,450.00","796.99","1,232.50","823.69","1,060.94","1,232.50","809.55","1,110.36","1,232.50","987.48","837.05","884.50","1,160.00","903.18","833.19","867.41","1,232.50","797.50","971.25","1,232.50","727.39","904.68","853.45","966.13","797.50","727.39","1,232.50"
"SHEBOYGAN","CHARGE","10000004","ROOM CHARGE PEDIATRICS","","1,450.00","1,331.81","1,232.50","1,322.72","1,383.43","1,232.50","1,331.34","1,348.82","1,232.50","1,342.54","1,350.62","884.50","1,160.00","1,340.65","1,312.97","1,321.36","1,232.50","797.50","1,368.65","1,232.50","1,306.88","1,354.22","1,343.25","1,376.47","797.50","797.50","1,383.43"
"SHEBOYGAN","CHARGE","10000005","ROOM CHARGE NURSERY LEVEL 1","","1,500.00","949.86","1,275.00","964.94","1,232.33","1,275.00","941.03","1,137.75","1,275.00","1,001.49","985.45","915.00","1,200.00","1,030.85","956.08","992.87","1,275.00","825.00","1,117.80","1,275.00","831.57","1,044.27","911.90","1,025.57","825.00","825.00","1,275.00"
"SHEBOYGAN","CHARGE","10000006","ROOM CHARGE NURSERY LEVEL 2","","1,820.00","1,702.47","1,547.00","1,723.79","1,792.99","1,547.00","1,739.31","1,313.79","1,547.00","1,767.61","1,761.69","1,110.20","1,456.00","1,777.57","1,781.57","1,785.90","1,547.00","1,001.00","1,787.90","1,547.00","1,491.09","1,643.39","1,720.61","1,776.25","1,001.00","1,001.00","1,792.99"
"SHEBOYGAN","CHARGE","10000007","ROOM CHARGE NURSERY LEVEL 3","","2,430.00","2,151.16","2,065.50","2,195.72","2,366.65","2,065.50","2,253.21","2,043.16","2,065.50","2,322.66","2,309.87","1,482.30","1,944.00","2,338.98","2,348.65","2,357.15","2,065.50","1,336.50","2,359.88","2,065.50","1,867.73","2,108.81","2,208.34","2,336.83","1,336.50","1,336.50","2,366.65"
"SHEBOYGAN","CHARGE","10000008","ROOM CHARGE ICU OR CCU","","4,040.00","1,817.98","3,434.00","1,852.98","2,358.64","3,434.00","1,936.96","2,085.17","3,434.00","2,059.26","2,108.36","2,464.40","3,232.00","2,042.25","1,756.84","1,839.61","3,434.00","2,222.00","2,243.71","3,434.00","1,676.08","2,104.60","1,982.51","2,242.89","2,222.00","1,676.08","3,434.00"
"SHEBOYGAN","CHARGE","10000009","LACTATION CONSULT EXTENDED","","190.00","133.39","161.50","134.65","166.53","161.50","131.57","118.10","161.50","138.57","136.68","115.90","152.00","142.08","132.83","137.24","161.50","104.50","152.58","161.50","125.75","147.96","128.42","141.45","104.50","104.50","166.53"
"SHEBOYGAN","CHARGE","10000010","LACTATION CONSULT LIMITED","","130.00","84.41","110.50","85.86","106.57","110.50","84.70","96.05","110.50","89.80","88.23","79.30","104.00","91.82","86.71","89.48","110.50","71.50","98.50","110.50","72.76","90.89","82.40","91.57","71.50","71.50","110.50"
"SHEBOYGAN","CHARGE","10000013","PHOTOTHERAPY, PER DAY","","320.00","249.22","272.00","255.79","288.57","272.00","257.50","255.72","272.00","268.37","265.82","195.20","256.00","272.54","270.04","273.72","272.00","176.00","280.02","272.00","203.36","239.80","251.17","271.95","176.00","176.00","288.57"
