Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna_W,Aetna_PPO,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna_GPPO,Cigna_PPO,Exchange_-Common_Ground,Exchange_-Molina,Health_EOS_Plus,Health_EOS_PPO,HPS,Humana_WVN,Humana_HPN_HMO,Humana_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA_State_and_Trust,WEA_Broad,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"SUMMIT","CHARGE","10000001","ROOM CHARGE MED SURG, REHAB","","1,750.00","1,110.11","1,487.50","969.73","1,325.47","1,487.50","1,126.58","1,025.42","1,487.50","1,299.90","1,057.25","1,067.50","1,400.00","1,364.46","1,055.95","1,108.38","1,487.50","962.50","1,299.91","1,487.50","1,088.02","1,351.03","1,193.74","1,161.68","962.50","962.50","1,487.50"
"SUMMIT","CHARGE","10000002","ROOM CHARGE MED SURG","","1,750.00","1,029.71","1,487.50","1,001.71","1,230.69","1,487.50","1,029.74","1,297.39","1,487.50","1,077.23","1,112.44","1,067.50","1,400.00","1,076.07","964.38","1,001.58","1,487.50","962.50","1,191.56","1,487.50","928.10","1,127.38","1,081.68","1,204.09","962.50","928.10","1,487.50"
"SUMMIT","CHARGE","10000003","ROOM CHARGE WOMEN'S HEALTH","","1,750.00","902.99","1,487.50","937.73","1,248.71","1,487.50","921.15","1,531.24","1,487.50","1,154.25","954.71","1,067.50","1,400.00","1,043.29","950.10","996.43","1,487.50","962.50","1,135.83","1,487.50","815.55","1,047.86","974.26","1,128.60","962.50","815.55","1,531.24"
"SUMMIT","CHARGE","10000004","ROOM CHARGE PEDIATRICS","","1,750.00","1,064.42","1,487.50","1,050.91","1,291.51","1,487.50","1,071.03","1,345.64","1,487.50","1,160.05","1,132.47","1,067.50","1,400.00","1,145.83","1,039.86","1,077.36","1,487.50","962.50","1,236.60","1,487.50","951.17","1,162.82","1,102.89","1,217.55","962.50","951.17","1,487.50"
"SUMMIT","CHARGE","10000005","ROOM CHARGE NURSERY LEVEL 1","","1,500.00","1,074.54","1,275.00","1,094.53","1,301.42","1,275.00","1,082.45","1,332.28","1,275.00","1,132.57","1,119.53","915.00","1,200.00","1,155.69","1,109.25","1,137.68","1,275.00","825.00","1,219.81","1,275.00","864.66","1,083.14","1,056.66","1,151.52","825.00","825.00","1,332.28"
"SUMMIT","CHARGE","10000006","ROOM CHARGE NURSERY LEVEL 2","","1,820.00","1,820.00","1,547.00","1,820.00","1,820.00","1,547.00","1,820.00","561.45","1,547.00","1,820.00","1,820.00","1,110.20","1,456.00","1,820.00","1,820.00","1,820.00","1,547.00","1,001.00","1,820.00","1,547.00","1,815.94","1,820.00","1,820.00","1,820.00","1,001.00","561.45","1,820.00"
"SUMMIT","CHARGE","10000007","ROOM CHARGE NURSERY LEVEL 3","","2,430.00","2,147.45","2,065.50","2,202.79","2,398.74","2,065.50","2,217.95","2,180.99","2,065.50","2,299.92","2,277.79","1,482.30","1,944.00","2,326.38","2,341.41","2,362.18","2,065.50","1,336.50","2,355.86","2,065.50","1,706.70","1,976.13","2,175.32","2,323.58","1,336.50","1,336.50","2,398.74"
"SUMMIT","CHARGE","10000008","ROOM CHARGE ICU OR CCU","","3,680.00","2,071.03","3,128.00","1,999.45","2,501.88","3,128.00","2,073.23","2,649.31","3,128.00","2,243.58","2,237.33","2,244.80","2,944.00","2,226.69","1,926.38","2,011.96","3,128.00","2,024.00","2,418.34","3,128.00","1,932.11","2,389.31","2,047.80","2,259.18","2,024.00","1,926.38","3,128.00"
"SUMMIT","CHARGE","10000009","LACTATION CONSULT EXTENDED","","190.00","133.65","161.50","134.67","156.15","161.50","133.04","162.67","161.50","138.01","135.89","115.90","152.00","141.29","133.78","136.70","161.50","104.50","146.53","161.50","115.61","137.67","131.82","141.07","104.50","104.50","162.67"
"SUMMIT","CHARGE","10000010","LACTATION CONSULT LIMITED","","130.00","88.71","110.50","90.33","108.92","110.50","89.04","113.06","110.50","94.65","92.17","79.30","104.00","95.69","91.23","93.86","110.50","71.50","101.38","110.50","73.51","91.51","87.62","96.07","71.50","71.50","113.06"
"SUMMIT","CHARGE","10000013","PHOTOTHERAPY, PER DAY","","320.00","223.06","272.00","226.40","255.85","272.00","225.02","221.78","272.00","232.45","230.58","195.20","256.00","235.92","230.88","234.82","272.00","176.00","244.87","272.00","191.85","225.09","220.99","235.29","176.00","176.00","272.00"
"SUMMIT","CHARGE","10000016","NURSING L&D PER HOUR","","320.00","138.42","272.00","143.75","193.93","272.00","140.17","257.86","272.00","183.72","146.91","195.20","256.00","161.45","145.50","152.58","272.00","176.00","177.08","272.00","124.69","160.13","151.86","176.16","176.00","124.69","272.00"
"SUMMIT","CHARGE","10000019","BREAST ASPIRATE CYST EA ADDL","19001","335.00","280.85","284.75","151.95","207.85","284.75","272.34","335.00","284.75","206.17","242.97","204.35","268.00","335.00","279.17","293.22","284.75","184.25","325.79","284.75","299.02","335.00","257.63","300.85","184.25","151.95","335.00"
"SUMMIT","CHARGE","10000033","ARTHROGRAM SHOULDER INJECT","23350","760.00","177.42","646.00","186.52","262.12","646.00","117.84","456.00","646.00","166.60","212.68","463.60","608.00","313.89","259.58","272.87","646.00","418.00","192.35","646.00","234.91","304.67","246.27","286.92","418.00","117.84","646.00"
