Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna_W,Aetna_PPO,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna_GPPO,Cigna_PPO,Exchange_-Common_Ground,Exchange_-Molina,Health_EOS_Plus,Health_EOS_PPO,HPS,Humana_WVN,Humana_HPN_HMO,Humana_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA_State_and_Trust,WEA_Broad,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"ST. LUKE'S","CHARGE","10000001","ROOM CHARGE MED SURG, REHAB","","3,070.00","1,237.04","2,609.50","1,297.87","1,778.78","2,609.50","1,255.38","1,178.86","2,609.50","1,448.52","1,178.13","1,872.70","2,456.00","1,520.46","1,176.68","1,235.10","2,609.50","1,688.50","1,448.49","2,609.50","1,212.41","1,505.49","1,330.22","1,552.81","1,688.50","1,176.68","2,609.50"
"ST. LUKE'S","CHARGE","10000002","ROOM CHARGE MED SURG","","3,070.00","1,415.52","2,609.50","1,460.32","1,835.88","2,609.50","1,645.84","1,877.60","2,609.50","1,627.35","1,421.00","1,872.70","2,456.00","1,693.75","1,531.35","1,597.89","2,609.50","1,688.50","1,824.30","2,609.50","1,550.26","1,774.68","1,561.28","1,715.48","1,688.50","1,415.52","2,609.50"
"ST. LUKE'S","CHARGE","10000008","ROOM CHARGE ICU OR CCU","","6,130.00","2,967.24","5,210.50","3,016.21","3,707.98","5,210.50","3,407.06","3,811.44","5,210.50","3,518.64","2,920.19","3,739.30","4,904.00","3,633.97","3,209.04","3,351.84","5,210.50","3,371.50","3,321.47","5,210.50","3,381.03","3,847.01","3,057.63","3,290.12","3,371.50","2,920.19","5,210.50"
"ST. LUKE'S","CHARGE","10000019","BREAST ASPIRATE CYST EA ADDL","19001","335.00","197.45","284.75","139.98","186.94","284.75","158.33","335.00","284.75","141.48","153.91","204.35","268.00","226.32","166.13","174.39","284.75","184.25","171.39","284.75","198.65","252.05","163.79","189.23","184.25","139.98","335.00"
"ST. LUKE'S","CHARGE","10000033","ARTHROGRAM SHOULDER INJECT","23350","760.00","151.42","646.00","159.19","222.08","646.00","102.15","456.00","646.00","142.78","181.91","463.60","608.00","264.29","216.40","227.47","646.00","418.00","158.43","646.00","199.34","257.58","213.89","248.43","418.00","102.15","646.00"
"ST. LUKE'S","CHARGE","10000034","ARTHROGRAM ELBOW INJECT","24220","760.00","297.07","646.00","300.44","391.09","646.00","319.48","412.71","646.00","326.03","319.92","463.60","608.00","383.82","358.90","373.95","646.00","418.00","375.39","646.00","332.02","384.17","335.49","380.23","418.00","297.07","646.00"
"ST. LUKE'S","CHARGE","10000035","ARTHROGRAM WRIST INJECT","25246","760.00","297.07","646.00","300.44","391.09","646.00","319.48","412.71","646.00","326.03","319.92","463.60","608.00","383.82","358.90","373.95","646.00","418.00","375.39","646.00","332.02","384.17","335.49","380.23","418.00","297.07","646.00"
"ST. LUKE'S","CHARGE","10000036","ARTHROGRAM HIP INJECT","27093","760.00","147.71","646.00","155.15","218.49","646.00","97.68","456.00","646.00","138.40","178.05","463.60","608.00","261.43","216.43","227.52","646.00","418.00","160.85","646.00","196.35","254.76","214.89","249.82","418.00","97.68","646.00"
"ST. LUKE'S","CHARGE","10000037","ARTHROGRAM KNEE INJECT","27369","880.00","343.98","748.00","347.87","452.85","748.00","369.92","477.87","748.00","377.51","370.43","536.80","704.00","444.42","415.57","432.99","748.00","484.00","434.66","748.00","384.45","444.83","388.47","440.26","484.00","343.98","748.00"
"ST. LUKE'S","CHARGE","10000038","ARTHROGRAM ANKLE INJECT","27648","760.00","297.07","646.00","300.44","391.09","646.00","319.48","412.71","646.00","326.03","319.92","463.60","608.00","383.82","358.90","373.95","646.00","418.00","375.39","646.00","332.02","384.17","335.49","380.23","418.00","297.07","646.00"
