Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna_W,Aetna_PPO,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna_GPPO,Cigna_PPO,Exchange_-Common_Ground,Exchange_-Molina,Health_EOS_Plus,Health_EOS_PPO,HPS,Humana_WVN,Humana_HMO,Humana_HPN_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA_State_and_Trust,WEA_Broad,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"OSHKOSH","CHARGE","10000002","ROOM CHARGE MED SURG","","1,210.00","725.35","1,028.50","689.78","858.28","1,028.50","715.21","783.67","1,028.50","753.18","782.65","738.10","968.00","757.98","668.07","696.28","1,028.50","665.50","811.25","1,028.50","648.97","800.64","757.89","847.47","665.50","648.97","1,028.50"
"OSHKOSH","CHARGE","10000003","ROOM CHARGE WOMEN'S HEALTH","","1,210.00","890.77","1,028.50","916.50","1,106.82","1,028.50","906.13","1,131.72","1,028.50","1,045.40","928.58","738.10","968.00","988.61","925.27","958.78","1,028.50","665.50","1,043.55","1,028.50","821.14","995.63","938.25","1,039.25","665.50","665.50","1,131.72"
"OSHKOSH","CHARGE","10000004","ROOM CHARGE PEDIATRICS","","1,210.00","779.93","1,028.50","767.10","954.85","1,028.50","796.26","993.29","1,028.50","849.78","854.30","738.10","968.00","854.58","783.72","822.96","1,028.50","665.50","907.34","1,028.50","622.75","781.62","820.50","891.85","665.50","622.75","1,028.50"
"OSHKOSH","CHARGE","10000005","ROOM CHARGE NURSERY LEVEL 1","","1,500.00","970.98","1,275.00","987.95","1,215.99","1,275.00","969.52","1,138.55","1,275.00","1,022.28","1,008.31","915.00","1,200.00","1,047.89","988.93","1,020.26","1,275.00","825.00","1,121.03","1,275.00","835.66","1,031.68","943.29","1,043.27","825.00","825.00","1,275.00"
"OSHKOSH","CHARGE","10000006","ROOM CHARGE NURSERY LEVEL 2","","1,820.00","959.05","1,547.00","998.36","1,199.20","1,547.00","1,005.19","1,168.71","1,547.00","1,051.00","1,038.63","1,110.20","1,456.00","1,073.94","1,063.70","1,094.59","1,547.00","1,001.00","1,156.52","1,547.00","732.69","932.20","969.33","1,069.61","1,001.00","732.69","1,547.00"
"OSHKOSH","CHARGE","10000007","ROOM CHARGE NURSERY LEVEL 3","","2,430.00","2,238.23","2,065.50","2,276.46","2,326.59","2,065.50","2,274.99","2,341.85","2,065.50","2,288.47","2,284.84","1,482.30","1,944.00","2,295.22","2,290.49","2,299.52","2,065.50","1,336.50","2,311.89","2,065.50","1,932.31","2,239.75","2,268.41","2,293.97","1,336.50","1,336.50","2,341.85"
"OSHKOSH","CHARGE","10000008","ROOM CHARGE ICU OR CCU","","3,430.00","1,494.08","2,915.50","1,407.96","1,790.46","2,915.50","1,484.03","1,604.33","2,915.50","1,631.86","1,616.36","2,092.30","2,744.00","1,623.06","1,381.74","1,447.06","2,915.50","1,886.50","1,707.81","2,915.50","1,423.37","1,769.72","1,675.44","1,855.90","1,886.50","1,381.74","2,915.50"
"OSHKOSH","CHARGE","10000009","LACTATION CONSULT EXTENDED","","190.00","140.06","161.50","143.33","168.27","161.50","143.03","151.75","161.50","149.68","147.88","115.90","152.00","152.99","151.90","156.40","161.50","104.50","160.86","161.50","115.28","136.39","139.75","152.37","104.50","104.50","168.27"
"OSHKOSH","CHARGE","10000010","LACTATION CONSULT LIMITED","","130.00","66.81","110.50","67.79","92.58","110.50","65.39","79.09","110.50","70.84","69.37","79.30","104.00","73.56","66.37","69.80","110.50","71.50","81.74","110.50","60.86","78.14","62.94","73.07","71.50","60.86","110.50"
"OSHKOSH","CHARGE","10000013","PHOTOTHERAPY, PER DAY","","320.00","233.34","272.00","240.41","275.83","272.00","240.22","287.12","272.00","249.76","247.18","195.20","256.00","254.18","252.87","258.74","272.00","176.00","264.41","272.00","190.72","226.68","235.48","253.37","176.00","176.00","287.12"
