Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna_W,Aetna_PPO,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna_GPPO,Cigna_PPO,Exchange_-Common_Ground,Exchange_-Molina,Health_EOS_Plus,Health_EOS_PPO,HPS,Humana_WVN,Humana_HMO,Humana_HPN_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA_State_and_Trust,WEA_Broad,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"MANITOWOC","CHARGE","10000002","ROOM CHARGE MED SURG","","1,610.00","1,099.90","1,368.50","1,059.68","1,275.72","1,368.50","1,089.60","1,171.83","1,368.50","1,130.69","1,172.92","982.10","1,288.00","1,134.79","1,021.97","1,060.93","1,368.50","885.50","1,215.28","1,368.50","986.61","1,186.28","1,138.92","1,255.29","885.50","885.50","1,368.50"
"MANITOWOC","CHARGE","10000003","ROOM CHARGE WOMEN'S HEALTH","","1,610.00","848.24","1,368.50","877.36","1,140.08","1,368.50","861.74","1,225.52","1,368.50","1,065.25","895.04","982.10","1,288.00","970.80","887.47","927.52","1,368.50","885.50","1,049.66","1,368.50","770.33","971.22","915.30","1,043.21","885.50","770.33","1,368.50"
"MANITOWOC","CHARGE","10000004","ROOM CHARGE PEDIATRICS","","1,610.00","1,030.84","1,368.50","1,029.01","1,262.73","1,368.50","1,031.66","1,238.37","1,368.50","1,122.49","1,092.78","982.10","1,288.00","1,102.53","1,014.73","1,052.69","1,368.50","885.50","1,188.56","1,368.50","909.47","1,116.15","1,066.58","1,184.93","885.50","885.50","1,368.50"
"MANITOWOC","CHARGE","10000005","ROOM CHARGE NURSERY LEVEL 1","","1,500.00","1,025.18","1,275.00","1,043.99","1,252.31","1,275.00","1,031.38","1,281.15","1,275.00","1,083.10","1,069.51","915.00","1,200.00","1,106.51","1,058.59","1,085.90","1,275.00","825.00","1,172.41","1,275.00","844.26","1,047.48","1,005.42","1,102.31","825.00","825.00","1,281.15"
"MANITOWOC","CHARGE","10000008","ROOM CHARGE ICU OR CCU","","3,700.00","2,623.63","3,145.00","2,863.27","3,514.42","3,145.00","2,646.86","3,183.77","3,145.00","2,790.99","2,874.00","2,257.00","2,960.00","2,768.30","2,719.17","2,844.60","3,145.00","2,035.00","3,373.37","3,145.00","2,293.92","2,901.66","2,779.40","3,114.66","2,035.00","2,035.00","3,514.42"
"MANITOWOC","CHARGE","10000009","LACTATION CONSULT EXTENDED","","190.00","104.20","161.50","105.72","144.38","161.50","101.97","130.57","161.50","110.49","108.19","115.90","152.00","114.72","103.51","108.87","161.50","104.50","127.47","161.50","94.92","121.87","98.15","113.96","104.50","94.92","161.50"
"MANITOWOC","CHARGE","10000010","LACTATION CONSULT LIMITED","","130.00","49.11","110.50","46.32","63.06","110.50","45.03","86.74","110.50","49.26","49.75","79.30","104.00","57.84","45.66","47.82","110.50","71.50","55.81","110.50","45.01","57.51","47.03","54.80","71.50","45.01","110.50"
"MANITOWOC","CHARGE","10000013","PHOTOTHERAPY, PER DAY","","320.00","192.75","272.00","201.90","232.09","272.00","199.51","236.75","272.00","217.43","214.77","195.20","256.00","222.62","174.45","176.28","272.00","176.00","202.18","272.00","147.63","182.48","198.16","224.43","176.00","147.63","272.00"
"MANITOWOC","CHARGE","10000016","NURSING L&D PER HOUR","","375.00","184.03","318.75","190.03","249.44","318.75","186.21","272.32","318.75","237.08","195.04","228.75","300.00","212.04","192.09","201.03","318.75","206.25","231.37","318.75","166.01","210.53","200.64","229.91","206.25","166.01","318.75"
"MANITOWOC","CHARGE","10000033","ARTHROGRAM SHOULDER INJECT","23350","760.00","182.72","646.00","192.55","272.05","646.00","120.43","456.00","646.00","171.36","220.85","463.60","608.00","326.30","271.85","285.81","646.00","418.00","202.57","646.00","244.01","317.37","250.86","292.88","418.00","120.43","646.00"
"MANITOWOC","CHARGE","10000034","ARTHROGRAM ELBOW INJECT","24220","760.00","348.42","646.00","366.47","485.72","646.00","364.86","466.00","646.00","380.23","394.59","463.60","608.00","450.44","473.75","489.23","646.00","418.00","465.84","646.00","348.67","444.55","401.43","459.27","418.00","348.42","646.00"
"MANITOWOC","CHARGE","10000035","ARTHROGRAM WRIST INJECT","25246","760.00","192.06","646.00","202.40","286.08","646.00","126.54","456.00","646.00","180.12","232.18","463.60","608.00","343.20","286.10","300.82","646.00","418.00","213.23","646.00","256.58","333.79","263.71","307.91","418.00","126.54","646.00"
"MANITOWOC","CHARGE","10000036","ARTHROGRAM HIP INJECT","27093","760.00","176.67","646.00","186.16","260.80","646.00","118.41","456.00","646.00","166.45","212.70","463.60","608.00","310.79","257.34","270.53","646.00","418.00","188.71","646.00","233.65","302.65","241.41","281.25","418.00","118.41","646.00"
"MANITOWOC","CHARGE","10000037","ARTHROGRAM KNEE INJECT","27369","880.00","403.43","748.00","424.33","562.41","748.00","422.47","539.58","748.00","440.27","456.89","536.80","704.00","521.56","548.55","566.48","748.00","484.00","539.39","748.00","403.72","514.74","464.81","531.78","484.00","403.43","748.00"
"MANITOWOC","CHARGE","10000093","CATH UMBILICAL VEIN","36510","570.00","329.46","484.50","342.63","468.20","484.50","367.25","570.00","484.50","397.80","389.60","347.70","456.00","413.14","447.39","469.62","484.50","313.50","479.43","484.50","265.96","330.83","352.03","410.06","313.50","265.96","570.00"
"MANITOWOC","CHARGE","10000094","INSERT CVL NON TUNNELED <5 YRS","36555","1,800.00","764.08","1,530.00","757.71","1,005.90","1,530.00","786.46","1,086.88","1,530.00","763.52","803.82","1,098.00","1,440.00","925.16","865.29","906.50","1,530.00","990.00","914.67","1,530.00","815.28","1,031.50","864.71","991.48","990.00","757.71","1,530.00"
"MANITOWOC","CHARGE","10000098","INSERT CVL TUNNELED W/PORT 5 YRS >/=","36561","4,360.00","1,850.78","3,706.00","1,835.34","2,436.52","3,706.00","1,904.98","2,632.66","3,706.00","1,849.41","1,947.02","2,659.60","3,488.00","2,240.95","2,095.92","2,195.75","3,706.00","2,398.00","2,215.53","3,706.00","1,974.78","2,498.52","2,094.51","2,401.58","2,398.00","1,835.34","3,706.00"
"MANITOWOC","CHARGE","10000103","PICC INSERTION","36569","1,800.00","1,406.39","1,530.00","1,343.49","1,582.38","1,530.00","1,404.15","1,487.55","1,530.00","1,457.56","1,496.11","1,098.00","1,440.00","1,448.54","1,269.87","1,333.29","1,530.00","990.00","1,548.13","1,530.00","1,223.97","1,510.02","1,460.96","1,566.26","990.00","990.00","1,582.38"
"MANITOWOC","CHARGE","10000113","REPLACE PICC COMPLETE","36584","1,500.00","636.73","1,275.00","631.42","838.25","1,275.00","655.38","905.73","1,275.00","636.27","669.85","915.00","1,200.00","770.97","721.07","755.42","1,275.00","825.00","762.23","1,275.00","679.40","859.58","720.59","826.23","825.00","631.42","1,275.00"
"MANITOWOC","CHARGE","10000115","REMOVE CVL TUNNELED W/O PORT","36589","1,100.00","1,100.00","935.00","1,082.51","1,100.00","935.00","1,100.00","1,100.00","935.00","1,100.00","1,100.00","671.00","880.00","1,100.00","1,100.00","1,100.00","935.00","605.00","1,100.00","935.00","1,100.00","1,100.00","1,100.00","1,100.00","605.00","605.00","1,100.00"
"MANITOWOC","CHARGE","10000116","REMOVE CVL TUNNELED W/PORT","36590","1,800.00","764.08","1,530.00","757.71","1,005.90","1,530.00","786.46","1,086.88","1,530.00","763.52","803.82","1,098.00","1,440.00","925.16","865.29","906.50","1,530.00","990.00","914.67","1,530.00","815.28","1,031.50","864.71","991.48","990.00","757.71","1,530.00"
"MANITOWOC","CHARGE","10000120","INJECT W FLUORO EVAL CENTRAL LINE","36598","600.00","254.69","510.00","252.57","335.30","510.00","262.15","362.29","510.00","254.51","267.94","366.00","480.00","308.39","288.43","302.17","510.00","330.00","304.89","510.00","271.76","343.83","288.24","330.49","330.00","252.57","510.00"
"MANITOWOC","CHARGE","10000134","BONE MARROW BIOPSY","38221","970.00","203.22","824.50","197.30","269.76","824.50","192.06","415.06","824.50","181.20","186.05","591.70","776.00","281.79","195.84","205.64","824.50","533.50","211.85","824.50","243.37","312.44","191.77","223.88","533.50","181.20","824.50"
