SVCCD,Description,CPT,Gross Charge,As of Date,DISCOUNTED CASH PRICE INPATIENT,DISCOUNTED CASH PRICE OUTPATIENT,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,BCBSAL PPO - All Plans,UHC PPO - All Plans ,Aetna PPO - All Plans ,Cigna PPO - All Plans ,Humana PPO - All Plans ,COMM Viva Health PPO - All Plans ,UHC MA - All Plans ,Humana MA - All Plans ,BCBSAL MA - All Plans ,Healthspring MA - All Plans ,Aetna/Coventry MA - All Plans ,Viva Health MA - All Plans ,Multiplan - All Plans 
8650033,TC99M PENTETAT-DOSE,A9539,5352.84,2/13/2023,1605.852,963.5112,369.34596,4068.1584,406.81584,1734.32016,4068.1584,1311.4458,1707.55596,2408.778,390.75732,369.34596,396.11016,396.11016,428.2272,412.16868,1391.7384
1314655,BORRELIA BURG.CONFIR,86617,773.11,2/13/2023,231.933,139.1598,53.34459,587.5636,58.75636,250.48764,587.5636,189.41195,246.62209,347.8995,56.43703,53.34459,57.21014,57.21014,61.8488,59.52947,201.0086
1973235,"THROMBOLY,CORONRY,IV",92977,2596.34,2/13/2023,778.902,467.3412,179.14746,1973.2184,197.32184,841.21416,1973.2184,636.1033,828.23246,1168.353,189.53282,179.14746,192.12916,192.12916,207.7072,199.91818,675.0484
1621628,US-PLC LOC DVCE 1ST,MANUL,1784.53,2/13/2023,535.359,321.2154,123.13257,1356.2428,135.62428,578.18772,1356.2428,437.20985,569.26507,803.0385,130.27069,123.13257,132.05522,132.05522,142.7624,137.40881,463.9778
1211040,GENTAMICIN UPTO 80MG,J1580,17.94,2/13/2023,5.382,3.2292,1.23786,13.6344,1.36344,5.81256,13.6344,4.3953,5.72286,8.073,1.30962,1.23786,1.32756,1.32756,1.4352,1.38138,4.6644
1217084,BUPIVAC .25% MPF 10M,,15.4,2/13/2023,4.62,2.772,1.0626,11.704,1.1704,4.9896,11.704,3.773,4.9126,6.93,1.1242,1.0626,1.1396,1.1396,1.232,1.1858,4.004
1670184,MRA-NECK WO,70547,3836.61,2/13/2023,1150.983,690.5898,264.72609,2915.8236,291.58236,1243.06164,2915.8236,939.96945,1223.87859,1726.4745,280.07253,264.72609,283.90914,283.90914,306.9288,295.41897,997.5186
1314203,COLLAGEN CROSSLINKS,82523,932.33,2/13/2023,279.699,167.8194,64.33077,708.5708,70.85708,302.07492,708.5708,228.42085,297.41327,419.5485,68.06009,64.33077,68.99242,68.99242,74.5864,71.78941,242.4058
1060001,FL-FLUORO 1 HOUR,76000,899.09,2/13/2023,269.727,161.8362,62.03721,683.3084,68.33084,291.30516,683.3084,220.27705,286.80971,404.5905,65.63357,62.03721,66.53266,66.53266,71.9272,69.22993,233.7634
1314732,HEPATITIS C AB TEST,86803,711.69,2/13/2023,213.507,128.1042,49.10661,540.8844,54.08844,230.58756,540.8844,174.36405,227.02911,320.2605,51.95337,49.10661,52.66506,52.66506,56.9352,54.80013,185.0394
1414107,BREAST IMPLANT 8,C1789,39999.97,2/13/2023,11999.991,7199.9946,2759.99793,30399.9772,3039.99772,12959.99028,30399.9772,9799.99265,12759.99043,17999.9865,2919.99781,2759.99793,2959.99778,2959.99778,3199.9976,3079.99769,10399.9922
1210263,FUROSEMIDE 20MG INJ,J1940,17.32,2/13/2023,5.196,3.1176,1.19508,13.1632,1.31632,5.61168,13.1632,4.2434,5.52508,7.794,1.26436,1.19508,1.28168,1.28168,1.3856,1.33364,4.5032
1218289,SOD ACET 40MEQ/20ML,,17.65,2/13/2023,5.295,3.177,1.21785,13.414,1.3414,5.7186,13.414,4.32425,5.63035,7.9425,1.28845,1.21785,1.3061,1.3061,1.412,1.35905,4.589
2520692,LE-KNEE BI AP STD DR,73565,952.34,2/13/2023,285.702,171.4212,65.71146,723.7784,72.37784,308.55816,723.7784,233.3233,303.79646,428.553,69.52082,65.71146,70.47316,70.47316,76.1872,73.33018,247.6084
1217771,CARVEDILO 3.125MG TB,,2.55,2/13/2023,0.765,0.459,0.17595,1.938,0.1938,0.8262,1.938,0.62475,0.81345,1.1475,0.18615,0.17595,0.1887,0.1887,0.204,0.19635,0.663
8650031,TC99M MEBROF - DOSE,A9537,1231.09,2/13/2023,369.327,221.5962,84.94521,935.6284,93.56284,398.87316,935.6284,301.61705,392.71771,553.9905,89.86957,84.94521,91.10066,91.10066,98.4872,94.79393,320.0834
1211368,NOREPI 4MG D5W 250ML,,339.61,2/13/2023,101.883,61.1298,23.43309,258.1036,25.81036,110.03364,258.1036,83.20445,108.33559,152.8245,24.79153,23.43309,25.13114,25.13114,27.1688,26.14997,88.2986
1641050,MRA-HEAD W,70545,4366.76,2/13/2023,1310.028,786.0168,301.30644,3318.7376,331.87376,1414.83024,3318.7376,1069.8562,1392.99644,1965.042,318.77348,301.30644,323.14024,323.14024,349.3408,336.24052,1135.3576
1314666,CMV AB,86644,718.14,2/13/2023,215.442,129.2652,49.55166,545.7864,54.57864,232.67736,545.7864,175.9443,229.08666,323.163,52.42422,49.55166,53.14236,53.14236,57.4512,55.29678,186.7164
2370205,LEVEL 5 EP,G0463,3118.95,2/13/2023,935.685,561.411,215.20755,2370.402,237.0402,1010.5398,2370.402,764.14275,994.94505,1403.5275,227.68335,215.20755,230.8023,230.8023,249.516,240.15915,810.927
1414954,STNT COAT/COV W/DEL4,C1874,77595.51,2/13/2023,23278.653,13967.1918,5354.09019,58972.5876,5897.25876,25140.94524,58972.5876,19010.89995,24752.96769,34917.9795,5664.47223,5354.09019,5742.06774,5742.06774,6207.6408,5974.85427,20174.8326
1210537,MIDAZOL HCL 1MG INJ,J2250,17.32,2/13/2023,5.196,3.1176,1.19508,13.1632,1.31632,5.61168,13.1632,4.2434,5.52508,7.794,1.26436,1.19508,1.28168,1.28168,1.3856,1.33364,4.5032
1670293,CT-UPPER EXT W,73201,4366.76,2/13/2023,1310.028,786.0168,301.30644,3318.7376,331.87376,1414.83024,3318.7376,1069.8562,1392.99644,1965.042,318.77348,301.30644,323.14024,323.14024,349.3408,336.24052,1135.3576
1413180,LEAD LT VENT COR LV1,C1900,21921.46,2/13/2023,6576.438,3945.8628,1512.58074,16660.3096,1666.03096,7102.55304,16660.3096,5370.7577,6992.94574,9864.657,1600.26658,1512.58074,1622.18804,1622.18804,1753.7168,1687.95242,5699.5796
1973269,TELEHEALTH ED,Q3014,126.36,2/13/2023,37.908,22.7448,8.71884,96.0336,9.60336,40.94064,96.0336,30.9582,40.30884,56.862,9.22428,8.71884,9.35064,9.35064,10.1088,9.72972,32.8536
2520615,HE-NASAL BONES DR,70160,467.41,2/13/2023,140.223,84.1338,32.25129,355.2316,35.52316,151.44084,355.2316,114.51545,149.10379,210.3345,34.12093,32.25129,34.58834,34.58834,37.3928,35.99057,121.5266
1913242,IMM ADM 1ST VACCINE,90471,235.77,2/13/2023,70.731,42.4386,16.26813,179.1852,17.91852,76.38948,179.1852,57.76365,75.21063,106.0965,17.21121,16.26813,17.44698,17.44698,18.8616,18.15429,61.3002
7210784,TD IM NO PRSRV GE 7Y,90714,347.71,2/13/2023,104.313,62.5878,23.99199,264.2596,26.42596,112.65804,264.2596,85.18895,110.91949,156.4695,25.38283,23.99199,25.73054,25.73054,27.8168,26.77367,90.4046
