name,business_type,state_registered,street_registered,city_registered,zip5_registered,corp_id
"SARAH ENTERPRISES, INC.",CORPORATION,AL,,BIRMINGHAM,,189199
"TAW VENDING, INC.",CORPORATION,AL,,HUEYTOWN,,189201
"A. ADVENTURE, INC.",CORPORATION,AL,,BIRMINGHAM,,189202
"CHILD & ADOLESCENT ASSOCIATES, P.C.",CORPORATION,AL,,BIRMINGHAM,,189203
"SHADOW LAWN MEMORIAL GARDENS, INC.",CORPORATION,AL,,BIRMINGHAM,,189205
"CORNERSTONE CONSTRUCTION & REMODELING, INC.",CORPORATION,AL,,BIRMINGHAM,,189207
"THOMPSON & SEARIGHT, P.C.",CORPORATION,AL,,,,189208
"TRANSPARTNERS, INC.",CORPORATION,AL,,TUSCUMBIA,,189209
"LWS ENTERPRISES, INC.",CORPORATION,AL,,,,189211
"JOHN'S RENTALS, INC.",CORPORATION,AL,,ANNISTON,,189213
"TECHNICAL GROUP, INC.",CORPORATION,AL,,ALABASTER,,189214
"PROFESSIONAL PRACTICE MANAGEMENT, INC.",CORPORATION,AL,,BIRMINGHAM,,189378
"EASTERN MEDICAL EYE CENTER, P.C.",CORPORATION,AL,,,,189379
"TUCKER'S APPLIANCE CENTER, INC.",CORPORATION,AL,,SUMITON,,189382
"CROOKED ROAD MUSIC, INC.",CORPORATION,AL,,BIRMINGHAM,,189383
"SOUTHSTAR REAL ESTATE INVESTMENTS, INC.",CORPORATION,AL,,PELL CITY,,189387
"R. G. MART, INC.",CORPORATION,AL,,,,189389
"LIVINGSTON BAG-UM-UP & HARDWARE, INC.",CORPORATION,AL,,,,189390
"HALL & SONS PLUMBING, INC.",CORPORATION,AL,,VANCE,,189594
"EUROPASSION MOTORSPORTS & RACING, INC.",CORPORATION,AL,,,,189595
"WINGS OF TALLAHASSEE, INC.",CORPORATION,AL,,,,189596
"WINGS OF MONTGOMERY, INC.",CORPORATION,AL,,,,189597
"ENTERPRISE ANESTHESIOLOGY AND CRITICAL CARE ASSOCIATES, P.C.",CORPORATION,AL,,ENTERPRISE,,189600
"MC, II, INCORPORATED",CORPORATION,AL,,HUNTSVILLE,,189603
"LITTLEFIELD & LITTLEFIELD, INC.",CORPORATION,AL,,MADISON,,189605
"ASSEMBLY SOLUTIONS, INC.",CORPORATION,AL,,MADISON,,189606
"CARIBEES INTERNATIONAL ASSOCIATION, INC.",CORPORATION,AL,,MADISON,,189607
"QUANTUM RESEARCH CORPORATION, INC.",CORPORATION,AL,,MADISON,,189609
"BRAZELTON PROPERTIES, INC.",CORPORATION,AL,,,,189697
"BEAR & BRICK ENTERPRISES, INC.",CORPORATION,AL,,HUNTSVILLE,,189699
INTENSIVE IMAGES INC.,CORPORATION,AL,,MADISON,,189701
"CONSUMERS CHOICE, INC.",CORPORATION,AL,,HUNTSVILLE,,189702
"D.K. SERVICES, INC.",CORPORATION,AL,,MADISON,,189703
"COUNTRY GIRL HOMES, INC.",CORPORATION,AL,,,,189704
S&P LEASING CORPORATION,CORPORATION,AL,,,,189705
"JACKSONVILLE STEEL ERECTORS, INC.",CORPORATION,AL,,,,189706
"DWIGHT GAINES ENTERPRISES, INC.",CORPORATION,AL,,TUSCALOOSA,,189708
"INGE & ASSOCIATES, INC.",CORPORATION,AL,,SELMA,,189709
"JAMIE'S WEE CARE, INC.",CORPORATION,AL,,JACKSON,,189710
"CLEAN SOLUTIONS, INC.",CORPORATION,AL,,BIRMINGHAM,,189711
"EL VALLE, INC.",CORPORATION,AL,,DECATUR,,190144
"PFT SERVICE, INC.",CORPORATION,AL,,BIRMINGHAM,,190145
"A-1 COMMERCIAL & RESIDENTIAL SERVICES, INC.",CORPORATION,AL,,BIRMINGHAM,,190147
"DESIGNS BY T, INC.",CORPORATION,AL,,BIRMINGHAM,,190148
"GREG RUSH BUILDING & CONSTRUCTION, INC.",CORPORATION,AL,,,,190149
"F AND R, INC.",CORPORATION,AL,,,,190150
"METRO RENTALS OF DECATUR, INC.",CORPORATION,AL,,BIRMINGHAM,,190151
"METRO RENTALS OF MOULTON, INC.",CORPORATION,AL,,BIRMINGHAM,,190153
"DOSSETT COUNSELING SERVICES, P.C.",CORPORATION,AL,,BIRMINGHAM,,190154
"DISPOSAL INDUSTRIES, INC.",CORPORATION,AL,,,,190406
"YOUNG'S AUTO CENTER, INC.",CORPORATION,AL,,,,190407
"CERESA M. FRENKEL, P.C.",CORPORATION,AL,,,,190408
"ONE LINK, INC.",CORPORATION,AL,,,,190409
"K-RUN FISHERY, INCORPORATED",CORPORATION,AL,,VERBENA,,190412
"KEVIN HARRIS, O.D., P.C.",CORPORATION,AL,,DECATUR,,190414
"K.A.T. STEELE, INC.",CORPORATION,AL,,,,190415
"BATES MERCHANDISING, INC.",CORPORATION,AL,,,,190417
"STANDARDS OF EXCELLENCE, A DIVISION OF CARON PETES, INC.",CORPORATION,AL,,BIRMINGHAM,,190418
"DIXIE AIR SERVICE, INC.",CORPORATION,AL,,TUSCALOOSA,,190632
"NAVIGATOR DEVELOPMENT GROUP, INC.",CORPORATION,AL,,ENTERPRISE,,190634
"HARPER MANUFACTURED HOUSING, INC.",CORPORATION,AL,,,,190636
"WEST ALABAMA RETAIL COOPERATIVE, INC.",CORPORATION,AL,,THOMASTON,,190637
"S.P. & J.M., INC.",CORPORATION,AL,,,,190638
"DCS ENTERPRISES, INC.",CORPORATION,AL,,,,190639
"G R DECOR, INC.",CORPORATION,AL,,,,190640
"REPO LAND, INC.",CORPORATION,AL,,,,190641
"R & R PAWN, INC.",CORPORATION,AL,,,,190642
"SOUTHEAST L.P. TANK INSPECTION, INC.",CORPORATION,AL,,,,190643
"WEST ALABAMA RETAIL COOPERATIVE, INC.",CORPORATION,AL,,THOMASTON,,190637
"S.P. & J.M., INC.",CORPORATION,AL,,,,190638
"DCS ENTERPRISES, INC.",CORPORATION,AL,,,,190639
"G R DECOR, INC.",CORPORATION,AL,,,,190640
"REPO LAND, INC.",CORPORATION,AL,,,,190641
"R & R PAWN, INC.",CORPORATION,AL,,,,190642
"SOUTHEAST L.P. TANK INSPECTION, INC.",CORPORATION,AL,,,,190643
"TASTE OF ITALY, INC.",CORPORATION,AL,,ALBERTVILLE,,190644
"MATRIX PRODUCTIONS, INC.",CORPORATION,AL,,CHELSEA,,190647
"MULARSKI CONCRETE, INC.",CORPORATION,AL,,STERRETT,,190648
"RUSSELL HOME BUILDERS, INC.",CORPORATION,AL,,CHELSEA,,190650
"NJT CONSTRUCTION, INC.",CORPORATION,AL,,BIMRINGHAM,,190651
"WELDON WELDING & INSPECTION SERVICES, INC.",CORPORATION,AL,,WILSONVILLE,,190652
"AMBERSON CONSTRUCTION, INC.",CORPORATION,AL,,ALABASTER,,190653
"B & H PLUMBING CO., INC.",CORPORATION,AL,,,,190654
