street_registered,state_registered,count(1)
,VA,577647
4030 WAKE FOREST ROAD  STE 349,NC,19786
"9360 GLACIER HIGHWAY, SUITE 202",AK,1144
9360 GLACIER HWY STE 202,AK,8516
160 MINE LAKE CT STE 200,NC,29673
6135 PARK SOUTH DRIVE STE 510,NC,17662
8801 FAST PARK DR. STE 301,NC,72
16701 RANSOM RIDGE,AK,4
2620 BRAGG BLVD.  STE. D,NC,10
8518 HORNWOOD CT,NC,3
825 GUM BRANCH RD STE 101,NC,4
721 DEPOT DRIVE,AK,419
10710 GOVERNORS DRIVE,NC,3
31 FORGA PLAZA LOOP,NC,3
5540 CENTERVIEW DR STE 200,NC,1590
9114 FALKWOOD RD,NC,3
310 S HARRINGTON ST,NC,20
8801 FAST PARK DR STE. 301,NC,816
176 MINE LAKE COURT  STE. 100,NC,4817
804 GREEN VALLEY ROAD  SUITE 200,NC,317
1415 WILKESBORO HWY,NC,4
176 MINE LAKE CT #100,NC,1929
232 NORTH 2ND ST,NC,3
8480 HONEYCUTT ROAD STE 200 #V295,NC,600
4601 SIX FORKS RD STE 400,NC,11
6520 KULIS DR,AK,92
701 FINGER LAKES DRIVE,NC,24
10935 WINDS CROSSING DR SUITE 500,NC,774
8601 SIX FORKS RD STE 400,NC,31
113 CAROLINA AVE,NC,4
7426 JANICE LANE,NC,7
7034 BALLANTYNE COURT,NC,3
505 OLD STEESE HWY STE 122,AK,5517
111 COMMONWEALTH COURT  STE 101,NC,6
821 N ST STE 102,AK,2136
1001 NORTH LUMINA AVENUE,NC,3
150 FAYETTEVILLE ST.  1011,NC,9
8510 MCALPINE PARK DRIVE  SUITE 210,NC,16
10 BROOK STREET - SUITE 205,NC,15
7920 HONEYSUCKLE DRIVE,AK,345
80 GOLDEN HEATHER,NC,4
3721 TRENT RD,NC,3
176 MINE LAKE COURT  SUITE 100,NC,6659
4201 CONGRESS STREET  STE 170,NC,17
120 PENMARC DRIVE SUITE 118,NC,1404
