name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,public,naics_2017,ein,sic4,parent,website,duns
"AIRPORT EQUIPMENT RENTALS, INC.",CORPORATION,AK,1285 VAN HORN ROAD,"FAIRBANKS,",99701,AK,1285 VAN HORN ROAD,FAIRBANKS,99701,41882D,,,,,,,
800 E. YUKON LLC,LLC,AK,3852 N. CLARK-WOLVERINE RD.,"PALMER,",99645,AK,3852 N. CLARK-WOLVERINE RD.,PALMER,99645,10169111,,,,,,,
"ALASKA SALMON WHOLESALE, LLC",LLC,AK,5.5 MILE MUD BAY ROAD,"HAINES,",99827,AK,5.5 MILE MUD BAY RD,HAINES,99827,10003228,,,,,,,
ALINE ALASKA CHIROPRACTIC LLC,LLC,AK,13311 COVE CIRCLE,"ANCHORAGE, AK",99515,AK,13311 COVE CIRCLE,ANCHORAGE,99515,10131598,,,,,,,
ASSURANCE RESTORATION LIMITED LIABILTY CORPORATION,CORPORATION,RI,711 E TAFT,"SAPULPA, OK",74066,,,,,000542236,,,,,,,
AURORA AEROTECH LLC,LLC,AK,5039 VANCE DRIVE,"ANCHORAGE,",99508,AK,24336 LEOS RD,CHUGIAK,99567,10132097,,,,,,,
"ANCHORAGE CABARETS, LLC",LLC,AK,310 K STREETSUITE 239,"ANCHORAGE, AK",99501,AK,1468 W. 25TH,ANCHORAGE,99503,10111671,,,,,,,
"B&B VENTURES, LLC",LLC,AK,3261 S. PURVEY CIRCLE,"WASILLA, ALASKA",99654,AK,3261 S. PURVEY CIRCLE,WASILLA,99654,10155321,,,,,,,
BEAR AND RAVEN GUEST SUITE LLC,LLC,AK,315 E STREET,"ANCHORAGE, AK",99501,AK,420 L ST STE 310,ANCHORAGE,99501,10170235,,,,,,,
BLACKWOLF LIMITED,CORPORATION,AK,3910 TAMBERT DR.,"WASILLA , AK",99645,AK,3910 TAMBERT DR,WASILLA,99645,10128208,,,,,,,
CARLEE BUSINESS SERVICES LLC,LLC,AK,633 B ATLAS LOOP,"EIELSON, AFB",99702,AK,633 B ATLAS LOOP,EIELSON,99702,10138055,,,,,,,
"CCX GLOBAL DIRECT, INC.",CORPORATION,RI,1000 FRENCHTOWN ROAD,"EAST GREENWICH, RI",02818,,,,,000796659,,,,,,,
