name,city,state,website
1 LT CHARLES W. WHITCOMB SCHOOL,MARLBOROUGH,MA,HTTP://WWW.MPS-EDU.ORG
100 BLACK MEN OF THE BAY AREA COMMUNITY,OAKLAND,CA,nan
101 ELEMENTARY,VICTORVILLE,CA,nan
10TH STREET SCHOOL,MARYSVILLE,WA,HTTP://MSVL.K12.WA.US
112 ALC INDEPENDENT STUDY,CHASKA,MN,HTTP://WWW.DISTRICT112.ORG/
112 ALC MIDDLE SCHOOL,CHASKA,MN,HTTP://WWW.DISTRICT112.ORG/
112 ALC SEAT-BASED,CHASKA,MN,nan
123 YOU N ME PRESCHOOL,PEORIA,IL,nan
12TH STREET ELEMENTARY,PORTAGE,MI,HTTP://WWW.PORTAGEPS.ORG
138TH STREET,HAWTHORNE,CA,nan
1408 S. GOLIAD ST.,ROCKWALL,TX,nan
18+ PROGRAM,HASTINGS,NE,https://www.education.ne.gov/apac/interim-programs-rule-18/
180 PROGRAM,NOVATO,CA,nan
1R ELEMENTARY,GRAND ISLAND,NE,https://www.ginorthwest.org/category/schools/st-libory-2/one-r/
1ST BAPTIST CHURCH PRESCHOOL,WARREN,AR,nan
1ST CEREBRAL PALSY OF NJ,BELLEVILLE,NJ,nan
1ST CLASS MONTESSORI,CORDOVA,TN,nan
1ST UNITED METHODIST PRESCHOOL & KINDERGARTEN,ROCKY MOUNT,NC,nan
20 DE SEPTIEMBRE DE 1988,VIEQUES,PR,nan
21 CENTURY STEM ACADEMY,DECATUR,GA,nan
21ST CENTURY ACADEMY,HOPKINSVILLE,KY,https://education.ky.gov/federal/Pages/Kentuckys-21st-Century-Community-Learning-Centers.aspx
21ST CENTURY CHARTER SCH OF GARY,GARY,IN,https://21cchartergary.org/
21ST CENTURY CYBER CS,DOWNINGTOWN,PA,HTTP://WWW.21CCCS.ORG
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,WESLACO,TX,https://www.wisd.us/schools/elementary-schools/elf-academy
21ST CENTURY ESCHOOL,MIDDLETON,WI,HTTP://WWW.MCPASD.K12.WI.US
21ST CENTURY LEARNING ACADEMY/KIOWA COUNTY,GREENSBURG,KS,http://mullinville.org/
21ST CENTURY LEARNING INSTITUTE,BEAUMONT,CA,https://21cli.beaumontusd.us/
21ST CENTURY PREPARATORY SCHOOL,RACINE,WI,HTTP://WWW.21STPREPSCHOOL.ORG
21ST CENTURY PRIMARY CENTER,PARK FOREST,IL,https://www.sd163.com/o/21st-century
21ST CENTURY SKILLS ACADEMY,WEST SPRINGFIELD,MA,https://profiles.doe.mass.edu/home.aspx?orgCode=03320515&orgtypecode=6
2450 CHILDCARE INC DBA HAPPY DAYS CHILDCARE,HIGHLAND,IN,nan
247 LEARNING ACADEMY,ORLANDO,FL,nan
25 E SW 4,ORLANDO,FL,HTTP://WWW.OCPS.NET
270 - HAP - IS,HOPKINS,MN,HTTP://DISTRICT287.ORG
270 HOPKINS ALTERNATIVE,MINNETONKA,MN,nan
270 HOPKINS IS,HOPKINS,MN,https://www.hopkinsschools.org/
270 HOPKINS NORTH JR HIGH ALC,MINNETONKA,MN,https://north.hopkinsschools.org/
270 HOPKINS WEST JR HIGH ALC,MINNETONKA,MN,https://west.hopkinsschools.org/
272 CENTRAL MIDDLE SCH. ALT,EDEN PRAIRIE,MN,https://www.edenpr.org/central-middle-school-home
276 MINNETONKA COMPASS,MINNETONKA,MN,nan
276 MINNETONKA COMPASS EXT YR,MINNETONKA,MN,nan
277 WESTONKA AREA LEARNING ACADEMY,MINNETRISTA,MN,nan
277-GRANDVIEW MIDDLE - ALC,MOUND,MN,https://www.elementaryschool.me/schooldetails/47160/277-grandview-middle---alc
283 ST LOUIS PK INDEPENDENT STUDY,SAINT LOUIS PARK,MN,https://www.slpschools.org/
283-IND STDY 15 AND UNDER - I.S.,SAINT LOUIS PARK,MN,nan
283-ST. LOUIS PARK ALC,SAINT LOUIS PARK,MN,nan
2ND NATURE ACADEMY,NASHUA,NH,nan
3 R COMMUNITY DAY,NEVADA CITY,CA,nan
3088 E 800 N,BRYANT,IN,nan
30TH AVENUE SCHOOL (THE),ASTORIA,NY,HTTP://WWW.Q300.ORG
360 HIGH SCHOOL,PROVIDENCE,RI,https://www.providenceschools.org/360
37 M W 4,ORLANDO,FL,HTTP://WWW.OCPS.NET
3B JUVENILE DETENTION CENTER,IDAHO FALLS,ID,nan
3D ACADEMY,DONNA,TX,HTTP://WWW.DONNAISD.NET
3RD H S,WYLIE,TX,nan
4 OUR KIDS LEARNING ACADEMY,BAYTOWN,TX,nan
4-J ELEMENTARY SCHOOL,GILLETTE,WY,HTTP://WWW.CAMPBELLCOUNTYSCHOOLS.NET/
40 SYLVAN PETERSHEIM,ELIZABETHVILLE,PA,nan
4092 - WATERSHED HIGH SCHOOL ALC,RICHFIELD,MN,HTTP://WWW.WATERSHEDHS.ORG
4122 - EAGLE RIDGE ACADEMY - IS,MINNETONA,MN,HTTP://WWW.EAGLERIDGEACADEMY.ORG
4126 - PRAIRIE SEEDS ACADEMY - IS,BROOKLYN PARK,MN,https://www.mncharterschools.org/directory/location-detail.php?ID=550
47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),NEW YORK,NY,https://www.ps347.org/
49-E-W-4,ORLANDO,FL,HTTP://WWW.OCPS.NET
49TH STREET ACADEMY,VANCOUVER,WA,https://www.evergreenps.org/Schools/49th-Street-Academy/49th-Street-Academy-Staff
4K CENTER FOR LITERACY,KIMBERLY,WI,HTTP://WWW.KIMBERLY.K12.WI.US
4K COMMUNITY SCHOOL,BURLINGTON,WI,HTTP://WWW.BASD.K12.WI.US
4K COMMUNITY-BASED,REEDSBURG,WI,HTTP://WWW.RSD.K12.WI.US
4K MCFARLAND,MCFARLAND,WI,HTTP://WWW.MCFARLAND.K12.WI.US
4K PK OFF SITE,MADISON,WI,HTTP://WWW.MADISON.K12.WI.US
4POINTS ACADEMY,AUSTIN,TX,nan
500 REACH,KANSAS CITY,KS,https://kckps.org/parents-students/alternative-education-pathways/
51ST AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),ELMHURST,NY,nan
54TH STREET ACADEMY,GRAND RAPIDS,MI,HTTP://WWW.KVILLEPS.ORG
565 ACADEMY,TOLEDO,OH,nan
5TH AND 6TH GRADE CTR.,SIKESTON,MO,HTTP://WWW.SIKESTONR6.ORG
601 SCHOOL,SAN BERNARDINO,CA,nan
622 ALTERNATIVE MIDDLE/HIGH SCHOOL,NORTH ST PAUL,MN,https://www.isd622.org/
63RD ST MULTICULTURAL ACAD OF ACADEMIC EXCELLENCE,PHILADELPHIA,PA,nan
6TH GRADE CENTER,GREENVILLE,TX,HTTP://WWW.GREENVILLEISD.COM
6TH GRADE CENTER,QUAKERTOWN,PA,https://sgc.qcsd.org/
6TH GRADE CENTER,WAYNESVILLE,MO,nan
7 RIVERS COMMUNITY HIGH,LA CROSSE,WI,HTTP://WWW.LACROSSESCHOOLS.ORG
70 ONLINE,PUEBLO,CO,nan
72 E W 7,ORLANDO,FL,HTTP://WWW.OCPS.NET
7TH AND 8TH GRADE ACADEMY,LAS VEGAS,NM,HTTP://WWW.CYBERCARDINAL.NET/SCHOOLS/MEMORIAL
7TH AND 8TH GRADE CENTER,ST LOUIS,MO,HTTP://WWW.NORMANDYSD.ORG
7TH AND 8TH GRADE CTR.,SIKESTON,MO,HTTP://WWW.SIKESTONR6.ORG
7TH GRADE ACADEMY,CAHOKIA,IL,https://7a-cusd187-il.schoolloop.com/
7TH H S - NORTHEAST,ROUND ROCK,TX,HTTP://WWW.ROUNDROCKISD.ORG
800 W BROADWAY,MINNEAPOLIS,MN,https://www.northpointhealth.org/800-west-broadway
8TH GRADE ACADEMY,CAHOKIA,IL,https://8a-cusd187-il.schoolloop.com/
9 FRUITS LEARNING CENTER,MOUNTAIN VIEW,CA,nan
