Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,AETNA_HMO-PPO,AETNA_WHOLE_HEALTH_ACO,BCBS_NEBRASKA_BLUE_PRINT,BCBS_NEBRASKA_NETWORK_BLUE,ELAP_LLC,MIDLANDS_CHOICE,NE_TOTAL_CARE_CENTENE,PHCS_MULTIPLAN,UHC,UHC_ACO,VNA_CYPRESS
1100001,PRIVATE ROOM,Inpatient,0110,,,,0,1180.00,1062.00,1062.00,1132.80,N/A,N/A,1121.00,1132.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1200001,SEMI-PRIVATE ROOM,Inpatient,0120,,,,0,1023.00,920.70,920.70,982.08,N/A,N/A,971.85,982.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1200010,Negative Pressure Inpatient,Inpatient,0120,,,,0,1223.00,1100.70,1100.70,1174.08,N/A,N/A,1161.85,1174.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1210001,SWING BED PRIVATE,Inpatient,0119,,,,0,1020.00,918.00,918.00,979.20,N/A,N/A,969.00,979.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1250001,HOSPICE ROOM,Inpatient,0125,,,,0,1023.00,920.70,920.70,982.08,N/A,N/A,971.85,982.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1290001,SWING BED SEMI PRIVATE,Inpatient,0129,,,,0,921.00,828.90,828.90,884.16,N/A,N/A,874.95,884.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1290005,SWINGBED INTERMEDIATE MINIMUM,Inpatient,0129,,,,0,229.00,206.10,206.10,219.84,N/A,N/A,217.55,219.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1290010,INTERMEDIATE MODERATE,Inpatient,0129,,,,0,277.00,249.30,249.30,265.92,N/A,N/A,263.15,265.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1290030,Swingbed Neg. Pressure,Inpatient,0129,,,,0,1121.00,1008.90,1008.90,1076.16,N/A,N/A,1064.95,1076.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1740001,CRIT CARE NWBN TO 4',Inpatient,0174,,,,0,481.00,432.90,432.90,461.76,N/A,N/A,456.95,461.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500015,ACETAMINOPHEN 500MG TAB,Inpatient,0250,,,00904-1988-61,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500015,ACETAMINOPHEN 500MG TAB,Outpatient,0250,,,00904-1988-61,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500020,ACETAMINOPHEN 325MG TAB,Inpatient,0250,,,00904-1982-60,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500020,ACETAMINOPHEN 325MG TAB,Outpatient,0250,,,00904-1982-60,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500025,ACETAMINOPHEN 120MG SUPP,Inpatient,0250,,,00713-0118-12,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500025,ACETAMINOPHEN 120MG SUPP,Outpatient,0250,,,00713-0118-12,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500030,ACETAMINOPHEN 650MG SUPP,Inpatient,0250,,,45802-0730-30,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500030,ACETAMINOPHEN 650MG SUPP,Outpatient,0250,,,45802-0730-30,0,4.00,3.60,3.60,3.84,N/A,N/A,3.80,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500040,ACETAMINOPHEN W/CODEINE 5,Inpatient,0250,,,50383-0079-05,0,5.00,4.50,4.50,4.80,N/A,N/A,4.75,4.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500040,ACETAMINOPHEN W/CODEINE 5,Outpatient,0250,,,50383-0079-05,0,5.00,4.50,4.50,4.80,N/A,N/A,4.75,4.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2500045,ACETAMINOPHEN W/CODEINE 300,Inpatient,0250,,,00093-0150-01,0,5.00,4.50,4.50,4.80,N/A,N/A,4.75,4.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A
