url,size
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_Core-POS_579_in-network-rates.json.gz,621666475
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_Choice-Plus-POS_8_in-network-rates.json.gz,656852668
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-Acupuncture-Massage-Naturopath_31_in-network-rates.json.gz,222733
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-ST_30_in-network-rates.json.gz,406373
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-Chiro_28_in-network-rates.json.gz,2727221
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_Core-POS_579_in-network-rates.json.gz,621666475
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_Choice-Plus-POS_8_in-network-rates.json.gz,656852668
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-Acupuncture-Massage-Naturopath_31_in-network-rates.json.gz,222733
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-ST_30_in-network-rates.json.gz,406373
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-Chiro_28_in-network-rates.json.gz,2727221
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_Core-POS_579_in-network-rates.json.gz,621666475
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_Choice-Plus-POS_8_in-network-rates.json.gz,656852668
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-Acupuncture-Massage-Naturopath_31_in-network-rates.json.gz,222733
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-ST_30_in-network-rates.json.gz,406373
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-Chiro_28_in-network-rates.json.gz,2727221
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_Core-POS_579_in-network-rates.json.gz,621666475
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_Choice-Plus-POS_8_in-network-rates.json.gz,656852668
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-Acupuncture-Massage-Naturopath_31_in-network-rates.json.gz,222733
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-ST_30_in-network-rates.json.gz,406373
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-Chiro_28_in-network-rates.json.gz,2727221
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_Navigate-EPO_636_in-network-rates.json.gz,636403451
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_Charter-EPO_616_in-network-rates.json.gz,625983391
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-Acupuncture-Massage-Naturopath_31_in-network-rates.json.gz,222733
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-ST_30_in-network-rates.json.gz,406373
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-Chiro_28_in-network-rates.json.gz,2727221
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_Core-POS_579_in-network-rates.json.gz,621666475
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_Choice-Plus-POS_8_in-network-rates.json.gz,656852668
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-Acupuncture-Massage-Naturopath_31_in-network-rates.json.gz,222733
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-ST_30_in-network-rates.json.gz,406373
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_United-Healthcare-Services--Inc-_Third-Party-Administrator_OHPH-Chiro_28_in-network-rates.json.gz,2727221
