url,size
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_UMR--Inc-_Third-Party-Administrator_MONUMENT-HEALTH-UNITEDHEALTHCARE-NEW-BUSINESS-RATE_LOUISIANA-STATEWIDE-UHPD-TIER-2_-MNH_NXDN_in-network-rates.json.gz,813268385
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_UMR--Inc-_Third-Party-Administrator_SERIGRAPH-INC-DIRECT-AGREEMENT-DCI_NJ-NON-EVALUATED-GAP_-SER_NXBD_in-network-rates.json.gz,813236341
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_UnitedHealthcare-Insurance-Company_Insurer_D0031941_UHC-Dental_in-network-rates.json.gz,79508575
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_UMR--Inc-_Third-Party-Administrator_FRANCISCAN-SISTERS-OF-CHRISTIAN-CHARITY_HFSC_in-network-rates.json.gz,814537325
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_UMR--Inc-_Third-Party-Administrator_TENET-IN-MICHIGAN_NEXUS-RI-COASTAL-TIER-2_-TNT_NXDI_in-network-rates.json.gz,812665839
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_UMR--Inc-_Third-Party-Administrator_MONUMENT-HEALTH-UNITEDHEALTHCARE-NEW-BUSINESS-RATE_LOUISIANA-STATEWIDE_-MNH_NX25_in-network-rates.json.gz,812825904
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_UMR--Inc-_Third-Party-Administrator_REAL-APPEAL_CT-STATEWIDE-GAP_-RA_NX2S_in-network-rates.json.gz,813118445
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_UMR--Inc-_Third-Party-Administrator_MONUMENT-HEALTH-UNITEDHEALTHCARE-NEW-BUSINESS-RATE_WEST-VIRGINIA-CCP-DAVIS-MEDICAL-CENTER_-MNH_PEC4_in-network-rates.json.gz,152189090
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_UnitedHealthcare-Community-Plan--Inc-_Insurer_UHC---Embedded-Vision_UHC-Vision_in-network-rates.json.gz,509076
https://uhc-tic-mrf.azureedge.net/public-mrf/2023-01-01/2023-01-01_UMR--Inc-_Third-Party-Administrator_FORT-RECOVERY-INDUSTRIES-DIRECT_UNITEDHEALTHCARE-CHOICE-PLUS_-FRI_0L_in-network-rates.json.gz,814780657
