ein,id,stdchg_file_url,file_name,name,addr,city,state,zip,phone,type,ownership,last_updated,permalink,transparency_page,additional_notes
94-1387866,050133,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbRMHMARYSVILLECA&type=CDMWithoutLabel,941387866_rideout-memorial-hospital_standardcharges.csv,ADVENTIST HEALTH AND RIDEOUT,726 4TH ST,MARYSVILLE,CA,95901,(530) 749-4300,Acute Care Hospitals,Government - Federal,2023-04-14 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
95-2294234,050455,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHBBAKERSFIELDCA&type=CDMWithoutLabel,952294234_adventist-health---bakersfield_standardcharges.csv,ADVENTIST HEALTH BAKERSFIELD,2615 CHESTER AVENUE,BAKERSFIELD,CA,93301,(661) 395-3000,Acute Care Hospitals,Voluntary non-profit - Private,2023-03-30 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
99-0107330,120006,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHCKAILUAHI&type=CDMWithoutLabel,990107330_adventist-health---castle_standardcharges.csv,ADVENTIST HEALTH CASTLE,640 ULUKAHIKI ST,KAILUA,HI,96734,(808) 263-5142,Acute Care Hospitals,Voluntary non-profit - Church,2023-03-22 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
68-0395149,051317,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHCLCLEARLAKECA&type=CDMWithoutLabel,680395149_adventist-health---clear-lake_standardcharges.csv,ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,(707) 994-6486,Critical Access Hospitals,Voluntary non-profit - Private,2023-03-22 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
61-1823825,050608,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbDRMCDELANOCA&type=CDMWithoutLabel,611823825_delano-regional-medical-center_standardcharges.csv,ADVENTIST HEALTH DELANO,1401 GARCES HIGHWAY,DELANO,CA,93215,(661) 725-4800,Acute Care Hospitals,Proprietary,2023-04-01 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
94-0535360,050121,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbHCMCHANFORDCA&type=CDMWithoutLabel,940535360_adventist-health---hanford_standardcharges.csv,ADVENTIST HEALTH HANFORD,115 MALL DRIVE,HANFORD,CA,93230,(209) 410-7200,Acute Care Hospitals,Voluntary non-profit - Private,2023-04-04 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
68-0108919,051310,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHHMWILLITSCA&type=CDMWithoutLabel,680108919_adventist-health---howard-memorial_standardcharges.csv,ADVENTIST HEALTH HOWARD MEMORIAL,1 MARCELA DR,WILLITS,CA,95490,(707) 456-3031,Critical Access Hospitals,Voluntary non-profit - Church,2023-03-22 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
94-1044474,050336,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHLMLODICA&type=CDMWithoutLabel,941044474_adventist-health---lodi-memorial_standardcharges.csv,ADVENTIST HEALTH LODI MEMORIAL,975 S FAIRMONT AVENUE,LODI,CA,95240,(209) 334-3411,Acute Care Hospitals,Voluntary non-profit - Other,2023-03-22 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
93-0429015,380060,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAMCPORTLANDOR&type=CDMWithoutLabel,930429015_adventist-health-portland_standardcharges.csv,ADVENTIST HEALTH PORTLAND,10123 SE MARKET STREET,PORTLAND,OR,97216,(503) 257-2500,Acute Care Hospitals,Voluntary non-profit - Church,2023-04-05 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
45-3220509,050192,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHRREEDLEYCA&type=CDMWithoutLabel,453220509_adventist-health---reedley_standardcharges.csv,ADVENTIST HEALTH REEDLEY,372 W CYPRESS AVE,REEDLEY,CA,93654,(559) 638-8155,Acute Care Hospitals,Voluntary non-profit - Private,2023-03-22 00:00:00,,https://www.adventisthealth.org/patient-resources/financial-services/healthcare-costs-and-charges/cost-estimator-tool/,
