Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,AETNA,AETNA_MCR_ADV,BCBS_2022,CIGNA,MERITAIN,RESERVE_NATIONAL,UHC,UHC_MCR_ADV,UMR
1041799,OT Massage Charge Units 97124,Inpatient,0430,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,78.00,54.60,49.14,70.20,70.20,N/A,N/A,70.20,70.20,70.20,70.20,N/A,70.20
1041799,OT Massage Charge Units 97124,Outpatient,0430,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,78.00,54.60,49.14,70.20,70.20,49.14,55.34,70.20,70.20,70.20,70.20,49.14,70.20
1042079,PT Massage Charge Units 97124,Inpatient,0421,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,78.00,54.60,49.14,70.20,70.20,N/A,N/A,70.20,70.20,70.20,70.20,N/A,70.20
1042079,PT Massage Charge Units 97124,Outpatient,0421,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",,0,78.00,54.60,49.14,70.20,70.20,49.14,55.34,70.20,70.20,70.20,70.20,49.14,70.20
1147842,Bilirubin Direct,Inpatient,0300,82248,Bilirubin; direct,,0,45.00,31.50,5.02,40.50,40.50,N/A,N/A,40.50,40.50,40.50,40.50,N/A,40.50
1147842,Bilirubin Direct,Outpatient,0300,82248,Bilirubin; direct,,0,45.00,31.50,5.02,40.50,40.50,28.35,26.32,40.50,40.50,40.50,40.50,5.02,40.50
1147853,Bilirubin Total,Inpatient,0300,82247,Bilirubin; total,,0,45.00,31.50,5.02,40.50,40.50,N/A,N/A,40.50,40.50,40.50,40.50,N/A,40.50
1147853,Bilirubin Total,Outpatient,0300,82247,Bilirubin; total,,0,45.00,31.50,5.02,40.50,40.50,28.35,27.79,40.50,40.50,40.50,40.50,5.02,40.50
1148019,Rapid Drug Screen Urine w/ QC,Inpatient,0300,80307,"Drug test(s), presumptive, any number of drug classes, any number of devices or procedures; by instrument chemistry analyzers (eg, utilizing immunoassay [eg, EIA, ELISA, EMIT, FPIA, IA, KIMS, RIA]), chromatography (eg, GC, HPLC), and mass spectrometry either with or without chromatography, (eg, DART, DESI, GC-MS, GC-MS/MS, LC-MS, LC-MS/MS, LDTD, MALDI, TOF) includes sample validation when performed, per date of service",,0,155.00,108.50,62.14,195.77,139.50,N/A,N/A,139.50,139.50,139.50,139.50,N/A,139.50
1148019,Rapid Drug Screen Urine w/ QC,Outpatient,0300,80307,"Drug test(s), presumptive, any number of drug classes, any number of devices or procedures; by instrument chemistry analyzers (eg, utilizing immunoassay [eg, EIA, ELISA, EMIT, FPIA, IA, KIMS, RIA]), chromatography (eg, GC, HPLC), and mass spectrometry either with or without chromatography, (eg, DART, DESI, GC-MS, GC-MS/MS, LC-MS, LC-MS/MS, LDTD, MALDI, TOF) includes sample validation when performed, per date of service",,0,155.00,108.50,62.14,195.77,139.50,97.65,195.77,139.50,139.50,139.50,139.50,62.14,139.50
1148022,"Urinalysis with Microscopic, if indicated",Inpatient,0300,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,34.00,23.80,3.17,30.60,30.60,N/A,N/A,30.60,30.60,30.60,30.60,N/A,30.60
1148022,"Urinalysis with Microscopic, if indicated",Outpatient,0300,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,34.00,23.80,3.17,30.60,30.60,21.42,12.67,30.60,30.60,30.60,30.60,3.17,30.60
1148023,Urinalysis,Inpatient,0300,81001,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, with microscopy",,0,34.00,23.80,3.17,30.60,30.60,N/A,N/A,30.60,30.60,30.60,30.60,N/A,30.60
