id,ein,mrf_url,name,alt_name,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,last_updated,file_name,permalink,transparency_page,additional_notes
140242,36-2513909,https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/billing-and-insurance/chargemaster/36-2513909-northwestern-medicine-central-dupage-hospital-standard-charges.json,NORTHWESTERN MEDICINE CENTRAL DUPAGE HOSPITAL,Northwestern Medicine Central DuPage Hospital,Northwestern Memorial Medicine,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190,6306821600,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-03-01,36-2513909-northwestern-medicine-central-dupage-hospital-standard-charges.json,,https://www.nm.org/patients-and-visitors/billing-and-insurance/chargemaster,
140211,36-3484281,https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/billing-and-insurance/chargemaster/36-3484281-northwestern-medicine-delnor-hospital-standard-charges.json,NORTHWESTERN MEDICINE DELNOR COMMUNITY HOSPITAL,Northwestern Medicine Delnor Hospital,Northwestern Memorial Medicine,300 RANDALL RD,GENEVA,IL,60134,6302083000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-03-01,36-3484281-northwestern-medicine-delnor-hospital-standard-charges.json,,https://www.nm.org/patients-and-visitors/billing-and-insurance/chargemaster,
140286,23-7087041,https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/billing-and-insurance/chargemaster/23-7087041-northwestern-medicine-kishwaukee-hospital-standard-charges.json,NORTHWESTERN MEDICINE KISHWAUKEE HOSPITAL,Northwestern Medicine Kishwaukee Hospital,Northwestern Memorial Medicine,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115,8157561521,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-03-01,23-7087041-northwestern-medicine-kishwaukee-hospital-standard-charges.json,,https://www.nm.org/patients-and-visitors/billing-and-insurance/chargemaster,
140130,36-2179779,https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/billing-and-insurance/chargemaster/36-2179779-northwestern-medicine-lake-forest-hospital-standard-charges.json,NORTHWESTERN LAKE FOREST HOSPITAL,Northwestern Medicine Lake Forest Hospital,Northwestern Memorial Medicine,1000 N WESTMORELAND ROAD,LAKE FOREST,IL,60045,8472345600,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,2023-03-01,36-2179779-northwestern-medicine-lake-forest-hospital-standard-charges.json,,https://www.nm.org/patients-and-visitors/billing-and-insurance/chargemaster,
140116,36-2338884,https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/billing-and-insurance/chargemaster/36-2338884-northwestern-medicine-mchenry-hospital-standard-charges.json,NORTHWESTERN MEDICINE MCHENRY HOSPITAL,Northwestern Medicine McHenry Hospital,Northwestern Memorial Medicine,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,60050,8153445000,U,Short Term,FOR PROFIT - CORPORATION,ACTIVE PROVIDER,2023-03-01,36-2338884-northwestern-medicine-mchenry-hospital-standard-charges.json,,https://www.nm.org/patients-and-visitors/billing-and-insurance/chargemaster,
140062,36-2169179,https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/billing-and-insurance/chargemaster/36-2169179-northwestern-medicine-palos-hospital-standard-charges.json,PALOS COMMUNITY HOSPITAL,Northwestern Medicine Palos Hospital,Northwestern Memorial Medicine,12251 SOUTH 80TH AVENUE,PALOS HEIGHTS,IL,60463,7089234000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-03-01,36-2169179-northwestern-medicine-palos-hospital-standard-charges.json,,https://www.nm.org/patients-and-visitors/billing-and-insurance/chargemaster,
141340,36-4244337,https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/billing-and-insurance/chargemaster/36-4244337-northwestern-medicine-valley-west-hospital-standard-charges.json,NORTHWESTERN MEDICINE VALLEY WEST HOSPITAL,Northwestern Medicine Valley West Hospital,Northwestern Memorial Medicine,1301 NORTH MAIN STREET,SANDWICH,IL,60548,8157868484,U,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-03-01,36-4244337-northwestern-medicine-valley-west-hospital-standard-charges.json,,https://www.nm.org/patients-and-visitors/billing-and-insurance/chargemaster,
140176,36-2338884,https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/billing-and-insurance/chargemaster/36-2338884-northwestern-medicine-woodstock-hospital-standard-charges.json,CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,Northwestern Medicine Woodstock Hospital,,3701 DOTY ROAD,WOODSTOCK,IL,60098,8157885823,U,Short Term,FOR PROFIT - PARTNERSHIP,"VOLUNTARY-MERGER, CLOSURE",2023-03-01,36-2338884-northwestern-medicine-woodstock-hospital-standard-charges.json,,https://www.nm.org/patients-and-visitors/billing-and-insurance/chargemaster,
140281,37-0960170,https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/billing-and-insurance/chargemaster/37-0960170-northwestern-memorial-hospital-standard-charges.json,NORTHWESTERN MEMORIAL HOSPITAL,Northwestern Memorial Hospital,Northwestern Memorial Medicine,251 E HURON ST,CHICAGO,IL,60611,3129262000,U,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,2023-03-01,37-0960170-northwestern-memorial-hospital-standard-charges.json,,https://www.nm.org/patients-and-visitors/billing-and-insurance/chargemaster,
143027,36-2680776,https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/billing-and-insurance/chargemaster/36-2680776-marianjoy-rehabilitation-hospital-standard-charges.json,MARIANJOY REHABILITATION CENTER,Marianjoy Rehabilitation Hospital,,26W171 ROOSEVELT ROAD,WHEATON,IL,60187,6309098000,U,Rehabilitation,FOR PROFIT - INDIVIDUAL,ACTIVE PROVIDER,2023-03-01,36-2680776-marianjoy-rehabilitation-hospital-standard-charges.json,,https://www.nm.org/patients-and-visitors/billing-and-insurance/chargemaster,
