id,ein,last_updated,file_name,mrf_url,permalink,transparency_page,additional_notes
330239,16-0743226,2023-02-02,160743226_upmc-chautauqua_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/160743226_upmc-chautauqua_standardcharges.csv,,https://www.upmc.com/locations/hospitals/chautauqua/patients-visitors/patient-info/cdm,
390002,25-0965423,2023-02-02,250965423_upmc-mckeesport_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965423_upmc-mckeesport_standardcharges.csv,,https://www.upmc.com/locations/hospitals/mckeesport/patients-visitors/patient-information/cdm,
390016,25-0965406,2023-02-02,250965406_upmc-jameson_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965406_upmc-jameson_standardcharges.csv,,https://www.upmc.com/locations/hospitals/jameson/patients-visitors/patient-info/cdm,
390028,25-0965429,2023-02-02,250965429_upmc-mercy_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965429_upmc-mercy_standardcharges.csv,,https://www.upmc.com/locations/hospitals/mercy/patients-visitors/patient-information/cdm,
390045,24-0795508,2023-02-02,240795508_upmc-williamsport_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/240795508_upmc-williamsport_standardcharges.csv,,https://www.upmc.com/locations/hospitals/williamsport/patients-visitors/patient-info/cdm,
390058,82-0880337,2023-02-02,820880337_upmc-carlisle_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/820880337_upmc-carlisle_standardcharges.csv,,https://www.upmc.com/locations/hospitals/carlisle/patients-visitors/patient-info/cdm,
390067,25-1778644,2023-02-02,251778644_upmc-pinnacle-hospitals_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/251778644_upmc-pinnacle-hospitals_standardcharges.csv,,https://www.upmc.com/locations/hospitals/harrisburg/patients-visitors/patient-info/cdm,
390068,82-0844453,2023-02-02,820844453_upmc-lititz_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/820844453_upmc-lititz_standardcharges.csv,,https://www.upmc.com/locations/hospitals/lititz/patients-visitors/patient-info/cdm,
390071,82-1600494,2023-02-02,821600494_upmc-lock-haven_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/821600494_upmc-lock-haven_standardcharges.csv,,https://www.upmc.com/locations/hospitals/lock-haven/patients-visitors/patient-info/cdm,
390073,23-1352155,2023-02-02,231352155_upmc-altoona_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/231352155_upmc-altoona_standardcharges.csv,,https://www.upmc.com/locations/hospitals/altoona/patients-visitors/patient-info/cdm,
