id,ein,name,addr,city,state,zip,phone,type,ownership,last_updated,file_name,stdchg_file_url,permalink,transparency_page,additional_notes
330239,16-0743226,UPMC CHAUTAUQUA AT WCA,207 FOOTE AVENUE,JAMESTOWN,NY,14701,(716) 487-0141,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,160743226_upmc-chautauqua_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/160743226_upmc-chautauqua_standardcharges.csv,,https://www.upmc.com/locations/hospitals/chautauqua/patients-visitors/patient-info/cdm,
390002,25-0965423,UPMC MCKEESPORT HOSPITAL,1500 FIFTH AVENUE,MC KEESPORT,PA,15132,(412) 664-2000,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,250965423_upmc-mckeesport_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965423_upmc-mckeesport_standardcharges.csv,,https://www.upmc.com/locations/hospitals/mckeesport/patients-visitors/patient-information/cdm,
390016,25-0965406,UPMC JAMESON,1211 WILMINGTON AVENUE,NEW CASTLE,PA,16105,(724) 656-4100,Acute Care Hospitals,Voluntary non-profit - Other,2023-02-02,250965406_upmc-jameson_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965406_upmc-jameson_standardcharges.csv,,https://www.upmc.com/locations/hospitals/jameson/patients-visitors/patient-info/cdm,
390028,25-0965429,UPMC MERCY,1400 LOCUST STREET,PITTSBURGH,PA,15219,(412) 232-8111,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,250965429_upmc-mercy_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965429_upmc-mercy_standardcharges.csv,,https://www.upmc.com/locations/hospitals/mercy/patients-visitors/patient-information/cdm,
390045,24-0795508,UPMC WILLIAMSPORT,700 HIGH STREET,WILLIAMSPORT,PA,17701,(570) 321-2389,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,240795508_upmc-williamsport_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/240795508_upmc-williamsport_standardcharges.csv,,https://www.upmc.com/locations/hospitals/williamsport/patients-visitors/patient-info/cdm,
390058,82-0880337,UPMC CARLISLE,361 ALEXANDER SPRING ROAD,CARLISLE,PA,17015,(717) 249-1212,Acute Care Hospitals,Proprietary,2023-02-02,820880337_upmc-carlisle_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/820880337_upmc-carlisle_standardcharges.csv,,https://www.upmc.com/locations/hospitals/carlisle/patients-visitors/patient-info/cdm,
390067,25-1778644,UPMC PINNACLE HOSPITALS,409 SOUTH SECOND STREET,HARRISBURG,PA,17105,(717) 782-5181,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,251778644_upmc-pinnacle-hospitals_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/251778644_upmc-pinnacle-hospitals_standardcharges.csv,,https://www.upmc.com/locations/hospitals/harrisburg/patients-visitors/patient-info/cdm,
390068,82-0844453,UPMC LITITZ,1500 HIGHLANDS DRIVE,LITITZ,PA,17543,(717) 625-5670,Acute Care Hospitals,Proprietary,2023-02-02,820844453_upmc-lititz_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/820844453_upmc-lititz_standardcharges.csv,,https://www.upmc.com/locations/hospitals/lititz/patients-visitors/patient-info/cdm,
390071,82-1600494,UPMC LOCK HAVEN,24 CREE DRIVE,LOCK HAVEN,PA,17745,(570) 893-5024,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,821600494_upmc-lock-haven_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/821600494_upmc-lock-haven_standardcharges.csv,,https://www.upmc.com/locations/hospitals/lock-haven/patients-visitors/patient-info/cdm,
390073,23-1352155,UPMC ALTOONA,620 HOWARD AVENUE,ALTOONA,PA,16601,(814) 889-2011,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,231352155_upmc-altoona_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/231352155_upmc-altoona_standardcharges.csv,,https://www.upmc.com/locations/hospitals/altoona/patients-visitors/patient-info/cdm,
390091,25-0489010,UPMC NORTHWEST,100 FAIRFIELD DRIVE,SENECA,PA,16346,(814) 676-7600,Acute Care Hospitals,Voluntary non-profit - Other,2023-02-02,250489010_upmc-northwest_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250489010_upmc-northwest_standardcharges.csv,,https://www.upmc.com/locations/hospitals/northwest/patients-visitors/patient-information/cdm,
390101,82-0912090,UPMC MEMORIAL,1701 INNOVATION DRIVE,YORK,PA,17408,(717) 843-8623,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,820912090_upmc-memorial_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/820912090_upmc-memorial_standardcharges.csv,,https://www.upmc.com/locations/hospitals/memorial/patients-visitors/patient-info/cdm,
390102,23-2875070,UPMC ST MARGARET,815 FREEPORT ROAD,PITTSBURGH,PA,15215,(412) 784-4000,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,232875070_upmc-st-margaret_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/232875070_upmc-st-margaret_standardcharges.csv,,https://www.upmc.com/locations/hospitals/st-margaret/patients-visitors/patient-information/cdm,
390107,25-0965451,UPMC PASSAVANT,9100 BABCOCK BOULEVARD,PITTSBURGH,PA,15237,(412) 367-6700,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,250965451_upmc-passavant_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965451_upmc-passavant_standardcharges.csv,,https://www.upmc.com/locations/hospitals/passavant/patients-visitors/passavant-patient-info/cdm,
390114,25-0965420,MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM,300 HALKET STREET,PITTSBURGH,PA,15213,(412) 641-4010,Acute Care Hospitals,Voluntary non-profit - Other,2023-02-02,250965420_upmc-magee_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965420_upmc-magee_standardcharges.csv,,https://www.upmc.com/locations/hospitals/magee/patients-and-visitors/information-for-patients/cdm,
390117,23-1396795,UPMC BEDFORD MEMORIAL,10455 LINCOLN HIGHWAY,EVERETT,PA,15537,(814) 623-6161,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,231396795_upmc-bedford_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/231396795_upmc-bedford_standardcharges.csv,,https://www.upmc.com/locations/hospitals/bedford/patients-visitors/patient-information/cdm,
390164,25-0965480,UPMC PRESBYTERIAN SHADYSIDE,200 LOTHROP STREET,PITTSBURGH,PA,15213,(412) 647-8788,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,250965480_presbyterian-shadyside_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965480_presbyterian-shadyside_standardcharges.csv,,https://www.upmc.com/locations/hospitals/presbyterian/patients-visitors/patient-information/cdm,
390178,25-0523970,UPMC HORIZON,110 NORTH MAIN STREET,GREENVILLE,PA,16125,(724) 588-2100,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,250523970_upmc-horizon_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250523970_upmc-horizon_standardcharges.csv,,https://www.upmc.com/locations/hospitals/horizon/patients-visitors/cdm,
390233,23-1360851,UPMC HANOVER,300 HIGHLAND AVE,HANOVER,PA,17331,(717) 637-3711,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,231360851_upmc-hanover_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/231360851_upmc-hanover_standardcharges.csv,,https://www.upmc.com/locations/hospitals/hanover/patients-visitors/patient-info/cdm,
390328,27-4814831,UPMC EAST,2775 MOSSIDE BOULEVARD,MONROEVILLE,PA,15146,(412) 357-3000,Acute Care Hospitals,Voluntary non-profit - Private,2023-02-02,274814831_upmc-east_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/274814831_upmc-east_standardcharges.csv,,https://www.upmc.com/locations/hospitals/east/patients-and-visitors/patient-information/cdm,
393302,25-0402510,UPMC CHILDREN'S HOSPITAL OF PITTSBURGH,ONE CHILDREN'S HOSPITAL DRIVE,PITTSBURGH,PA,15224,(412) 692-5325,Childrens,Voluntary non-profit - Other,2023-02-02,250402510_upmc-childrens_standardcharges.csv,https://dam.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250402510_upmc-childrens_standardcharges.csv,,https://www.chp.edu/for-parents/before-your-childs-visit/standard-charges,
