cms_certification_num,internal_revenue_code,description,code,price,inpatient_outpatient,payer
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,304.85,,AETNA
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,88.73,,ANTHEM BLUE PRIORITY
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,89.87,,ANTHEM BLUE PREFERRED
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,200.67,,ANTHEM PPO
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,180.90,,AURORA CAREGIVER
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,288.44,,CIGNA
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,231.15,,EXCHANGE COMMON GROUND
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,304.85,,HEALTH EOS
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,201.00,,HUMANA WVN
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,254.60,,HUMANA HMO
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,284.75,,HUMANA PPO
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,301.50,,TRILOGY
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,179.52,,UHC HMO
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,284.75,,UHC PPO
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,233.50,,WEA
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,156.50,,WPS ARISE
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,180.19,,WPS STATEWIDE
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,184.25,,CASH PRICE
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,88.73,,MIN
520113,10000019,BREAST ASPIRATE CYST EA ADDL,19001,304.85,,MAX
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,691.60,,AETNA
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,223.13,,ANTHEM BLUE PRIORITY
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,224.13,,ANTHEM BLUE PREFERRED
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,225.94,,ANTHEM PPO
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,410.40,,AURORA CAREGIVER
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,654.36,,CIGNA
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,524.40,,EXCHANGE COMMON GROUND
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,691.60,,HEALTH EOS
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,456.00,,HUMANA WVN
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,577.60,,HUMANA HMO
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,646.00,,HUMANA PPO
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,684.00,,TRILOGY
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,198.71,,UHC HMO
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,646.00,,UHC PPO
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,529.72,,WEA
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,253.32,,WPS ARISE
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,295.10,,WPS STATEWIDE
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,418.00,,CASH PRICE
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,198.71,,MIN
520113,10000033,ARTHROGRAM SHOULDER INJECT,23350,691.60,,MAX
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,691.60,,AETNA
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,270.89,,ANTHEM BLUE PRIORITY
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,289.81,,ANTHEM BLUE PREFERRED
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,453.93,,ANTHEM PPO
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,410.40,,AURORA CAREGIVER
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,654.36,,CIGNA
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,524.40,,EXCHANGE COMMON GROUND
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,691.60,,HEALTH EOS
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,456.00,,HUMANA WVN
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,577.60,,HUMANA HMO
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,646.00,,HUMANA PPO
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,684.00,,TRILOGY
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,447.90,,UHC HMO
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,646.00,,UHC PPO
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,529.72,,WEA
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,371.84,,WPS ARISE
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,426.51,,WPS STATEWIDE
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,418.00,,CASH PRICE
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,270.89,,MIN
520113,10000034,ARTHROGRAM ELBOW INJECT,24220,691.60,,MAX
520113,10000035,ARTHROGRAM WRIST INJECT,25246,691.60,,AETNA
520113,10000035,ARTHROGRAM WRIST INJECT,25246,222.63,,ANTHEM BLUE PRIORITY
