cms_certification_num,name,address,city,state,zip5,beds,phone_number,homepage_url,chargemaster_url,last_edited_by_username
370228,"BAILEY MEDICAL CENTER, LLC",10502 NORTH 110TH EAST AVENUE,OWASSO,OK,74055,83,9183768500,,,
450231,BAPTIST ST ANTHONY'S HOSPITAL,1600 WALLACE BLVD,AMARILLO,TX,79106,445,8062122000,,,
370039,HILLCREST HOSPITAL CLAREMORE,1202 N MUSKOGEE PLACE,CLAREMORE,OK,74017,49,9183412556,,,
370099,HILLCREST HOSPITAL CUSHING,1027 EAST CHERRY STREET,CUSHING,OK,74023,99,9182258152,,,
370183,HILLCREST HOSPITAL HENRYETTA,2401 W MAIN,HENRYETTA,OK,74437,41,9186501511,,,
370015,HILLCREST HOSPITAL PRYOR,111 NORTH BAILEY STREET,PRYOR,OK,74361,48,9188251600,,,
370202,HILLCREST HOSPITAL SOUTH,8801 SOUTH 101ST EAST AVENUE,TULSA,OK,74133,180,9182944000,,,
370001,HILLCREST MEDICAL CENTER,1120 SOUTH UTICA AVENUE,TULSA,OK,74104,620,9185791000,,,
320009,LOVELACE MEDICAL CENTER,601 DR MARTIN LUTHER KING JR AVE NE,ALBUQUERQUE,NM,87102,254,5057278000,,,
323028,LOVELACE UNM REHABILITATION HOSPITAL,505 ELM STREET NE,ALBUQUERQUE,NM,87102,62,5057274700,,,
320074,LOVELACE WESTSIDE HOSPITAL,10501 GOLF COURSE ROAD NW,ALBUQUERQUE,NM,87114,95,5057272001,,,
320017,LOVELACE WOMEN'S HOSPITAL,4701 MONTGOMERY BOULEVARD NE,ALBUQUERQUE,NM,87109,120,5057277805,,,
320086,LOVELACE REGIONAL HOSPITAL - ROSWELL,117 EAST 19TH STREET,ROSWELL,NM,88201,26,5756253345,,,
670080,SETON MEDICAL CENTER HARKER HEIGHTS,850 W CENTRAL TEXAS EXPRESSWAY,HARKER HEIGHTS,TX,76548,83,2549538342,,,
370216,TULSA SPINE & SPECIALTY HOSPITAL,6901 SOUTH OLYMPIA AVENUE,TULSA,OK,74132,38,9183885706,,,
170016,UNIVERSITY OF KANSAS HLTH SYSTEM ST FRANCIS CAMPUS,1700 SW 7TH STREET,TOPEKA,KS,66606,378,7852958000,,,
450389,UT HEALTH EAST TEXAS ATHENS HOSPITAL,2000 SOUTH PALESTINE ST,ATHENS,TX,75751,127,9036761000,,,
450210,UT HEALTH EAST TEXAS CARTHAGE HOSPITAL,409 COTTAGE RD,CARTHAGE,TX,75633,42,936933841,,,
450475,UT HEALTH EAST TEXAS HENDERSON HOSPITAL,300 WILSON STREET,HENDERSON,TX,75652,158,9036577541,,,
450194,UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,501 S RAGSDALE,JACKSONVILLE,TX,75766,74,9035415000,,,
450690,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER,11937 US HIGHWAY 271,TYLER,TX,75708,182,9038777777,,,
451367,UT HEALTH EAST TEXAS PITTSBURG HOSPITAL,2701 US HWY 271 N,PITTSBURG,TX,75686,25,9038564520,,,
451380,UT HEALTH EAST TEXAS QUITMAN HOSPITAL,117 WINNSBORO STREET,QUITMAN,TX,75783,25,9037634500,,,
453072,UT HEALTH EAST TEXAS REHABILITATION HOSPITAL,701 OLYMPIC PLAZA CIRCLE,TYLER,TX,75701,49,9035963000,,,
452051,UT HEALTH EAST TEXAS SPECIALTY HOSPITAL,1000 S BECKHAM FL 5,TYLER,TX,75701,36,9035356551,,,
450083,UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,1000 SOUTH BECKHAM AVE,TYLER,TX,75701,502,9035970351,,,
