id,name,alt_name,last_updated,ein,file_name,mrf_url,system_name,addr,city,state,zip,phone,urban_rural,category,control_type,medicare_termination_status,permalink,transparency_page,additional_notes
161381,SANFORD SHELDON MEDICAL CENTER,Sanford Sheldon Medical Center,2023-04-25,46-0388596,460388596_sanford-sheldon-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8369/460388596_HPI-CDM_standardcharges.json,Sanford Health,118 NORTH 7TH AVENUE,SHELDON,IA,51201,7123245041,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
240022,SANFORD WORTHINGTON MEDICAL CENTER,Sanford Worthington Medical Center,2023-04-25,46-0388596,460388596_sanford-worthington-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8370/460388596_HPI-CDM_standardcharges.json,Sanford Health,1018 SIXTH AVENUE PO BOX 997,WORTHINGTON,MN,56187,5073723110,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
241303,SANFORD TRACY MEDICAL CENTER,Sanford Tracy Medical Center, 2023-04-25,46-0388596,460388596_sanford-tracy-hospital_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8378/460388596_HPI-CDM_standardcharges.json,Sanford Health,251 FIFTH STREET EAST,TRACY,MN,56175,5076298400,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
241347,SANFORD CANBY MEDICAL CENTER,Sanford Canby Medical Center, 2023-04-25,46-0388596,460388596_sanford-canby-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8375/460388596_HPI-CDM_standardcharges.json,Sanford Health,112 ST OLAF AVENUE SOUTH,CANBY,MN,56220,5072237277,R,Critical Access Hospitals,GOVERNMENT - COUNTY,ACTIVE PROVIDER,,,
241381,SANFORD MEDICAL CENTER THIEF RIVER FALLS,Sanford Thief River Falls Medical Center,2023-04-25,45-0409348,450409348_sanford-thief-river-falls-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8386/450409348_HPI-CDM_standardcharges.json,Sanford Health,3001 SANFORD PARKWAY,THIEF RIVER FALLS,MN,56701,2186814240,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
351309,SANFORD MEDICAL CENTER MAYVILLE,Sanford Mayville Medical Center,2023-04-25,45-0409348,450409348_sanford-medical-center-mayville_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8381/450409348_HPI-CDM_standardcharges.json,Sanford Health,42 6TH AVENUE SE,MAYVILLE,ND,58257,7017883800,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
430097,SANFORD ABERDEEN MEDICAL CENTER,Sanford Aberdeen Medical Center,2023-04-25,46-0388596,460388596_sanford-aberdeen-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8384/460388596_HPI-CDM_standardcharges.json,Sanford Health,2905 3RD AVE SE,ABERDEEN,SD,57402,6056264200,R,Short Term,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
431333,SANFORD CANTON-INWOOD MEDICAL CENTER - CAH,Sanford Canton-Inwood Medical Center,2023-04-25,46-0388596,460388596_sanford-canton-inwood-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8376/460388596_HPI-CDM_standardcharges.json,Sanford Health,440 NORTH HIAWATHA DRIVE,CANTON,SD,57013,6057641500,U,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
431336,SANFORD VERMILLION HOSPITAL,Sanford Vermillion Medical Center,2023-04-25,46-0388596,460388596_sanford-vermillion-hospital_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8371/460388596_HPI-CDM_standardcharges.json,Sanford Health,20 SOUTH PLUM STREET,VERMILLION,SD,57069,6056773500,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
244018,SANFORD BEHAVIORAL HEALTH CENTER,Sanford Thief River Falls Behavioral Health Hospital,2023-04-25,45-0409348,450409348_sanford-thief-river-falls-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8386/450409348_HPI-CDM_standardcharges.json,,120 LABREE AVENUE SOUTH,THIEF RIVER FALLS,MN,56701,2186814240,R,Psychiatric,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
240128,SANFORD HOSPITAL LUVERNE,,2023-04-25,46-0388596,460388596_sanford-luverne-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8367/460388596_HPI-CDM_standardcharges.json,,1600 NORTH KNISS AVENUE,LUVERNE,MN,56156,5072832321,R,Short Term,FOR PROFIT - PARTNERSHIP,"VOLUNTARY-MERGER, CLOSURE",,,
241302,SANFORD WESTBROOK HOSPITAL,Sanford Westbrook Medical Center,2023-04-25,46-0388596,460388596_sanford-westbrook-hospital_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8377/460388596_HPI-CDM_standardcharges.json,,920 BELL AVENUE PO BOX 188,WESTBROOK,MN,56183,5072741119,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
241304,SANFORD MEDICAL CENTER WHEATON,Sanford Wheaton Medical Center,2023-04-25,45-0409348,450409348_sanford-wheaton_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8380/450409348_HPI-CDM_standardcharges.json,,401 12TH STREET NORTH,WHEATON,MN,56296,3205638226,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
241315,SANFORD JACKSON MEDICAL CENTER,Sanford Jackson Medical Center,2023-04-25,46-0388596,460388596_sanford-jackson-hospital_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8379/460388596_HPI-CDM_standardcharges.json,,1430 NORTH HIGHWAY,JACKSON,MN,56143,5078472420,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
241328,SANFORD BAGLEY MEDICAL CENTER,Sanford Bagley Medical Center,2023-04-25,41-1266009,411266009_sanford-bagley-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8387/411266009_HPI-CDM_standardcharges.json,,203 4TH STREET NORTHWEST,BAGLEY,MN,56621,2186946501,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
351329,SANFORD MEDICAL CENTER HILLSBORO,Sanford Hillsboro Medical Center,2023-04-25,45-0409348,450409348_sanford-medical-center-hillsboro_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8382/450409348_HPI-CDM_standardcharges.json,,12 THIRD STREET SE,HILLSBORO,ND,58045,7016363200,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
431307,SANFORD CLEAR LAKE MEDICAL CENTER,,2023-04-25,46-0388596,460388596_sanford-clear-lake-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8373/460388596_HPI-CDM_standardcharges.json,,701 THIRD AVENUE SOUTH,CLEAR LAKE,SD,57226,6058742141,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
431311,SANFORD HOSPITAL WEBSTER - CAH,Sanford Webster Medical Center,2023-04-25,46-0388596,460388596_sanford-hospital-webster_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8372/460388596_HPI-CDM_standardcharges.json,,1401 W FIRST ST POST OFFICE BOX 489,WEBSTER,SD,57274,6053453336,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
431329,SANFORD CHAMBERLAIN MEDICAL CENTER,Sanford Chamberlain Medical Center,2023-04-25,46-0388596,460388596_sanford-chamberlain-medical-center_standardcharges.json,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8374/460388596_HPI-CDM_standardcharges.json,,300 S BYRON,CHAMBERLAIN,SD,57325,6052345511,R,Critical Access Hospitals,FOR PROFIT - PARTNERSHIP,ACTIVE PROVIDER,,,
