property_id,property_type,sale_date,sale_price,num_units,city,physical_address,county,state,source_url
965284002,RESIDENTIAL SF W/AG,2001-09-28 00:00:00,605000,1,YAMPA,13655 COUNTY ROAD 7A,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
933284001,RESIDENTIAL SINGLE FAMILY,1998-07-22 00:00:00,630000,1,STEAMBOAT SPRINGS,33650 COUNTY ROAD 38,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
933283007,RESIDENTIAL SINGLE FAMILY,1991-09-01 00:00:00,140000,1,STEAMBOAT SPRINGS,41895 COUNTY ROAD 38A,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
933283005,RESIDENTIAL SINGLE FAMILY,1993-01-01 00:00:00,130000,1,STEAMBOAT SPRINGS,42315 SODA CREEK LN,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
100306022,RESIDENTIAL SINGLE FAMILY,2011-01-21 00:00:00,680000,1,STEAMBOAT SPRINGS,328 9TH ST,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
204300007,RESIDENTIAL SINGLE FAMILY,2001-05-02 00:00:00,260400,1,STEAMBOAT SPRINGS,3239 WILLOWBROOK CT,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
269700006,RESIDENTIAL SINGLE FAMILY,2020-08-14 00:00:00,2455000,1,STEAMBOAT SPRINGS,1379 EAGLE GLEN DR,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
241000005,RESIDENTIAL SINGLE FAMILY,2021-09-08 00:00:00,3349000,1,STEAMBOAT SPRINGS,1391 EAGLE GLEN DR,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
241000004,RESIDENTIAL SINGLE FAMILY,2015-09-04 00:00:00,1800000,1,STEAMBOAT SPRINGS,1403 EAGLE GLEN DR,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
241000003,RESIDENTIAL SINGLE FAMILY,2013-03-08 00:00:00,1750000,1,STEAMBOAT SPRINGS,1427 EAGLE GLEN DR,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
241000002,RESIDENTIAL SINGLE FAMILY,2013-04-30 00:00:00,1750000,1,STEAMBOAT SPRINGS,1439 EAGLE GLEN DR,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
250200001,RESIDENTIAL SINGLE FAMILY,2011-10-27 00:00:00,1850000,1,STEAMBOAT SPRINGS,1451 EAGLE GLEN DR,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
270300006,VACANT LAND,2020-09-16 00:00:00,400000,,STEAMBOAT SPRINGS,2751 BRONC BUSTER LOOP,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
270300005,RESIDENTIAL SINGLE FAMILY,2019-02-06 00:00:00,345000,1,STEAMBOAT SPRINGS,2759 BRONC BUSTER LOOP,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
270300003,RESIDENTIAL SINGLE FAMILY,2019-12-27 00:00:00,1700000,1,STEAMBOAT SPRINGS,2775 BRONC BUSTER LOOP,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
270300002,RESIDENTIAL SINGLE FAMILY,2018-07-26 00:00:00,336000,1,STEAMBOAT SPRINGS,2783 BRONC BUSTER LOOP,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
957054001,RESIDENTIAL SF W/AG,2013-06-26 00:00:00,9000000,4,HAMILTON,23115 COUNTY ROAD 55,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
270300007,RESIDENTIAL SINGLE FAMILY,2020-06-23 00:00:00,393000,1,STEAMBOAT SPRINGS,2743 BRONC BUSTER LOOP,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
938012001,AGRICULTURAL LAND,2021-04-15 00:00:00,7400000,,STEAMBOAT SPRINGS,23700 WAY OUT WEST TRL,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
965064001,MOBILE HOME LAND (NON-PARK),1999-04-06 00:00:00,310000,,YAMPA,25375 COUNTY ROAD 17,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
965091001,RESIDENTIAL SF W/AG,2006-05-15 00:00:00,1225000,2,YAMPA,27195 COUNTY ROAD 17,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
965151004,RESIDENTIAL SF W/AG,1998-05-19 00:00:00,188000,1,YAMPA,28055 COUNTY ROAD 6D,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
965144002,RESIDENTIAL SF W/AG,2021-08-16 00:00:00,740000,1,YAMPA,28685 COUNTY ROAD 6D,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
965231002,RESIDENTIAL SF W/AG,2021-06-30 00:00:00,855000,1,YAMPA,28500 COUNTY ROAD 6L,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
965224001,RESIDENTIAL SF W/AG,2007-12-28 00:00:00,550000,1,YAMPA,28135 COUNTY ROAD 6C,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
965282001,RESIDENTIAL SF W/AG,2021-11-12 00:00:00,447500,1,YAMPA,13820 COUNTY ROAD 7,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
965282003,RESIDENTIAL SF W/AG,2007-09-12 00:00:00,85000,1,YAMPA,13818 COUNTY ROAD 7,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
965291001,RESIDENTIAL SF W/AG,2004-02-25 00:00:00,280000,1,YAMPA,13405 COUNTY ROAD 7,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
965263003,RESIDENTIAL SF W/AG,2002-05-23 00:00:00,900000,1,YAMPA,28255 COUNTY ROAD 7C,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
965294001,RESIDENTIAL SINGLE FAMILY,2013-08-13 00:00:00,112000,1,YAMPA,13285 COUNTY ROAD 7,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
966121001,RESIDENTIAL SF W/AG,2021-04-07 00:00:00,5857000,2,YAMPA,23445 COUNTY ROAD 13,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
966011001,RESIDENTIAL SF W/AG,2018-06-20 00:00:00,179000,1,YAMPA,24080 COUNTY ROAD 13,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
965062001,RESIDENTIAL SF W/AG,2019-02-25 00:00:00,349000,1,YAMPA,23955 COUNTY ROAD 15,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
965154001,RESIDENTIAL SINGLE FAMILY,2010-09-24 00:00:00,510000,1,YAMPA,28175 COUNTY ROAD 6D,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
157704006,RESIDENTIAL SINGLE FAMILY,1993-08-01 00:00:00,10500,1,YAMPA,561 TERHUNE AVE,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
157704007,RESIDENTIAL SINGLE FAMILY,1990-11-01 00:00:00,12000,1,YAMPA,240 COUNTY ROAD 17,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
157704009,RESIDENTIAL SINGLE FAMILY,2015-11-18 00:00:00,100000,1,YAMPA,220 COUNTY ROAD 17,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
157704010,RESIDENTIAL SINGLE FAMILY,2017-01-10 00:00:00,202000,1,YAMPA,580 ROSELAWN AVE,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
100403016,RESIDENTIAL SINGLE FAMILY,2018-05-01 00:00:00,225000,1,YAMPA,60 COUNTY ROAD 17,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
100403014,RESIDENTIAL LAND,2005-05-27 00:00:00,20000,,YAMPA,704 CLIFTON AVE,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
154703019,MOBILE HOME LAND (NON-PARK),2014-09-29 00:00:00,65000,1,YAMPA,567 ROSELAWN AVE,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
100403012,RESIDENTIAL SINGLE FAMILY,1999-05-21 00:00:00,58000,1,YAMPA,766 MAIN ST,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
157704005,RESIDENTIAL SINGLE FAMILY,2016-11-10 00:00:00,179000,1,YAMPA,541 TERHUNE AVE,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
157704004,RESIDENTIAL SINGLE FAMILY,2017-08-15 00:00:00,90000,1,YAMPA,261 FIFTH STREET CT,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
157704003,RESIDENTIAL SINGLE FAMILY,2001-11-10 00:00:00,125000,1,YAMPA,241 FIFTH STREET CT,ROUTT,CO,https://data-routtgis.opendata.arcgis.com/datasets/parcels/
