name,ccn,homepage_url,state_code,street,city,state,zip,beds,telephone
LDS HOSPITAL,460006,https://intermountainhealthcare.org/locations/lds-hospital/,UT,Eighth Avenue and C Street,Salt Lake City,UT,84143     ,256,(801) 408-1100
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF EAST V,033037,https://www.encompasshealth.com/eastvalleyrehab,AZ,5652 East Baseline Road,Mesa,AZ,85206     ,70,(480) 567-0350
WIREGRASS MEDICAL CENTER,010062,https://www.wiregrassmedicalcenter.org/,AL,1200 West Maple Avenue,Geneva,AL,36340     ,145,(334) 684-3655
"BEAUMONT HOSPITAL, GROSSE POINTE",230089,https://www.beaumont.org/locations/beaumont-hospital-grosse-pointe,MI,468 Cadieux Road,Grosse Pointe,MI,48230     ,276,(313) 473-1000
AVERA GRANITE FALLS,241343,https://www.avera.org/locations/avera-granite-falls-health-center/,MN,345 Tenth Avenue,Granite Falls,MN,56241     ,73,(320) 564-3111
SHREVEPORT REHABILITATION HOSPITAL LLC,713029,https://www.shreveport-rehabhospital.com,LA,1451 Fern Circle,Shreveport,LA,71105,0,(318) 232-8880
SELECT SPECIALTY HOSPITAL - ORLANDO,102003,https://www.selectspecialtyhospitals.com/locations-and-tours/fl/orlando/orlando-north/,FL,2250 Bedford Road,Orlando,FL,32803     ,99,(407) 303-7869
EVANSTON REGIONAL HOSPITAL,530032,https://www.evanstonregionalhospital.com/,WY,190 Arrowhead Drive,Evanston,WY,82930     ,32,(307) 789-3636
PENN STATE HEALTH HAMPDEN MEDICAL CENTER,390336,https://www.pennstatehealth.org/locations/penn-state-health-hampden-medical-center,PA,2200 Good Hope Road,Enola,PA,17025,0,(717) 981-9000
CURAHEALTH OKLAHOMA CITY,372004,https://pamhealth.com/facilities/find-facility/specialty-hospitals/pam-health-specialty-hospital-oklahoma-city,OK,1407 North Robinson Avenue,Oklahoma City,OK,73103     ,78,(405) 232-8000
MERCY HOSPITAL SPRINGFIELD,260065,https://www.mercy.net/practice/mercy-hospital-springfield,MO,1235 East Cherokee Street,Springfield,MO,65804     ,672,(417) 820-2000
BERGER HOSPITAL,360170,https://www.ohiohealth.com/locations/hospitals/berger-hospital,OH,600 North Pickaway Street,Circleville,OH,43113     ,83,(740) 474-2126
TUBA CITY REGIONAL HEALTH CARE CORPORATION,030073,https://www.tchealth.org/home2.html,AZ,167 North Main Street,Tuba City,AZ,86045     ,73,(866) 976-5941
OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL,180004,https://www.owensborohealth.org/locations/profile/owensboro-health-muhlenberg-community-hospital,KY,440 Hopkinsville Street,Greenville,KY,42345     ,90,(270) 338-8000
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,340002,https://missionhealth.org/member-hospitals/mission/?doing_wp_cron=1650474450.4007570743560791015625,NC,509 Biltmore Avenue,Asheville,NC,28801     ,815,(828) 213-1111
"ST CHARLES SURGICAL HOSPITAL, LLC",190300,https://www.scsh.com/,LA,1717 Saint Charles Avenue,New Orleans,LA,70130,39,(504) 529-6600
SAINT FRANCIS MEDICAL CENTER,050104,https://www.stfrancismedicalcenter.com/,CA,3630 East Imperial Highway,Lynwood,CA,90262     ,384,(310) 900-8900
NORTH VALLEY HOSPITAL,501321,https://www.nvhospital.org,WA,203 South Western Avenue,Tonasket,WA,98855     ,18,(509) 486-2151
FOREST HEALTH MEDICAL CENTER,230144,https://www.fhmc-mi.com,MI,135 South Prospect Street,Ypsilanti,MI,48198     ,24,(734) 547-4700
DODGE COUNTY HOSPITAL,110092,https://www.dodgecountyhospital.com/#&panel1-4,GA,901 Griffin Avenue,Eastman,GA,31023     ,51,(478) 448-4000
ST FRANCIS-DOWNTOWN,420023,https://www.bonsecours.com/locations/hospitals-medical-centers/greenville/st-francis-downtown,SC,One Saint Francis Drive,Greenville,SC,29601     ,345,(864) 255-1000
LOURDES HOSPITAL,180102,https://www.mercy.com/locations/hospitals/paducah/lourdes-hospital,KY,1530 Lone Oak Road,Paducah,KY,42003     ,306,(270) 444-2444
KINGS COUNTY HOSPITAL CENTER,330202,https://www.nychealthandhospitals.org/KingsCounty/,NY,451 Clarkson Avenue,Brooklyn,NY,11203     ,634,(718) 245-3131
BAPTIST HOSPITAL OF MIAMI,100008,https://baptisthealth.net/locations/hospitals/baptist-hospital-of-miami,FL,8900 North Kendall Drive,Miami,FL,33176     ,838,(786) 596-1960
PORT ST LUCIE HOSPITAL,104070,https://portstluciehospitalinc.com,FL,2550 Southeast Walton Road,Port Saint Lucie,FL,34952     ,75,(772) 335-0400
GOLDEN PLAINS COMMUNITY HOSPITAL,451369,https://goldenplains.org/,TX,100 Medical Drive,Borger,TX,79007     ,25,(806) 467-5734
"JOHNS HOPKINS HOSPITAL, THE",210009,https://www.hopkinsmedicine.org/the_johns_hopkins_hospital/index.html,MD,1800 Orleans Street,Baltimore,MD,21287     ,"1,019",(410) 955-5000
CONTINUECARE HOSPITAL AT HENDRICK MEDICAL CENTER,452029,https://hendrick.continuecare.org/,TX,1900 Pine Street 7th Floor,Abilene,TX,79601     ,23,(325) 670-6251
PHELPS HOSPITAL,330261,https://phelps.northwell.edu/,NY,701 North Broadway,Sleepy Hollow,NY,10591     ,200,(914) 366-3000
ERLANGER MURPHY MEDICAL CENTER,341328,https://www.erlanger.org/erlanger-western-carolina-hospital/about,NC,3990 East US Highway 64,Murphy,NC,28906   ,25,(828) 837-8161
MISSISSIPPI BAPTIST MEDICAL CENTER,250102,https://www.baptistonline.org/locations/jackson,MS,1225 North State Street,Jackson,MS,39202     ,428,(601) 968-1000
BAYLOR SCOTT & WHITE MEDICAL CENTER – BUDA,670131,https://www.bswhealth.com/locations/buda,TX,5330 Overpass Road,Buda,TX,78610,15,(737) 999-6200
SAINT THOMAS RIVER PARK HOSPITAL,440151,https://healthcare.ascension.org/locations/tennessee/tnnas/mcminnville-ascension-saint-thomas-river-park,TN,1559 Sparta Road,McMinnville,TN,37110     ,73,(931) 815-4000
COASTAL HARBOR TREATMENT CENTER,114008,https://coastalharbor.com/,GA,1150 Cornell Avenue,Savannah,GA,31406     ,175,(912) 354-3911
"SELECT SPECIALTY HOSPITAL-NORTHEAST OHIO, INC",362016,https://www.selectspecialtyhospitals.com/locations-and-tours/oh/canton/canton/,OH,"1320 Mercy Drive, 6th Floor",Canton,OH,44708,30,(330) 489-8198
PRISMA HEALTH RICHLAND HOSPITAL,420018,https://www.prismahealth.org/locations/hospitals/richland-hospital,SC,5 Richland Medical Park Drive,Columbia,SC,29203     ,633,(803) 434-7000
"BAILEY MEDICAL CENTER, LLC",370228,https://www.baileymedicalcenter.com,OK,10502 North 110th East Avenue,Owasso,OK,74055     ,73,(918) 376-8000
SAN LUIS VALLEY HEALTH,060008,https://sanluisvalleyhealth.org/locations/regional-medical-center,CO,106 Blanca Avenue,Alamosa,CO,81101     ,49,(719) 589-2511
WELLSPAN SURGERY AND REHABILITATION HOSPITAL,390327,https://www.wellspan.org/offices-locations/wellspan-surgery-rehabilitation-hospital/,PA,55 Monument Road,York,PA,17403     ,73,(717) 812-6100
