name,ccn,homepage_url,state_code
LASALLE GENERAL HOSPITAL,190145,https://www.lasallegeneralhospital.com/,LA
CHILDREN'S MERCY HOSPITAL KANSAS,173300,https://www.childrensmercy.org/locations/childrens-mercy-hospital-kansas/,KS
COMMUNITY HOSPITAL EAST,150074,https://www.ecommunity.com/locations/community-hospital-east,IN
LANSDALE HOSPITAL,390012,https://www.jeffersonhealth.org/locations/jefferson-lansdale-hospital,PA
ALASKA NATIVE MEDICAL CENTER,020026,https://www.anmc.org,AK
SOUTH BIG HORN COUNTY CRITICAL ACCESS HOSPITAL,531301,https://www.trhealth.com/,WY
INTEGRIS MIAMI HOSPITAL,370004,https://integrisok.com/locations/hospital/integris-miami-hospital,OK
RUSSELL REGIONAL HOSPITAL,171350,https://www.russellhospital.org,KS
HILL COUNTRY MEMORIAL HOSPITAL,450604,https://www.hillcountrymemorial.org/,TX
PORTER-STARKE SERVICES INC,154052,https://www.porterstarke.org/contact/valparaiso,IN
YAKIMA VALLEY MEMORIAL,500036,https://www.yakimamemorial.org,WA
CONCHO COUNTY HOSPITAL,451325,https://www.conchocounty.hospital/,TX
BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL FORTWORTH,450880,https://www.bshfw.com/,TX
"VA PITTSURGH HEALTHCARE SYST, UNIVERSITY DRIVE DIV",39012F,https://www.va.gov/pittsburgh-health-care/locations/pittsburgh-va-medical-center-university-drive/,PA
ENCOMPASS HEALTH REHABILITATION HOSPITAL GREENVILL,423035,https://encompasshealth.com/greenvillerehab,SC
PERRY COUNTY GENERAL HOSPITAL,251306,https://www.forresthealth.org/our-locations/perry-county-general-hospital/,MS
REHABILITATION HOSPITAL OF JENNINGS,193067,https://rehabhospitalofjennings.com/,LA
SARAH D CULBERTSON MEMORIAL HOSPITAL,141333,https://www.cmhospital.com/,IL
NESS COUNTY HOSPITAL DISTRICT #2,171336,https://www.nchospital.org/,KS
UMASS MEMORIAL HEALH - HARRINGTON HOSPITAL,220019,https://www.harringtonhospital.org/,MA
