book,page,sale_date,sale_price,physical_address,property_id,county,state,source_url
290,67,1988-01-01 00:00:00,0,79 MILLER RIDGE LN,0019709,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
218,458,1980-01-01 00:00:00,0,87 MILLER RIDGE LN,0005269,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
218,462,1980-01-01 00:00:00,0,5586 ICARD RIDGE RD,0003875,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
290,69,1988-01-01 00:00:00,0,69 MILLER RIDGE LN,0019708,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
596,938,2017-01-18 00:00:00,0,5754 ICARD RIDGE RD,0004724,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
631,1787,2020-10-17 00:00:00,465000,5738 ICARD RIDGE RD,0022262,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
,,2012-09-13 00:00:00,0,11 MILLER RIDGE LN,0004865,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
624,1052,2020-02-27 00:00:00,328000,43 MILLER RIDGE LN,0003370,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
310,616,1990-01-01 00:00:00,0,ICARD RIDGE RD,0023051,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
310,614,1990-01-01 00:00:00,0,ICARD RIDGE RD,0023052,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
589,300,2016-03-24 00:00:00,752000,5757 ICARD RIDGE RD,0003958,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
600,439,2017-06-21 00:00:00,0,5681 ICARD RIDGE RD,0003591,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
643,1425,2021-08-26 00:00:00,250000,120 SIGMON DRUM RD,0004729,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
610,1920,2018-08-29 00:00:00,0,104 SIGMON DRUM RD,0003819,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
610,1923,2018-08-29 00:00:00,0,SIGMON DRUM RD,0067690,ALEXANDER,NC,https://maps.alexandercountync.gov/arcgis1/rest/services/Parcels/MapServer/0
