cms_certification_num,payer,code,internal_revenue_code,description,price,inpatient_outpatient,code_disambiguator,units
171309,MIN,20610,983,LG INJ MAJOR JOINT/BURSA W/O US,0.00,OUTPATIENT,45020610,
171309,MAX,20610,983,LG INJ MAJOR JOINT/BURSA W/O US,413.00,OUTPATIENT,45020610,
171309,Medicare,20610,983,LG INJ MAJOR JOINT/BURSA W/O US,0.00,OUTPATIENT,45020610,
171309,Blue Cross,20610,983,LG INJ MAJOR JOINT/BURSA W/O US,413.00,OUTPATIENT,45020610,
171309,United Healthcare,20610,983,LG INJ MAJOR JOINT/BURSA W/O US,0.00,OUTPATIENT,45020610,
171309,Corizon,20610,983,LG INJ MAJOR JOINT/BURSA W/O US,0.00,OUTPATIENT,45020610,
171309,WPPA,20610,983,LG INJ MAJOR JOINT/BURSA W/O US,69.62,OUTPATIENT,45020610,
171309,GROSS CHARGE,20610,983,LG INJ MAJOR JOINT/BURSA W/O US,0.00,OUTPATIENT,45020610,
171309,MIN,NONE,270,SUTURE J417H VICRYL 2-0,0.00,OUTPATIENT,3257391,
171309,MAX,NONE,270,SUTURE J417H VICRYL 2-0,4.75,OUTPATIENT,3257391,
171309,Medicare,NONE,270,SUTURE J417H VICRYL 2-0,2.70,OUTPATIENT,3257391,
171309,Blue Cross,NONE,270,SUTURE J417H VICRYL 2-0,0.00,OUTPATIENT,3257391,
171309,United Healthcare,NONE,270,SUTURE J417H VICRYL 2-0,4.75,OUTPATIENT,3257391,
171309,Corizon,NONE,270,SUTURE J417H VICRYL 2-0,2.55,OUTPATIENT,3257391,
171309,WPPA,NONE,270,SUTURE J417H VICRYL 2-0,3.50,OUTPATIENT,3257391,
171309,GROSS CHARGE,NONE,270,SUTURE J417H VICRYL 2-0,5.00,OUTPATIENT,3257391,
171309,MIN,43450,982,"PF ESOPHAGEAL DILATION, UNGUIDED",121.31,OUTPATIENT,343450,
171309,MAX,43450,982,"PF ESOPHAGEAL DILATION, UNGUIDED",812.00,OUTPATIENT,343450,
171309,Medicare,43450,982,"PF ESOPHAGEAL DILATION, UNGUIDED",199.80,OUTPATIENT,343450,
171309,Blue Cross,43450,982,"PF ESOPHAGEAL DILATION, UNGUIDED",812.00,OUTPATIENT,343450,
171309,United Healthcare,43450,982,"PF ESOPHAGEAL DILATION, UNGUIDED",351.50,OUTPATIENT,343450,
171309,Corizon,43450,982,"PF ESOPHAGEAL DILATION, UNGUIDED",188.70,OUTPATIENT,343450,
171309,WPPA,43450,982,"PF ESOPHAGEAL DILATION, UNGUIDED",121.31,OUTPATIENT,343450,
171309,GROSS CHARGE,43450,982,"PF ESOPHAGEAL DILATION, UNGUIDED",370.00,OUTPATIENT,343450,
171309,MIN,12021,521,CLOSURE WOUND DEHISCENCE W/PACKING,193.29,OUTPATIENT,12021,
171309,MAX,12021,521,CLOSURE WOUND DEHISCENCE W/PACKING,518.76,OUTPATIENT,12021,
171309,Medicare,12021,521,CLOSURE WOUND DEHISCENCE W/PACKING,204.66,OUTPATIENT,12021,
171309,Blue Cross,12021,521,CLOSURE WOUND DEHISCENCE W/PACKING,214.00,OUTPATIENT,12021,
171309,United Healthcare,12021,521,CLOSURE WOUND DEHISCENCE W/PACKING,360.05,OUTPATIENT,12021,
171309,Corizon,12021,521,CLOSURE WOUND DEHISCENCE W/PACKING,193.29,OUTPATIENT,12021,
171309,WPPA,12021,521,CLOSURE WOUND DEHISCENCE W/PACKING,518.76,OUTPATIENT,12021,
171309,GROSS CHARGE,12021,521,CLOSURE WOUND DEHISCENCE W/PACKING,379.00,OUTPATIENT,12021,
171309,MIN,87081,300,RL BORDETELLA PERTUSSIS-PCR,0.00,OUTPATIENT,3556812,
171309,MAX,87081,300,RL BORDETELLA PERTUSSIS-PCR,0.00,OUTPATIENT,3556812,
171309,Medicare,87081,300,RL BORDETELLA PERTUSSIS-PCR,0.00,OUTPATIENT,3556812,
171309,Blue Cross,87081,300,RL BORDETELLA PERTUSSIS-PCR,0.00,OUTPATIENT,3556812,
171309,United Healthcare,87081,300,RL BORDETELLA PERTUSSIS-PCR,0.00,OUTPATIENT,3556812,
171309,Corizon,87081,300,RL BORDETELLA PERTUSSIS-PCR,0.00,OUTPATIENT,3556812,
171309,WPPA,87081,300,RL BORDETELLA PERTUSSIS-PCR,0.00,OUTPATIENT,3556812,
171309,GROSS CHARGE,87081,300,RL BORDETELLA PERTUSSIS-PCR,0.00,OUTPATIENT,3556812,
171309,MIN,NONE,270,ENDOZIME SPONGE,0.00,OUTPATIENT,3251075,
171309,MAX,NONE,270,ENDOZIME SPONGE,5.70,OUTPATIENT,3251075,
171309,Medicare,NONE,270,ENDOZIME SPONGE,3.24,OUTPATIENT,3251075,
171309,Blue Cross,NONE,270,ENDOZIME SPONGE,0.00,OUTPATIENT,3251075,
171309,United Healthcare,NONE,270,ENDOZIME SPONGE,5.70,OUTPATIENT,3251075,
171309,Corizon,NONE,270,ENDOZIME SPONGE,3.06,OUTPATIENT,3251075,
171309,WPPA,NONE,270,ENDOZIME SPONGE,4.20,OUTPATIENT,3251075,
171309,GROSS CHARGE,NONE,270,ENDOZIME SPONGE,6.00,OUTPATIENT,3251075,
171309,MIN,NONE,270,"""BANDAGE 3"""" STERILE""",0.00,OUTPATIENT,3254989,
171309,MAX,NONE,270,"""BANDAGE 3"""" STERILE""",2.85,OUTPATIENT,3254989,
171309,Medicare,NONE,270,"""BANDAGE 3"""" STERILE""",1.62,OUTPATIENT,3254989,
171309,Blue Cross,NONE,270,"""BANDAGE 3"""" STERILE""",0.00,OUTPATIENT,3254989,
171309,United Healthcare,NONE,270,"""BANDAGE 3"""" STERILE""",2.85,OUTPATIENT,3254989,
171309,Corizon,NONE,270,"""BANDAGE 3"""" STERILE""",1.53,OUTPATIENT,3254989,
171309,WPPA,NONE,270,"""BANDAGE 3"""" STERILE""",2.10,OUTPATIENT,3254989,
171309,GROSS CHARGE,NONE,270,"""BANDAGE 3"""" STERILE""",3.00,OUTPATIENT,3254989,
171309,MIN,11308,521,SHAVING EPIDERMAL LESION HANDS > 2.0CM,186.15,OUTPATIENT,11308,
171309,MAX,11308,521,SHAVING EPIDERMAL LESION HANDS > 2.0CM,518.76,OUTPATIENT,11308,
171309,Medicare,11308,521,SHAVING EPIDERMAL LESION HANDS > 2.0CM,197.10,OUTPATIENT,11308,
171309,Blue Cross,11308,521,SHAVING EPIDERMAL LESION HANDS > 2.0CM,368.00,OUTPATIENT,11308,
171309,United Healthcare,11308,521,SHAVING EPIDERMAL LESION HANDS > 2.0CM,346.75,OUTPATIENT,11308,
171309,Corizon,11308,521,SHAVING EPIDERMAL LESION HANDS > 2.0CM,186.15,OUTPATIENT,11308,
171309,WPPA,11308,521,SHAVING EPIDERMAL LESION HANDS > 2.0CM,518.76,OUTPATIENT,11308,
171309,GROSS CHARGE,11308,521,SHAVING EPIDERMAL LESION HANDS > 2.0CM,365.00,OUTPATIENT,11308,
171309,MIN,NONE,270,FLEXIGEL DRESSING 2X2,0.00,OUTPATIENT,3250021,
171309,MAX,NONE,270,FLEXIGEL DRESSING 2X2,7.60,OUTPATIENT,3250021,
171309,Medicare,NONE,270,FLEXIGEL DRESSING 2X2,4.32,OUTPATIENT,3250021,
171309,Blue Cross,NONE,270,FLEXIGEL DRESSING 2X2,0.00,OUTPATIENT,3250021,
171309,United Healthcare,NONE,270,FLEXIGEL DRESSING 2X2,7.60,OUTPATIENT,3250021,
171309,Corizon,NONE,270,FLEXIGEL DRESSING 2X2,4.08,OUTPATIENT,3250021,
171309,WPPA,NONE,270,FLEXIGEL DRESSING 2X2,5.60,OUTPATIENT,3250021,
171309,GROSS CHARGE,NONE,270,FLEXIGEL DRESSING 2X2,8.00,OUTPATIENT,3250021,
171309,MIN,NONE,250,PO HYDROXYZINE PAOMATE CAP 25 MG,0.00,OUTPATIENT,4800784,
171309,MAX,NONE,250,PO HYDROXYZINE PAOMATE CAP 25 MG,0.00,OUTPATIENT,4800784,
171309,Medicare,NONE,250,PO HYDROXYZINE PAOMATE CAP 25 MG,0.00,OUTPATIENT,4800784,
171309,Blue Cross,NONE,250,PO HYDROXYZINE PAOMATE CAP 25 MG,0.00,OUTPATIENT,4800784,
171309,United Healthcare,NONE,250,PO HYDROXYZINE PAOMATE CAP 25 MG,0.00,OUTPATIENT,4800784,
171309,Corizon,NONE,250,PO HYDROXYZINE PAOMATE CAP 25 MG,0.00,OUTPATIENT,4800784,
171309,WPPA,NONE,250,PO HYDROXYZINE PAOMATE CAP 25 MG,0.00,OUTPATIENT,4800784,
171309,GROSS CHARGE,NONE,250,PO HYDROXYZINE PAOMATE CAP 25 MG,0.00,OUTPATIENT,4800784,
171309,MIN,88291,300,RL CYTO/MOLECULAR REPORT,0.00,OUTPATIENT,3551915,
171309,MAX,88291,300,RL CYTO/MOLECULAR REPORT,131.10,OUTPATIENT,3551915,
171309,Medicare,88291,300,RL CYTO/MOLECULAR REPORT,74.52,OUTPATIENT,3551915,
171309,Blue Cross,88291,300,RL CYTO/MOLECULAR REPORT,0.00,OUTPATIENT,3551915,
171309,United Healthcare,88291,300,RL CYTO/MOLECULAR REPORT,131.10,OUTPATIENT,3551915,
171309,Corizon,88291,300,RL CYTO/MOLECULAR REPORT,70.38,OUTPATIENT,3551915,
171309,WPPA,88291,300,RL CYTO/MOLECULAR REPORT,96.60,OUTPATIENT,3551915,
171309,GROSS CHARGE,88291,300,RL CYTO/MOLECULAR REPORT,138.00,OUTPATIENT,3551915,
171309,MIN,NONE,250,PO BENAZEPRIL TAB 5 MG,0.00,OUTPATIENT,4800694,
171309,MAX,NONE,250,PO BENAZEPRIL TAB 5 MG,0.00,OUTPATIENT,4800694,
171309,Medicare,NONE,250,PO BENAZEPRIL TAB 5 MG,0.00,OUTPATIENT,4800694,
171309,Blue Cross,NONE,250,PO BENAZEPRIL TAB 5 MG,0.00,OUTPATIENT,4800694,
171309,United Healthcare,NONE,250,PO BENAZEPRIL TAB 5 MG,0.00,OUTPATIENT,4800694,
171309,Corizon,NONE,250,PO BENAZEPRIL TAB 5 MG,0.00,OUTPATIENT,4800694,
171309,WPPA,NONE,250,PO BENAZEPRIL TAB 5 MG,0.00,OUTPATIENT,4800694,
171309,GROSS CHARGE,NONE,250,PO BENAZEPRIL TAB 5 MG,0.00,OUTPATIENT,4800694,
171309,MIN,NONE,259,INJ BUPIVACAINE 0.5 PCT 10 ML,0.00,OUTPATIENT,4801130,
171309,MAX,NONE,259,INJ BUPIVACAINE 0.5 PCT 10 ML,0.00,OUTPATIENT,4801130,
171309,Medicare,NONE,259,INJ BUPIVACAINE 0.5 PCT 10 ML,0.00,OUTPATIENT,4801130,
171309,Blue Cross,NONE,259,INJ BUPIVACAINE 0.5 PCT 10 ML,0.00,OUTPATIENT,4801130,
171309,United Healthcare,NONE,259,INJ BUPIVACAINE 0.5 PCT 10 ML,0.00,OUTPATIENT,4801130,
171309,Corizon,NONE,259,INJ BUPIVACAINE 0.5 PCT 10 ML,0.00,OUTPATIENT,4801130,
171309,WPPA,NONE,259,INJ BUPIVACAINE 0.5 PCT 10 ML,0.00,OUTPATIENT,4801130,
171309,GROSS CHARGE,NONE,259,INJ BUPIVACAINE 0.5 PCT 10 ML,0.00,OUTPATIENT,4801130,
171309,MIN,NONE,270,MEPILEX BORDER 6X6,0.00,OUTPATIENT,3252545,
171309,MAX,NONE,270,MEPILEX BORDER 6X6,13.30,OUTPATIENT,3252545,
171309,Medicare,NONE,270,MEPILEX BORDER 6X6,7.56,OUTPATIENT,3252545,
171309,Blue Cross,NONE,270,MEPILEX BORDER 6X6,0.00,OUTPATIENT,3252545,
171309,United Healthcare,NONE,270,MEPILEX BORDER 6X6,13.30,OUTPATIENT,3252545,
171309,Corizon,NONE,270,MEPILEX BORDER 6X6,7.14,OUTPATIENT,3252545,
171309,WPPA,NONE,270,MEPILEX BORDER 6X6,9.80,OUTPATIENT,3252545,
171309,GROSS CHARGE,NONE,270,MEPILEX BORDER 6X6,14.00,OUTPATIENT,3252545,
171309,MIN,13131,982,PF COMPLEX REPAIR HANDS/FEET 1.1-2.5CM,371.60,OUTPATIENT,313131,
171309,MAX,13131,982,PF COMPLEX REPAIR HANDS/FEET 1.1-2.5CM,780.00,OUTPATIENT,313131,
171309,Medicare,13131,982,PF COMPLEX REPAIR HANDS/FEET 1.1-2.5CM,413.10,OUTPATIENT,313131,
171309,Blue Cross,13131,982,PF COMPLEX REPAIR HANDS/FEET 1.1-2.5CM,780.00,OUTPATIENT,313131,
171309,United Healthcare,13131,982,PF COMPLEX REPAIR HANDS/FEET 1.1-2.5CM,726.75,OUTPATIENT,313131,
171309,Corizon,13131,982,PF COMPLEX REPAIR HANDS/FEET 1.1-2.5CM,390.15,OUTPATIENT,313131,
171309,WPPA,13131,982,PF COMPLEX REPAIR HANDS/FEET 1.1-2.5CM,371.60,OUTPATIENT,313131,
171309,GROSS CHARGE,13131,982,PF COMPLEX REPAIR HANDS/FEET 1.1-2.5CM,765.00,OUTPATIENT,313131,
171309,MIN,J0360,636,INJ HYDRALAZINE IV 20 MG,0.00,OUTPATIENT,4800847,
171309,MAX,J0360,636,INJ HYDRALAZINE IV 20 MG,0.00,OUTPATIENT,4800847,
171309,Medicare,J0360,636,INJ HYDRALAZINE IV 20 MG,0.00,OUTPATIENT,4800847,
171309,Blue Cross,J0360,636,INJ HYDRALAZINE IV 20 MG,0.00,OUTPATIENT,4800847,
171309,United Healthcare,J0360,636,INJ HYDRALAZINE IV 20 MG,0.00,OUTPATIENT,4800847,
171309,Corizon,J0360,636,INJ HYDRALAZINE IV 20 MG,0.00,OUTPATIENT,4800847,
171309,WPPA,J0360,636,INJ HYDRALAZINE IV 20 MG,0.00,OUTPATIENT,4800847,
171309,GROSS CHARGE,J0360,636,INJ HYDRALAZINE IV 20 MG,0.00,OUTPATIENT,4800847,
171309,MIN,76830,402,"US ULTRASOUND, TRANSVAGINAL",0.00,OUTPATIENT,3730165,
171309,MAX,76830,402,"US ULTRASOUND, TRANSVAGINAL",163.46,OUTPATIENT,3730165,
