Department Description,ChargeID,ChargeDesc,RevCode,Price,CPT_CODE,De-Identified Minimum Outpatient Allowable Rate,De-Identified Maximum Outpatient Allowable Rate,Medicare Outpatient Allowable Rate,Blue Cross Outpatient Allowable Rate,United Healthcare Outpatient Allowable Rate,Corizon Outpatient Allowable Rate,WPPA Outpatient Allowable Rate,Coventry Outpatient Allowable Rate
Logan Clinic,45020610,LG INJ MAJOR JOINT/BURSA W/O US,983,$0.00,20610,$0.00,$413.00,$0.00,$413.00,$0.00,$0.00,$69.62,$0.00
Purchasing,3257391,SUTURE J417H VICRYL 2-0,270,$5.00,,$0.00,$4.75,$2.70,$0.00,$4.75,$2.55,$3.50,$4.75
Emergency Dept Pro-Fees,343450,"PF ESOPHAGEAL DILATION,  UNGUIDED",982,$370.00,43450,$121.31,$812.00,$199.80,$812.00,$351.50,$188.70,$121.31,$351.50
Medical Clinic,12021,CLOSURE WOUND DEHISCENCE W/PACKING,521,$379.00,12021,$193.29,$518.76,$204.66,$214.00,$360.05,$193.29,$518.76,$360.05
Laboratory,3556812,RL BORDETELLA PERTUSSIS-PCR,300,$0.00,87081,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3251075,ENDOZIME SPONGE,270,$6.00,,$0.00,$5.70,$3.24,$0.00,$5.70,$3.06,$4.20,$5.70
Purchasing,3254989,"""BANDAGE 3"""" STERILE""",270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Medical Clinic,11308,SHAVING EPIDERMAL LESION HANDS > 2.0CM,521,$365.00,11308,$186.15,$518.76,$197.10,$368.00,$346.75,$186.15,$518.76,$346.75
Purchasing,3250021,FLEXIGEL DRESSING 2X2,270,$8.00,,$0.00,$7.60,$4.32,$0.00,$7.60,$4.08,$5.60,$7.60
Pharmacy,4800784,PO HYDROXYZINE PAOMATE CAP 25 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3551915,RL CYTO/MOLECULAR REPORT,300,$138.00,88291,$0.00,$131.10,$74.52,$0.00,$131.10,$70.38,$96.60,$131.10
Pharmacy,4800694,PO BENAZEPRIL TAB 5 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4801130,INJ BUPIVACAINE  0.5 PCT 10 ML,259,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3252545,MEPILEX BORDER 6X6,270,$14.00,,$0.00,$13.30,$7.56,$0.00,$13.30,$7.14,$9.80,$13.30
Emergency Dept Pro-Fees,313131,PF COMPLEX REPAIR HANDS/FEET 1.1-2.5CM,982,$765.00,13131,$371.60,$780.00,$413.10,$780.00,$726.75,$390.15,$371.60,$726.75
Pharmacy,4800847,INJ HYDRALAZINE IV 20 MG,636,$0.00,J0360   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Ultrasound,3730165,"US ULTRASOUND, TRANSVAGINAL",402,$0.00,76830,$0.00,$163.46,$0.00,$122.00,$0.00,$0.00,$163.46,$0.00
Purchasing,3250657,PELVIC SAM SLING STANDARD,270,$246.00,L2580   ,$0.00,$233.70,$132.84,$0.00,$233.70,$125.46,$172.20,$233.70
Laboratory,3558904,RL CLOSTRIDIUM DIFFICILE PCR,300,$0.00,87493,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
