Lewis County Jail,Census,26,23,25,21,21,22,24,26,24,23,21,27,30,15.40%
,Boarded Out,1,1,4,2,1,1,1,2,2,2,2,8,7,600.00%
,Boarded In,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,In House,25,21,21,18,20,21,23,24,22,21,19,19,24,-4.00%
,- Sentenced,7,6,2,3,3,1,2,1,3,5,4,3,3,-57.10%
,- Civil,0,0,0,0,0,0,0,1,1,1,1,4,7,0.00%
,- Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Technical Parole Violators,3,2,2,2,2,3,3,3,2,3,3,2,2,-33.30%
,- State Readies,3,0,4,3,1,0,0,0,1,0,1,0,0,-100.00%
,- Other Unsentenced **,12,13,12,11,14,17,17,19,16,12,11,10,12,0.00%
