Niagara County Jail,Census,339,342,336,347,361,364,374,364,366,368,346,372,373,10.00%
,Boarded Out,0,0,0,0,0,0,0,0,1,1,1,1,1,0.00%
,Boarded In,2,2,3,2,3,3,3,4,3,4,4,4,3,50.00%
,In House,341,345,338,349,364,367,377,367,369,371,350,375,375,10.00%
,- Sentenced,40,43,44,43,46,49,47,55,59,71,65,73,69,72.50%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Federal,115,118,125,129,124,126,128,127,130,125,120,125,128,11.30%
,- Technical Parole Violators,13,6,9,11,12,12,9,6,4,5,4,4,5,-61.50%
,- State Readies,39,35,14,9,8,7,8,6,4,12,7,8,5,-87.20%
,- Other Unsentenced **,133,142,146,156,175,173,185,173,172,158,153,166,168,26.30%
