Greene County Jail,Census,37,37,35,31,27,31,34,38,32,32,35,37,35,-5.40%
,Boarded Out,37,37,35,31,27,31,14,5,5,5,6,6,7,-81.10%
,Boarded In,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,In House,0,0,0,0,0,0,21,32,27,27,30,30,28,0.00%
,- Sentenced,0,0,0,0,0,0,5,6,6,5,7,5,9,0.00%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00%
,- Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Technical Parole Violators,0,0,0,0,0,0,0,0,1,2,2,1,0,0.00%
,- State Readies,0,0,0,0,0,0,2,2,2,1,2,1,3,0.00%
,- Other Unsentenced **,0,0,0,0,0,0,14,24,18,18,18,22,15,0.00%
