Oswego County Jail,Census,151,148,117,115,122,118,120,117,118,121,121,128,127,-15.90%
,Boarded Out,7,6,5,6,8,7,5,4,2,2,3,4,4,-42.90%
,Boarded In,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00%
,In House,144,142,113,109,114,111,115,113,116,118,118,124,123,-14.60%
,- Sentenced,27,26,25,33,35,33,38,39,39,31,31,33,34,25.90%
,- Civil,0,0,0,0,1,1,0,0,0,0,0,1,1,0.00%
,- Federal,0,0,0,0,0,0,0,0,4,6,6,7,8,0.00%
,- Technical Parole Violators,22,19,11,7,11,11,15,15,12,14,14,15,12,-45.50%
,- State Readies,34,31,10,6,5,3,5,1,3,8,4,3,4,-88.20%
,- Other Unsentenced **,61,66,66,63,63,62,57,58,58,59,63,66,64,4.90%
