Delaware County Jail,Census,46,41,33,37,36,48,50,41,44,47,47,52,44,-4.30%
,Boarded Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,Boarded In,7,4,2,2,5,4,1,1,1,2,4,6,5,-28.60%
,In House,54,45,35,38,41,52,51,42,46,49,50,58,49,-9.30%
,- Sentenced,5,6,6,4,3,4,3,4,4,3,2,2,2,-60.00%
,- Civil,0,0,0,0,1,1,1,1,2,1,1,0,1,0.00%
,- Federal,17,17,12,14,12,24,24,19,20,20,20,26,18,5.90%
,- Technical Parole Violators,3,2,1,2,4,4,3,1,1,0,0,1,2,-33.30%
,- State Readies,3,2,0,2,0,1,1,1,0,0,1,2,0,-100.00%
,- Other Unsentenced **,26,19,15,16,21,19,19,17,19,24,26,28,26,0.00%
