Orleans County Jail,Census,31,30,29,38,42,46,46,45,47,42,40,46,48,54.80%
,Boarded Out,0,0,0,0,0,0,0,0,0,1,1,1,0,0.00%
,Boarded In,0,0,0,0,0,0,1,0,1,3,3,7,7,0.00%
,In House,31,30,29,38,42,46,47,45,48,44,43,52,55,77.40%
,- Sentenced,18,16,11,12,11,13,12,15,15,14,17,19,21,16.70%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Federal,1,4,8,12,16,18,19,16,16,14,12,14,13,1200.00%
,- Technical Parole Violators,1,1,1,1,1,1,2,2,1,1,0,0,1,0.00%
,- State Readies,4,4,2,2,1,0,0,1,0,1,2,1,3,-25.00%
,- Other Unsentenced **,7,4,8,11,13,14,14,11,16,14,12,18,17,142.90%
