Jefferson County Jail,Census,151,155,139,144,139,145,154,156,142,134,146,147,141,-6.60%
,Boarded Out,0,3,2,0,0,0,0,0,0,0,0,0,0,0.00%
,Boarded In,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,In House,151,153,137,144,139,145,154,156,142,134,146,147,141,-6.60%
,- Sentenced,10,12,14,17,17,22,24,20,18,17,20,24,23,130.00%
,- Civil,1,2,2,1,1,2,1,0,0,0,0,0,1,0.00%
,- Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Technical Parole Violators,24,17,10,6,6,3,5,5,3,3,5,1,2,-91.70%
,- State Readies,5,9,5,1,4,3,4,3,4,2,3,4,3,-40.00%
,- Other Unsentenced **,111,113,107,118,111,115,120,128,118,112,117,118,113,1.80%
