Otsego County Jail,Census,36,30,29,31,34,28,26,27,28,27,27,30,34,-5.60%
,Boarded Out,10,6,4,5,8,3,2,2,4,10,17,19,23,130.00%
,Boarded In,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00%
,In House,26,24,25,27,26,25,24,25,24,18,10,12,11,-57.70%
,- Sentenced,4,3,4,5,4,5,6,7,6,5,5,5,5,25.00%
,- Civil,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
,- Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Technical Parole Violators,5,2,1,3,3,2,3,1,1,1,0,0,0,-100.00%
,- State Readies,1,1,2,1,0,0,0,0,1,2,0,0,1,0.00%
,- Other Unsentenced **,17,18,17,18,19,17,15,15,15,10,5,7,5,-70.60%
